row_index,arm_id,row_id,status,issues,jsonl
0,A0,E9_preflight_80step_dclm_m0_2621440_seed2479_a0_silu_adamw,pass,,abalation/runs/e9_preflight/E9_preflight_80step/dclm/E9_preflight_80step_dclm_m0_2621440_seed2479_a0_silu_adamw/silu.jsonl
1,A5,E9_preflight_80step_dclm_m0_2621440_seed2479_a5_rlb_matrixpolicy_no_role_depth,pass,,abalation/runs/e9_preflight/E9_preflight_80step/dclm/E9_preflight_80step_dclm_m0_2621440_seed2479_a5_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
2,A1,E9_preflight_80step_dclm_m0_2621440_seed2479_a1_rlb_adamw,pass,,abalation/runs/e9_preflight/E9_preflight_80step/dclm/E9_preflight_80step_dclm_m0_2621440_seed2479_a1_rlb_adamw/rlb_fused_global_rational.jsonl
3,A3,E9_preflight_80step_dclm_m0_2621440_seed2479_a3_rlb_matrixpolicy_full,pass,,abalation/runs/e9_preflight/E9_preflight_80step/dclm/E9_preflight_80step_dclm_m0_2621440_seed2479_a3_rlb_matrixpolicy_full/rlb_fused_global_rational.jsonl
4,A4,E9_preflight_80step_dclm_m0_2621440_seed2479_a4_rlb_matrixpolicy_no_group_gate,pass,,abalation/runs/e9_preflight/E9_preflight_80step/dclm/E9_preflight_80step_dclm_m0_2621440_seed2479_a4_rlb_matrixpolicy_no_group_gate/rlb_fused_global_rational.jsonl
5,A8,E9_preflight_80step_dclm_m0_2621440_seed2479_a8_rlb_matrixpolicy_no_pair_rescale,pass,,abalation/runs/e9_preflight/E9_preflight_80step/dclm/E9_preflight_80step_dclm_m0_2621440_seed2479_a8_rlb_matrixpolicy_no_pair_rescale/rlb_fused_global_rational.jsonl
6,A2,E9_preflight_80step_dclm_m0_2621440_seed2479_a2_rlb_matrixpolicy_static_shell,pass,,abalation/runs/e9_preflight/E9_preflight_80step/dclm/E9_preflight_80step_dclm_m0_2621440_seed2479_a2_rlb_matrixpolicy_static_shell/rlb_fused_global_rational.jsonl
7,A6,E9_preflight_80step_dclm_m0_2621440_seed2479_a6_rlb_matrixpolicy_muon_branch_suppressed,pass,,abalation/runs/e9_preflight/E9_preflight_80step/dclm/E9_preflight_80step_dclm_m0_2621440_seed2479_a6_rlb_matrixpolicy_muon_branch_suppressed/rlb_fused_global_rational.jsonl
8,A7,E9_preflight_80step_dclm_m0_2621440_seed2479_a7_rlb_matrixpolicy_no_role_depth_muon_branch_suppressed,pass,,abalation/runs/e9_preflight/E9_preflight_80step/dclm/E9_preflight_80step_dclm_m0_2621440_seed2479_a7_rlb_matrixpolicy_no_role_depth_muon_branch_suppressed/rlb_fused_global_rational.jsonl
9,A9,E9_preflight_80step_dclm_m0_2621440_seed2479_a9_rlb_matrixpolicy_no_role_depth_muon_block,pass,,abalation/runs/e9_preflight/E9_preflight_80step/dclm/E9_preflight_80step_dclm_m0_2621440_seed2479_a9_rlb_matrixpolicy_no_role_depth_muon_block/rlb_fused_global_rational.jsonl
