budget_tokens,dataset,seed,method,target_loss,first_hit_step,first_hit_tokens,first_hit_ppl,total_minutes
100000000,dclm,1337,full,4.90,950,31129600,130.757,24.436
100000000,dclm,1337,full,4.70,1250,40960000,107.660,24.436
100000000,dclm,1337,full,4.55,1550,50790400,93.380,24.436
100000000,dclm,1337,full,4.45,1850,60620800,84.305,24.436
100000000,dclm,1337,full,4.35,2200,72089600,77.426,24.436
100000000,dclm,1337,full,4.30,2500,81920000,73.697,24.436
100000000,dclm,1337,no_role_depth,4.90,950,31129600,131.363,20.318
100000000,dclm,1337,no_role_depth,4.70,1250,40960000,108.490,20.318
100000000,dclm,1337,no_role_depth,4.55,1550,50790400,94.159,20.318
100000000,dclm,1337,no_role_depth,4.45,1850,60620800,85.039,20.318
100000000,dclm,1337,no_role_depth,4.35,2300,75366400,76.981,20.318
100000000,dclm,1337,no_role_depth,4.30,2600,85196800,73.620,20.318
100000000,dclm,1337,role_depth_v2,4.90,950,31129600,130.980,27.461
100000000,dclm,1337,role_depth_v2,4.70,1250,40960000,108.111,27.461
100000000,dclm,1337,role_depth_v2,4.55,1550,50790400,93.463,27.461
100000000,dclm,1337,role_depth_v2,4.45,1850,60620800,84.241,27.461
100000000,dclm,1337,role_depth_v2,4.35,2200,72089600,77.472,27.461
100000000,dclm,1337,role_depth_v2,4.30,2500,81920000,73.648,27.461
100000000,dclm,1337,role_depth_v3,4.90,950,31129600,131.173,23.694
100000000,dclm,1337,role_depth_v3,4.70,1250,40960000,108.455,23.694
100000000,dclm,1337,role_depth_v3,4.55,1550,50790400,93.795,23.694
100000000,dclm,1337,role_depth_v3,4.45,1850,60620800,84.949,23.694
100000000,dclm,1337,role_depth_v3,4.35,2300,75366400,76.760,23.694
100000000,dclm,1337,role_depth_v3,4.30,2600,85196800,73.422,23.694
100000000,dclm,1337,role_depth_v4,4.90,950,31129600,130.427,25.968
100000000,dclm,1337,role_depth_v4,4.70,1250,40960000,108.423,25.968
100000000,dclm,1337,role_depth_v4,4.55,1550,50790400,93.512,25.968
100000000,dclm,1337,role_depth_v4,4.45,1850,60620800,84.505,25.968
100000000,dclm,1337,role_depth_v4,4.35,2250,73728000,76.906,25.968
100000000,dclm,1337,role_depth_v4,4.30,2550,83558400,73.474,25.968
100000000,dclm,2027,full,4.90,900,29491200,131.886,27.383
100000000,dclm,2027,full,4.70,1200,39321600,108.857,27.383
100000000,dclm,2027,full,4.55,1550,50790400,93.300,27.383
100000000,dclm,2027,full,4.45,1850,60620800,84.482,27.383
100000000,dclm,2027,full,4.35,2250,73728000,77.228,27.383
100000000,dclm,2027,full,4.30,2600,85196800,73.432,27.383
100000000,dclm,2027,no_role_depth,4.90,900,29491200,133.950,20.335
100000000,dclm,2027,no_role_depth,4.70,1200,39321600,109.888,20.335
100000000,dclm,2027,no_role_depth,4.55,1600,52428800,92.439,20.335
100000000,dclm,2027,no_role_depth,4.45,1850,60620800,85.364,20.335
100000000,dclm,2027,no_role_depth,4.35,2300,75366400,77.449,20.335
100000000,dclm,2027,no_role_depth,4.30,2700,88473600,73.626,20.335
100000000,dclm,2027,role_depth_v2,4.90,900,29491200,132.049,23.944
100000000,dclm,2027,role_depth_v2,4.70,1200,39321600,108.998,23.944
100000000,dclm,2027,role_depth_v2,4.55,1550,50790400,93.152,23.944
100000000,dclm,2027,role_depth_v2,4.45,1850,60620800,84.436,23.944
100000000,dclm,2027,role_depth_v2,4.35,2250,73728000,77.225,23.944
100000000,dclm,2027,role_depth_v2,4.30,2600,85196800,73.417,23.944
100000000,dclm,2027,role_depth_v3,4.90,900,29491200,133.934,20.293
100000000,dclm,2027,role_depth_v3,4.70,1200,39321600,109.754,20.293
100000000,dclm,2027,role_depth_v3,4.55,1550,50790400,94.170,20.293
100000000,dclm,2027,role_depth_v3,4.45,1850,60620800,85.121,20.293
100000000,dclm,2027,role_depth_v3,4.35,2300,75366400,77.205,20.293
100000000,dclm,2027,role_depth_v3,4.30,2700,88473600,73.475,20.293
100000000,dclm,2027,role_depth_v4,4.90,900,29491200,132.955,20.822
100000000,dclm,2027,role_depth_v4,4.70,1200,39321600,108.421,20.822
100000000,dclm,2027,role_depth_v4,4.55,1500,49152000,94.627,20.822
100000000,dclm,2027,role_depth_v4,4.45,1850,60620800,84.524,20.822
100000000,dclm,2027,role_depth_v4,4.35,2250,73728000,77.434,20.822
100000000,dclm,2027,role_depth_v4,4.30,2600,85196800,73.653,20.822
