budget_tokens,dataset,seed,method,final_val_loss,final_val_ppl,total_minutes,mean_seconds_per_step,tokens_per_second,slurm_job_id,slurm_restart_count,slurm_node,jsonl
100000000,c4_en,1337,full,4.261364,70.907,22.481,0.416774,78622.966,,,,experiments/runs/iclr26_main/E1_rational_only_100m/c4_en/E1_rational_only_100m_c4_en_m0_100m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
100000000,c4_en,1337,no_role_depth,4.277005,72.024,24.962,0.465270,70427.949,572271,0,badfellow,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/c4_en/E1_matrixpolicy_ablation_no_role_depth_100m_c4_en_m0_100m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
100000000,c4_en,1337,role_depth_v2,4.258841,70.728,22.122,0.410550,79814.960,680334,0,seo-compute-01,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v2_100m_c4_en_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl
100000000,c4_en,1337,role_depth_v3,4.277341,72.049,20.194,0.373612,87706.038,707583,0,elor-compute-01,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v3_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v3_100m_c4_en_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v3/rlb_fused_global_rational.jsonl
100000000,c4_en,1337,role_depth_v4,4.264500,71.129,25.020,0.464891,70485.375,707598,0,damle-compute-01,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v4_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v4_100m_c4_en_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v4/rlb_fused_global_rational.jsonl
100000000,c4_en,1337,role_depth_v5,4.260684,70.858,24.744,0.462394,70866.025,749326,0,badfellow,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v5_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v5_100m_c4_en_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v5/rlb_fused_global_rational.jsonl
100000000,c4_en,1337,role_depth_v6,4.265216,71.180,26.648,0.498722,65703.945,749341,0,nikola-compute-18,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v6_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v6_100m_c4_en_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v6/rlb_fused_global_rational.jsonl
100000000,c4_en,2027,full,4.298457,73.586,24.509,0.457647,71601.079,,,,experiments/runs/iclr26_main/E1_rational_only_100m/c4_en/E1_rational_only_100m_c4_en_m0_100m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
100000000,c4_en,2027,no_role_depth,4.313735,74.719,20.341,0.376306,87078.132,573601,0,abdelfattah-compute-03,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/c4_en/E1_matrixpolicy_ablation_no_role_depth_100m_c4_en_m0_100m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
100000000,c4_en,2027,role_depth_v2,4.299328,73.650,29.627,0.556227,58911.164,680766,0,ellis-compute-02,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v2_100m_c4_en_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl
100000000,c4_en,2027,role_depth_v3,4.313629,74.711,21.047,0.389914,84039.136,707584,0,zabih-compute-01,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v3_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v3_100m_c4_en_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v3/rlb_fused_global_rational.jsonl
100000000,c4_en,2027,role_depth_v4,4.302079,73.853,20.803,0.385447,85012.929,707599,0,elor-compute-01,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v4_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v4_100m_c4_en_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v4/rlb_fused_global_rational.jsonl
100000000,c4_en,2027,role_depth_v5,4.298565,73.594,25.016,0.465099,70453.823,749327,0,damle-compute-01,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v5_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v5_100m_c4_en_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v5/rlb_fused_global_rational.jsonl
100000000,c4_en,2027,role_depth_v6,4.302367,73.874,23.813,0.444204,73767.864,749342,0,rush-compute-02,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v6_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v6_100m_c4_en_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v6/rlb_fused_global_rational.jsonl
100000000,c4_en,3407,full,4.291322,73.063,22.414,0.415926,78783.245,,,,experiments/runs/iclr26_main/E1_rational_only_100m/c4_en/E1_rational_only_100m_c4_en_m0_100m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
100000000,c4_en,3407,no_role_depth,4.305235,74.087,20.363,0.375618,87237.455,573706,0,seo-compute-01,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/c4_en/E1_matrixpolicy_ablation_no_role_depth_100m_c4_en_m0_100m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
100000000,c4_en,3407,role_depth_v2,4.293108,73.194,24.950,0.463586,70683.783,680767,0,damle-compute-01,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v2_100m_c4_en_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl
