budget_tokens,dataset,seed,target_loss,comparator,full_tokens,comparator_tokens,full_saves_tokens,full_saves_percent_vs_comparator,full_total_minutes,comparator_total_minutes
100000000,dclm,1337,4.90,no_role_depth,31129600,31129600,0,0.0,24.436,20.318
100000000,dclm,1337,4.90,role_depth_v2,31129600,31129600,0,0.0,24.436,27.461
100000000,dclm,1337,4.90,role_depth_v3,31129600,31129600,0,0.0,24.436,23.694
100000000,dclm,1337,4.90,role_depth_v4,31129600,31129600,0,0.0,24.436,25.968
100000000,dclm,1337,4.90,role_depth_v5,31129600,31129600,0,0.0,24.436,24.571
100000000,dclm,1337,4.90,role_depth_v6,31129600,31129600,0,0.0,24.436,22.861
100000000,dclm,1337,4.70,no_role_depth,40960000,40960000,0,0.0,24.436,20.318
100000000,dclm,1337,4.70,role_depth_v2,40960000,40960000,0,0.0,24.436,27.461
100000000,dclm,1337,4.70,role_depth_v3,40960000,40960000,0,0.0,24.436,23.694
100000000,dclm,1337,4.70,role_depth_v4,40960000,40960000,0,0.0,24.436,25.968
100000000,dclm,1337,4.70,role_depth_v5,40960000,40960000,0,0.0,24.436,24.571
100000000,dclm,1337,4.70,role_depth_v6,40960000,40960000,0,0.0,24.436,22.861
100000000,dclm,1337,4.55,no_role_depth,50790400,50790400,0,0.0,24.436,20.318
100000000,dclm,1337,4.55,role_depth_v2,50790400,50790400,0,0.0,24.436,27.461
100000000,dclm,1337,4.55,role_depth_v3,50790400,50790400,0,0.0,24.436,23.694
100000000,dclm,1337,4.55,role_depth_v4,50790400,50790400,0,0.0,24.436,25.968
100000000,dclm,1337,4.55,role_depth_v5,50790400,50790400,0,0.0,24.436,24.571
100000000,dclm,1337,4.55,role_depth_v6,50790400,50790400,0,0.0,24.436,22.861
100000000,dclm,1337,4.45,no_role_depth,60620800,60620800,0,0.0,24.436,20.318
100000000,dclm,1337,4.45,role_depth_v2,60620800,60620800,0,0.0,24.436,27.461
100000000,dclm,1337,4.45,role_depth_v3,60620800,60620800,0,0.0,24.436,23.694
100000000,dclm,1337,4.45,role_depth_v4,60620800,60620800,0,0.0,24.436,25.968
100000000,dclm,1337,4.45,role_depth_v5,60620800,58982400,-1638400,-0.027777777777777776,24.436,24.571
100000000,dclm,1337,4.45,role_depth_v6,60620800,58982400,-1638400,-0.027777777777777776,24.436,22.861
100000000,dclm,1337,4.35,no_role_depth,72089600,75366400,3276800,0.043478260869565216,24.436,20.318
100000000,dclm,1337,4.35,role_depth_v2,72089600,72089600,0,0.0,24.436,27.461
100000000,dclm,1337,4.35,role_depth_v3,72089600,75366400,3276800,0.043478260869565216,24.436,23.694
100000000,dclm,1337,4.35,role_depth_v4,72089600,73728000,1638400,0.022222222222222223,24.436,25.968
100000000,dclm,1337,4.35,role_depth_v5,72089600,73728000,1638400,0.022222222222222223,24.436,24.571
100000000,dclm,1337,4.35,role_depth_v6,72089600,73728000,1638400,0.022222222222222223,24.436,22.861
100000000,dclm,1337,4.30,no_role_depth,81920000,85196800,3276800,0.038461538461538464,24.436,20.318
100000000,dclm,1337,4.30,role_depth_v2,81920000,81920000,0,0.0,24.436,27.461
100000000,dclm,1337,4.30,role_depth_v3,81920000,85196800,3276800,0.038461538461538464,24.436,23.694
100000000,dclm,1337,4.30,role_depth_v4,81920000,83558400,1638400,0.0196078431372549,24.436,25.968
100000000,dclm,1337,4.30,role_depth_v5,81920000,83558400,1638400,0.0196078431372549,24.436,24.571
100000000,dclm,1337,4.30,role_depth_v6,81920000,83558400,1638400,0.0196078431372549,24.436,22.861
100000000,dclm,2027,4.90,no_role_depth,29491200,29491200,0,0.0,27.383,20.335
100000000,dclm,2027,4.90,role_depth_v2,29491200,29491200,0,0.0,27.383,23.944
100000000,dclm,2027,4.90,role_depth_v3,29491200,29491200,0,0.0,27.383,20.293
100000000,dclm,2027,4.90,role_depth_v4,29491200,29491200,0,0.0,27.383,20.822
100000000,dclm,2027,4.90,role_depth_v5,29491200,29491200,0,0.0,27.383,24.006
100000000,dclm,2027,4.90,role_depth_v6,29491200,29491200,0,0.0,27.383,25.104
100000000,dclm,2027,4.70,no_role_depth,39321600,39321600,0,0.0,27.383,20.335
100000000,dclm,2027,4.70,role_depth_v2,39321600,39321600,0,0.0,27.383,23.944
100000000,dclm,2027,4.70,role_depth_v3,39321600,39321600,0,0.0,27.383,20.293
100000000,dclm,2027,4.70,role_depth_v4,39321600,39321600,0,0.0,27.383,20.822
100000000,dclm,2027,4.70,role_depth_v5,39321600,39321600,0,0.0,27.383,24.006
100000000,dclm,2027,4.70,role_depth_v6,39321600,39321600,0,0.0,27.383,25.104
100000000,dclm,2027,4.55,no_role_depth,50790400,52428800,1638400,0.03125,27.383,20.335
100000000,dclm,2027,4.55,role_depth_v2,50790400,50790400,0,0.0,27.383,23.944
100000000,dclm,2027,4.55,role_depth_v3,50790400,50790400,0,0.0,27.383,20.293
100000000,dclm,2027,4.55,role_depth_v4,50790400,49152000,-1638400,-0.03333333333333333,27.383,20.822
100000000,dclm,2027,4.55,role_depth_v5,50790400,49152000,-1638400,-0.03333333333333333,27.383,24.006
100000000,dclm,2027,4.55,role_depth_v6,50790400,49152000,-1638400,-0.03333333333333333,27.383,25.104
100000000,dclm,2027,4.45,no_role_depth,60620800,60620800,0,0.0,27.383,20.335
100000000,dclm,2027,4.45,role_depth_v2,60620800,60620800,0,0.0,27.383,23.944
100000000,dclm,2027,4.45,role_depth_v3,60620800,60620800,0,0.0,27.383,20.293
100000000,dclm,2027,4.45,role_depth_v4,60620800,60620800,0,0.0,27.383,20.822
100000000,dclm,2027,4.45,role_depth_v5,60620800,58982400,-1638400,-0.027777777777777776,27.383,24.006
100000000,dclm,2027,4.45,role_depth_v6,60620800,60620800,0,0.0,27.383,25.104
100000000,dclm,2027,4.35,no_role_depth,73728000,75366400,1638400,0.021739130434782608,27.383,20.335
100000000,dclm,2027,4.35,role_depth_v2,73728000,73728000,0,0.0,27.383,23.944
100000000,dclm,2027,4.35,role_depth_v3,73728000,75366400,1638400,0.021739130434782608,27.383,20.293
100000000,dclm,2027,4.35,role_depth_v4,73728000,73728000,0,0.0,27.383,20.822
100000000,dclm,2027,4.35,role_depth_v5,73728000,73728000,0,0.0,27.383,24.006
100000000,dclm,2027,4.35,role_depth_v6,73728000,75366400,1638400,0.021739130434782608,27.383,25.104
100000000,dclm,2027,4.30,no_role_depth,85196800,88473600,3276800,0.037037037037037035,27.383,20.335
100000000,dclm,2027,4.30,role_depth_v2,85196800,85196800,0,0.0,27.383,23.944
100000000,dclm,2027,4.30,role_depth_v3,85196800,88473600,3276800,0.037037037037037035,27.383,20.293
100000000,dclm,2027,4.30,role_depth_v4,85196800,85196800,0,0.0,27.383,20.822
100000000,dclm,2027,4.30,role_depth_v5,85196800,85196800,0,0.0,27.383,24.006
100000000,dclm,2027,4.30,role_depth_v6,85196800,86835200,1638400,0.018867924528301886,27.383,25.104
100000000,dclm,3407,4.90,no_role_depth,29491200,31129600,1638400,0.05263157894736842,24.557,21.456
100000000,dclm,3407,4.90,role_depth_v2,29491200,29491200,0,0.0,24.557,20.815
100000000,dclm,3407,4.90,role_depth_v3,29491200,31129600,1638400,0.05263157894736842,24.557,24.324
100000000,dclm,3407,4.90,role_depth_v4,29491200,31129600,1638400,0.05263157894736842,24.557,21.515
100000000,dclm,3407,4.90,role_depth_v5,29491200,31129600,1638400,0.05263157894736842,24.557,21.172
100000000,dclm,3407,4.90,role_depth_v6,29491200,29491200,0,0.0,24.557,22.838
100000000,dclm,3407,4.70,no_role_depth,39321600,40960000,1638400,0.04,24.557,21.456
100000000,dclm,3407,4.70,role_depth_v2,39321600,39321600,0,0.0,24.557,20.815
