budget_tokens,dataset,seed,target_loss,baseline,method,baseline_hit,method_hit,baseline_first_hit_step,method_first_hit_step,baseline_first_hit_tokens,method_first_hit_tokens,baseline_first_hit_ppl,method_first_hit_ppl,baseline_target_hit_minutes,method_target_hit_minutes,delta_method_minus_baseline_tokens,delta_method_minus_baseline_steps,delta_method_minus_baseline_tokens_percent,delta_method_minus_baseline_hit_minutes,baseline_total_minutes,method_total_minutes,delta_method_minus_baseline_total_minutes,baseline_final_val_loss,method_final_val_loss,delta_method_minus_baseline_final_loss,baseline_slurm_node,method_slurm_node,baseline_restart_count,method_restart_count
100000000,dclm,1337,4.90,full,no_role_depth,1,1,950,950,31129600,31129600,130.757,131.363,7.223,5.955,0,0,0.000000,-1.268,24.436,20.318,-4.119,4.246725,4.261313,0.014588,,abdelfattah-compute-03,,0
100000000,dclm,1337,4.90,full,role_depth_v2,1,1,950,950,31129600,31129600,130.757,130.980,7.223,8.089,0,0,0.000000,0.865,24.436,27.461,3.025,4.246725,4.245911,-0.000814,,ellis-compute-02,,0
100000000,dclm,1337,4.90,full,role_depth_v3,1,1,950,950,31129600,31129600,130.757,131.173,7.223,6.992,0,0,0.000000,-0.231,24.436,23.694,-0.742,4.246725,4.258096,0.011371,,badfellow,,1
100000000,dclm,1337,4.90,full,role_depth_v4,1,1,950,950,31129600,31129600,130.757,130.427,7.223,7.707,0,0,0.000000,0.484,24.436,25.968,1.531,4.246725,4.250974,0.004249,,nikola-compute-18,,0
100000000,dclm,1337,4.90,full,role_depth_v5,1,1,950,950,31129600,31129600,130.757,131.004,7.223,7.244,0,0,0.000000,0.021,24.436,24.571,0.135,4.246725,4.247953,0.001228,,badfellow,,0
100000000,dclm,1337,4.90,full,role_depth_v6,1,1,950,950,31129600,31129600,130.757,130.195,7.223,6.730,0,0,0.000000,-0.493,24.436,22.861,-1.575,4.246725,4.251457,0.004732,,elor-compute-01,,0
100000000,dclm,1337,4.90,no_role_depth,full,1,1,950,950,31129600,31129600,131.363,130.757,5.955,7.223,0,0,0.000000,1.268,20.318,24.436,4.119,4.261313,4.246725,-0.014588,abdelfattah-compute-03,,0,
100000000,dclm,1337,4.90,no_role_depth,role_depth_v2,1,1,950,950,31129600,31129600,131.363,130.980,5.955,8.089,0,0,0.000000,2.133,20.318,27.461,7.144,4.261313,4.245911,-0.015403,abdelfattah-compute-03,ellis-compute-02,0,0
100000000,dclm,1337,4.90,no_role_depth,role_depth_v3,1,1,950,950,31129600,31129600,131.363,131.173,5.955,6.992,0,0,0.000000,1.037,20.318,23.694,3.377,4.261313,4.258096,-0.003217,abdelfattah-compute-03,badfellow,0,1
100000000,dclm,1337,4.90,no_role_depth,role_depth_v4,1,1,950,950,31129600,31129600,131.363,130.427,5.955,7.707,0,0,0.000000,1.752,20.318,25.968,5.650,4.261313,4.250974,-0.010340,abdelfattah-compute-03,nikola-compute-18,0,0
100000000,dclm,1337,4.90,no_role_depth,role_depth_v5,1,1,950,950,31129600,31129600,131.363,131.004,5.955,7.244,0,0,0.000000,1.289,20.318,24.571,4.254,4.261313,4.247953,-0.013360,abdelfattah-compute-03,badfellow,0,0
100000000,dclm,1337,4.90,no_role_depth,role_depth_v6,1,1,950,950,31129600,31129600,131.363,130.195,5.955,6.730,0,0,0.000000,0.775,20.318,22.861,2.544,4.261313,4.251457,-0.009856,abdelfattah-compute-03,elor-compute-01,0,0
100000000,dclm,1337,4.70,full,no_role_depth,1,1,1250,1250,40960000,40960000,107.660,108.490,9.504,7.836,0,0,0.000000,-1.668,24.436,20.318,-4.119,4.246725,4.261313,0.014588,,abdelfattah-compute-03,,0
100000000,dclm,1337,4.70,full,role_depth_v2,1,1,1250,1250,40960000,40960000,107.660,108.111,9.504,10.643,0,0,0.000000,1.139,24.436,27.461,3.025,4.246725,4.245911,-0.000814,,ellis-compute-02,,0
100000000,dclm,1337,4.70,full,role_depth_v3,1,1,1250,1250,40960000,40960000,107.660,108.455,9.504,9.201,0,0,0.000000,-0.304,24.436,23.694,-0.742,4.246725,4.258096,0.011371,,badfellow,,1
100000000,dclm,1337,4.70,full,role_depth_v4,1,1,1250,1250,40960000,40960000,107.660,108.423,9.504,10.141,0,0,0.000000,0.637,24.436,25.968,1.531,4.246725,4.250974,0.004249,,nikola-compute-18,,0
100000000,dclm,1337,4.70,full,role_depth_v5,1,1,1250,1250,40960000,40960000,107.660,107.487,9.504,9.532,0,0,0.000000,0.027,24.436,24.571,0.135,4.246725,4.247953,0.001228,,badfellow,,0
100000000,dclm,1337,4.70,full,role_depth_v6,1,1,1250,1250,40960000,40960000,107.660,107.610,9.504,8.856,0,0,0.000000,-0.649,24.436,22.861,-1.575,4.246725,4.251457,0.004732,,elor-compute-01,,0
100000000,dclm,1337,4.70,no_role_depth,full,1,1,1250,1250,40960000,40960000,108.490,107.660,7.836,9.504,0,0,0.000000,1.668,20.318,24.436,4.119,4.261313,4.246725,-0.014588,abdelfattah-compute-03,,0,
100000000,dclm,1337,4.70,no_role_depth,role_depth_v2,1,1,1250,1250,40960000,40960000,108.490,108.111,7.836,10.643,0,0,0.000000,2.807,20.318,27.461,7.144,4.261313,4.245911,-0.015403,abdelfattah-compute-03,ellis-compute-02,0,0
100000000,dclm,1337,4.70,no_role_depth,role_depth_v3,1,1,1250,1250,40960000,40960000,108.490,108.455,7.836,9.201,0,0,0.000000,1.365,20.318,23.694,3.377,4.261313,4.258096,-0.003217,abdelfattah-compute-03,badfellow,0,1
100000000,dclm,1337,4.70,no_role_depth,role_depth_v4,1,1,1250,1250,40960000,40960000,108.490,108.423,7.836,10.141,0,0,0.000000,2.305,20.318,25.968,5.650,4.261313,4.250974,-0.010340,abdelfattah-compute-03,nikola-compute-18,0,0
100000000,dclm,1337,4.70,no_role_depth,role_depth_v5,1,1,1250,1250,40960000,40960000,108.490,107.487,7.836,9.532,0,0,0.000000,1.696,20.318,24.571,4.254,4.261313,4.247953,-0.013360,abdelfattah-compute-03,badfellow,0,0
100000000,dclm,1337,4.70,no_role_depth,role_depth_v6,1,1,1250,1250,40960000,40960000,108.490,107.610,7.836,8.856,0,0,0.000000,1.020,20.318,22.861,2.544,4.261313,4.251457,-0.009856,abdelfattah-compute-03,elor-compute-01,0,0
100000000,dclm,1337,4.55,full,no_role_depth,1,1,1550,1550,50790400,50790400,93.380,94.159,11.785,9.717,0,0,0.000000,-2.069,24.436,20.318,-4.119,4.246725,4.261313,0.014588,,abdelfattah-compute-03,,0
100000000,dclm,1337,4.55,full,role_depth_v2,1,1,1550,1550,50790400,50790400,93.380,93.463,11.785,13.197,0,0,0.000000,1.412,24.436,27.461,3.025,4.246725,4.245911,-0.000814,,ellis-compute-02,,0
100000000,dclm,1337,4.55,full,role_depth_v3,1,1,1550,1550,50790400,50790400,93.380,93.795,11.785,11.409,0,0,0.000000,-0.377,24.436,23.694,-0.742,4.246725,4.258096,0.011371,,badfellow,,1
100000000,dclm,1337,4.55,full,role_depth_v4,1,1,1550,1550,50790400,50790400,93.380,93.512,11.785,12.575,0,0,0.000000,0.790,24.436,25.968,1.531,4.246725,4.250974,0.004249,,nikola-compute-18,,0
100000000,dclm,1337,4.55,full,role_depth_v5,1,1,1550,1550,50790400,50790400,93.380,93.158,11.785,11.819,0,0,0.000000,0.034,24.436,24.571,0.135,4.246725,4.247953,0.001228,,badfellow,,0
100000000,dclm,1337,4.55,full,role_depth_v6,1,1,1550,1550,50790400,50790400,93.380,93.471,11.785,10.981,0,0,0.000000,-0.804,24.436,22.861,-1.575,4.246725,4.251457,0.004732,,elor-compute-01,,0
100000000,dclm,1337,4.55,no_role_depth,full,1,1,1550,1550,50790400,50790400,94.159,93.380,9.717,11.785,0,0,0.000000,2.069,20.318,24.436,4.119,4.261313,4.246725,-0.014588,abdelfattah-compute-03,,0,
100000000,dclm,1337,4.55,no_role_depth,role_depth_v2,1,1,1550,1550,50790400,50790400,94.159,93.463,9.717,13.197,0,0,0.000000,3.481,20.318,27.461,7.144,4.261313,4.245911,-0.015403,abdelfattah-compute-03,ellis-compute-02,0,0
100000000,dclm,1337,4.55,no_role_depth,role_depth_v3,1,1,1550,1550,50790400,50790400,94.159,93.795,9.717,11.409,0,0,0.000000,1.692,20.318,23.694,3.377,4.261313,4.258096,-0.003217,abdelfattah-compute-03,badfellow,0,1
100000000,dclm,1337,4.55,no_role_depth,role_depth_v4,1,1,1550,1550,50790400,50790400,94.159,93.512,9.717,12.575,0,0,0.000000,2.859,20.318,25.968,5.650,4.261313,4.250974,-0.010340,abdelfattah-compute-03,nikola-compute-18,0,0
100000000,dclm,1337,4.55,no_role_depth,role_depth_v5,1,1,1550,1550,50790400,50790400,94.159,93.158,9.717,11.819,0,0,0.000000,2.103,20.318,24.571,4.254,4.261313,4.247953,-0.013360,abdelfattah-compute-03,badfellow,0,0
100000000,dclm,1337,4.55,no_role_depth,role_depth_v6,1,1,1550,1550,50790400,50790400,94.159,93.471,9.717,10.981,0,0,0.000000,1.264,20.318,22.861,2.544,4.261313,4.251457,-0.009856,abdelfattah-compute-03,elor-compute-01,0,0
100000000,dclm,1337,4.45,full,no_role_depth,1,1,1850,1850,60620800,60620800,84.305,85.039,14.066,11.597,0,0,0.000000,-2.469,24.436,20.318,-4.119,4.246725,4.261313,0.014588,,abdelfattah-compute-03,,0
100000000,dclm,1337,4.45,full,role_depth_v2,1,1,1850,1850,60620800,60620800,84.305,84.241,14.066,15.752,0,0,0.000000,1.685,24.436,27.461,3.025,4.246725,4.245911,-0.000814,,ellis-compute-02,,0
100000000,dclm,1337,4.45,full,role_depth_v3,1,1,1850,1850,60620800,60620800,84.305,84.949,14.066,13.617,0,0,0.000000,-0.450,24.436,23.694,-0.742,4.246725,4.258096,0.011371,,badfellow,,1
100000000,dclm,1337,4.45,full,role_depth_v4,1,1,1850,1850,60620800,60620800,84.305,84.505,14.066,15.009,0,0,0.000000,0.943,24.436,25.968,1.531,4.246725,4.250974,0.004249,,nikola-compute-18,,0
100000000,dclm,1337,4.45,full,role_depth_v5,1,1,1850,1800,60620800,58982400,84.305,85.540,14.066,13.726,-1638400,-50,-0.027027,-0.341,24.436,24.571,0.135,4.246725,4.247953,0.001228,,badfellow,,0
100000000,dclm,1337,4.45,full,role_depth_v6,1,1,1850,1800,60620800,58982400,84.305,85.544,14.066,12.752,-1638400,-50,-0.027027,-1.314,24.436,22.861,-1.575,4.246725,4.251457,0.004732,,elor-compute-01,,0
100000000,dclm,1337,4.45,no_role_depth,full,1,1,1850,1850,60620800,60620800,85.039,84.305,11.597,14.066,0,0,0.000000,2.469,20.318,24.436,4.119,4.261313,4.246725,-0.014588,abdelfattah-compute-03,,0,
100000000,dclm,1337,4.45,no_role_depth,role_depth_v2,1,1,1850,1850,60620800,60620800,85.039,84.241,11.597,15.752,0,0,0.000000,4.154,20.318,27.461,7.144,4.261313,4.245911,-0.015403,abdelfattah-compute-03,ellis-compute-02,0,0
100000000,dclm,1337,4.45,no_role_depth,role_depth_v3,1,1,1850,1850,60620800,60620800,85.039,84.949,11.597,13.617,0,0,0.000000,2.020,20.318,23.694,3.377,4.261313,4.258096,-0.003217,abdelfattah-compute-03,badfellow,0,1
100000000,dclm,1337,4.45,no_role_depth,role_depth_v4,1,1,1850,1850,60620800,60620800,85.039,84.505,11.597,15.009,0,0,0.000000,3.412,20.318,25.968,5.650,4.261313,4.250974,-0.010340,abdelfattah-compute-03,nikola-compute-18,0,0
100000000,dclm,1337,4.45,no_role_depth,role_depth_v5,1,1,1850,1800,60620800,58982400,85.039,85.540,11.597,13.726,-1638400,-50,-0.027027,2.128,20.318,24.571,4.254,4.261313,4.247953,-0.013360,abdelfattah-compute-03,badfellow,0,0
100000000,dclm,1337,4.45,no_role_depth,role_depth_v6,1,1,1850,1800,60620800,58982400,85.039,85.544,11.597,12.752,-1638400,-50,-0.027027,1.155,20.318,22.861,2.544,4.261313,4.251457,-0.009856,abdelfattah-compute-03,elor-compute-01,0,0
100000000,dclm,1337,4.35,full,no_role_depth,1,1,2200,2300,72089600,75366400,77.426,76.981,16.728,14.418,3276800,100,0.045455,-2.309,24.436,20.318,-4.119,4.246725,4.261313,0.014588,,abdelfattah-compute-03,,0
100000000,dclm,1337,4.35,full,role_depth_v2,1,1,2200,2200,72089600,72089600,77.426,77.472,16.728,18.732,0,0,0.000000,2.004,24.436,27.461,3.025,4.246725,4.245911,-0.000814,,ellis-compute-02,,0
100000000,dclm,1337,4.35,full,role_depth_v3,1,1,2200,2300,72089600,75366400,77.426,76.760,16.728,16.929,3276800,100,0.045455,0.201,24.436,23.694,-0.742,4.246725,4.258096,0.011371,,badfellow,,1
100000000,dclm,1337,4.35,full,role_depth_v4,1,1,2200,2250,72089600,73728000,77.426,76.906,16.728,18.254,1638400,50,0.022727,1.527,24.436,25.968,1.531,4.246725,4.250974,0.004249,,nikola-compute-18,,0
100000000,dclm,1337,4.35,full,role_depth_v5,1,1,2200,2250,72089600,73728000,77.426,76.801,16.728,17.157,1638400,50,0.022727,0.430,24.436,24.571,0.135,4.246725,4.247953,0.001228,,badfellow,,0
100000000,dclm,1337,4.35,full,role_depth_v6,1,1,2200,2250,72089600,73728000,77.426,76.832,16.728,15.940,1638400,50,0.022727,-0.787,24.436,22.861,-1.575,4.246725,4.251457,0.004732,,elor-compute-01,,0
100000000,dclm,1337,4.35,no_role_depth,full,1,1,2300,2200,75366400,72089600,76.981,77.426,14.418,16.728,-3276800,-100,-0.043478,2.309,20.318,24.436,4.119,4.261313,4.246725,-0.014588,abdelfattah-compute-03,,0,
100000000,dclm,1337,4.35,no_role_depth,role_depth_v2,1,1,2300,2200,75366400,72089600,76.981,77.472,14.418,18.732,-3276800,-100,-0.043478,4.313,20.318,27.461,7.144,4.261313,4.245911,-0.015403,abdelfattah-compute-03,ellis-compute-02,0,0
100000000,dclm,1337,4.35,no_role_depth,role_depth_v3,1,1,2300,2300,75366400,75366400,76.981,76.760,14.418,16.929,0,0,0.000000,2.511,20.318,23.694,3.377,4.261313,4.258096,-0.003217,abdelfattah-compute-03,badfellow,0,1
100000000,dclm,1337,4.35,no_role_depth,role_depth_v4,1,1,2300,2250,75366400,73728000,76.981,76.906,14.418,18.254,-1638400,-50,-0.021739,3.836,20.318,25.968,5.650,4.261313,4.250974,-0.010340,abdelfattah-compute-03,nikola-compute-18,0,0
100000000,dclm,1337,4.35,no_role_depth,role_depth_v5,1,1,2300,2250,75366400,73728000,76.981,76.801,14.418,17.157,-1638400,-50,-0.021739,2.739,20.318,24.571,4.254,4.261313,4.247953,-0.013360,abdelfattah-compute-03,badfellow,0,0
100000000,dclm,1337,4.35,no_role_depth,role_depth_v6,1,1,2300,2250,75366400,73728000,76.981,76.832,14.418,15.940,-1638400,-50,-0.021739,1.522,20.318,22.861,2.544,4.261313,4.251457,-0.009856,abdelfattah-compute-03,elor-compute-01,0,0
100000000,dclm,1337,4.30,full,no_role_depth,1,1,2500,2600,81920000,85196800,73.697,73.620,19.009,16.299,3276800,100,0.040000,-2.710,24.436,20.318,-4.119,4.246725,4.261313,0.014588,,abdelfattah-compute-03,,0
100000000,dclm,1337,4.30,full,role_depth_v2,1,1,2500,2500,81920000,81920000,73.697,73.648,19.009,21.286,0,0,0.000000,2.277,24.436,27.461,3.025,4.246725,4.245911,-0.000814,,ellis-compute-02,,0
100000000,dclm,1337,4.30,full,role_depth_v3,1,1,2500,2600,81920000,85196800,73.697,73.422,19.009,19.137,3276800,100,0.040000,0.129,24.436,23.694,-0.742,4.246725,4.258096,0.011371,,badfellow,,1
100000000,dclm,1337,4.30,full,role_depth_v4,1,1,2500,2550,81920000,83558400,73.697,73.474,19.009,20.688,1638400,50,0.020000,1.680,24.436,25.968,1.531,4.246725,4.250974,0.004249,,nikola-compute-18,,0
100000000,dclm,1337,4.30,full,role_depth_v5,1,1,2500,2550,81920000,83558400,73.697,73.275,19.009,19.445,1638400,50,0.020000,0.436,24.436,24.571,0.135,4.246725,4.247953,0.001228,,badfellow,,0
100000000,dclm,1337,4.30,full,role_depth_v6,1,1,2500,2550,81920000,83558400,73.697,73.352,19.009,18.066,1638400,50,0.020000,-0.943,24.436,22.861,-1.575,4.246725,4.251457,0.004732,,elor-compute-01,,0
100000000,dclm,1337,4.30,no_role_depth,full,1,1,2600,2500,85196800,81920000,73.620,73.697,16.299,19.009,-3276800,-100,-0.038462,2.710,20.318,24.436,4.119,4.261313,4.246725,-0.014588,abdelfattah-compute-03,,0,
100000000,dclm,1337,4.30,no_role_depth,role_depth_v2,1,1,2600,2500,85196800,81920000,73.620,73.648,16.299,21.286,-3276800,-100,-0.038462,4.987,20.318,27.461,7.144,4.261313,4.245911,-0.015403,abdelfattah-compute-03,ellis-compute-02,0,0
100000000,dclm,1337,4.30,no_role_depth,role_depth_v3,1,1,2600,2600,85196800,85196800,73.620,73.422,16.299,19.137,0,0,0.000000,2.838,20.318,23.694,3.377,4.261313,4.258096,-0.003217,abdelfattah-compute-03,badfellow,0,1
100000000,dclm,1337,4.30,no_role_depth,role_depth_v4,1,1,2600,2550,85196800,83558400,73.620,73.474,16.299,20.688,-1638400,-50,-0.019231,4.389,20.318,25.968,5.650,4.261313,4.250974,-0.010340,abdelfattah-compute-03,nikola-compute-18,0,0
100000000,dclm,1337,4.30,no_role_depth,role_depth_v5,1,1,2600,2550,85196800,83558400,73.620,73.275,16.299,19.445,-1638400,-50,-0.019231,3.146,20.318,24.571,4.254,4.261313,4.247953,-0.013360,abdelfattah-compute-03,badfellow,0,0
100000000,dclm,1337,4.30,no_role_depth,role_depth_v6,1,1,2600,2550,85196800,83558400,73.620,73.352,16.299,18.066,-1638400,-50,-0.019231,1.767,20.318,22.861,2.544,4.261313,4.251457,-0.009856,abdelfattah-compute-03,elor-compute-01,0,0
100000000,dclm,2027,4.90,full,no_role_depth,1,1,900,900,29491200,29491200,131.886,133.950,7.677,5.641,0,0,0.000000,-2.036,27.383,20.335,-7.048,4.258865,4.273677,0.014812,,abdelfattah-compute-03,,0
100000000,dclm,2027,4.90,full,role_depth_v2,1,1,900,900,29491200,29491200,131.886,132.049,7.677,6.658,0,0,0.000000,-1.019,27.383,23.944,-3.439,4.258865,4.258640,-0.000226,,rush-compute-02,,0
100000000,dclm,2027,4.90,full,role_depth_v3,1,1,900,900,29491200,29491200,131.886,133.934,7.677,5.616,0,0,0.000000,-2.061,27.383,20.293,-7.090,4.258865,4.270991,0.012126,,elor-compute-01,,0
100000000,dclm,2027,4.90,full,role_depth_v4,1,1,900,900,29491200,29491200,131.886,132.955,7.677,5.785,0,0,0.000000,-1.891,27.383,20.822,-6.561,4.258865,4.262203,0.003337,,elor-compute-01,,0
100000000,dclm,2027,4.90,full,role_depth_v5,1,1,900,900,29491200,29491200,131.886,132.643,7.677,6.659,0,0,0.000000,-1.018,27.383,24.006,-3.377,4.258865,4.258960,0.000094,,rush-compute-02,,0
100000000,dclm,2027,4.90,full,role_depth_v6,1,1,900,900,29491200,29491200,131.886,132.728,7.677,7.009,0,0,0.000000,-0.668,27.383,25.104,-2.279,4.258865,4.263743,0.004878,,damle-compute-01,,1
100000000,dclm,2027,4.90,no_role_depth,full,1,1,900,900,29491200,29491200,133.950,131.886,5.641,7.677,0,0,0.000000,2.036,20.335,27.383,7.048,4.273677,4.258865,-0.014812,abdelfattah-compute-03,,0,
100000000,dclm,2027,4.90,no_role_depth,role_depth_v2,1,1,900,900,29491200,29491200,133.950,132.049,5.641,6.658,0,0,0.000000,1.018,20.335,23.944,3.609,4.273677,4.258640,-0.015037,abdelfattah-compute-03,rush-compute-02,0,0
100000000,dclm,2027,4.90,no_role_depth,role_depth_v3,1,1,900,900,29491200,29491200,133.950,133.934,5.641,5.616,0,0,0.000000,-0.025,20.335,20.293,-0.042,4.273677,4.270991,-0.002686,abdelfattah-compute-03,elor-compute-01,0,0
100000000,dclm,2027,4.90,no_role_depth,role_depth_v4,1,1,900,900,29491200,29491200,133.950,132.955,5.641,5.785,0,0,0.000000,0.145,20.335,20.822,0.487,4.273677,4.262203,-0.011474,abdelfattah-compute-03,elor-compute-01,0,0
100000000,dclm,2027,4.90,no_role_depth,role_depth_v5,1,1,900,900,29491200,29491200,133.950,132.643,5.641,6.659,0,0,0.000000,1.019,20.335,24.006,3.671,4.273677,4.258960,-0.014717,abdelfattah-compute-03,rush-compute-02,0,0
100000000,dclm,2027,4.90,no_role_depth,role_depth_v6,1,1,900,900,29491200,29491200,133.950,132.728,5.641,7.009,0,0,0.000000,1.369,20.335,25.104,4.769,4.273677,4.263743,-0.009934,abdelfattah-compute-03,damle-compute-01,0,1
100000000,dclm,2027,4.70,full,no_role_depth,1,1,1200,1200,39321600,39321600,108.857,109.888,10.236,7.521,0,0,0.000000,-2.715,27.383,20.335,-7.048,4.258865,4.273677,0.014812,,abdelfattah-compute-03,,0
100000000,dclm,2027,4.70,full,role_depth_v2,1,1,1200,1200,39321600,39321600,108.857,108.998,10.236,8.878,0,0,0.000000,-1.358,27.383,23.944,-3.439,4.258865,4.258640,-0.000226,,rush-compute-02,,0
100000000,dclm,2027,4.70,full,role_depth_v3,1,1,1200,1200,39321600,39321600,108.857,109.754,10.236,7.488,0,0,0.000000,-2.748,27.383,20.293,-7.090,4.258865,4.270991,0.012126,,elor-compute-01,,0
100000000,dclm,2027,4.70,full,role_depth_v4,1,1,1200,1200,39321600,39321600,108.857,108.421,10.236,7.714,0,0,0.000000,-2.522,27.383,20.822,-6.561,4.258865,4.262203,0.003337,,elor-compute-01,,0
100000000,dclm,2027,4.70,full,role_depth_v5,1,1,1200,1200,39321600,39321600,108.857,108.497,10.236,8.879,0,0,0.000000,-1.357,27.383,24.006,-3.377,4.258865,4.258960,0.000094,,rush-compute-02,,0
100000000,dclm,2027,4.70,full,role_depth_v6,1,1,1200,1200,39321600,39321600,108.857,108.587,10.236,9.346,0,0,0.000000,-0.890,27.383,25.104,-2.279,4.258865,4.263743,0.004878,,damle-compute-01,,1
100000000,dclm,2027,4.70,no_role_depth,full,1,1,1200,1200,39321600,39321600,109.888,108.857,7.521,10.236,0,0,0.000000,2.715,20.335,27.383,7.048,4.273677,4.258865,-0.014812,abdelfattah-compute-03,,0,
100000000,dclm,2027,4.70,no_role_depth,role_depth_v2,1,1,1200,1200,39321600,39321600,109.888,108.998,7.521,8.878,0,0,0.000000,1.357,20.335,23.944,3.609,4.273677,4.258640,-0.015037,abdelfattah-compute-03,rush-compute-02,0,0
100000000,dclm,2027,4.70,no_role_depth,role_depth_v3,1,1,1200,1200,39321600,39321600,109.888,109.754,7.521,7.488,0,0,0.000000,-0.033,20.335,20.293,-0.042,4.273677,4.270991,-0.002686,abdelfattah-compute-03,elor-compute-01,0,0
100000000,dclm,2027,4.70,no_role_depth,role_depth_v4,1,1,1200,1200,39321600,39321600,109.888,108.421,7.521,7.714,0,0,0.000000,0.193,20.335,20.822,0.487,4.273677,4.262203,-0.011474,abdelfattah-compute-03,elor-compute-01,0,0
100000000,dclm,2027,4.70,no_role_depth,role_depth_v5,1,1,1200,1200,39321600,39321600,109.888,108.497,7.521,8.879,0,0,0.000000,1.358,20.335,24.006,3.671,4.273677,4.258960,-0.014717,abdelfattah-compute-03,rush-compute-02,0,0
100000000,dclm,2027,4.70,no_role_depth,role_depth_v6,1,1,1200,1200,39321600,39321600,109.888,108.587,7.521,9.346,0,0,0.000000,1.825,20.335,25.104,4.769,4.273677,4.263743,-0.009934,abdelfattah-compute-03,damle-compute-01,0,1
100000000,dclm,2027,4.55,full,no_role_depth,1,1,1550,1600,50790400,52428800,93.300,92.439,13.221,10.028,1638400,50,0.032258,-3.194,27.383,20.335,-7.048,4.258865,4.273677,0.014812,,abdelfattah-compute-03,,0
100000000,dclm,2027,4.55,full,role_depth_v2,1,1,1550,1550,50790400,50790400,93.300,93.152,13.221,11.467,0,0,0.000000,-1.754,27.383,23.944,-3.439,4.258865,4.258640,-0.000226,,rush-compute-02,,0
100000000,dclm,2027,4.55,full,role_depth_v3,1,1,1550,1550,50790400,50790400,93.300,94.170,13.221,9.672,0,0,0.000000,-3.550,27.383,20.293,-7.090,4.258865,4.270991,0.012126,,elor-compute-01,,0
100000000,dclm,2027,4.55,full,role_depth_v4,1,1,1550,1500,50790400,49152000,93.300,94.627,13.221,9.642,-1638400,-50,-0.032258,-3.579,27.383,20.822,-6.561,4.258865,4.262203,0.003337,,elor-compute-01,,0
100000000,dclm,2027,4.55,full,role_depth_v5,1,1,1550,1500,50790400,49152000,93.300,94.379,13.221,11.099,-1638400,-50,-0.032258,-2.122,27.383,24.006,-3.377,4.258865,4.258960,0.000094,,rush-compute-02,,0
100000000,dclm,2027,4.55,full,role_depth_v6,1,1,1550,1500,50790400,49152000,93.300,94.475,13.221,11.682,-1638400,-50,-0.032258,-1.539,27.383,25.104,-2.279,4.258865,4.263743,0.004878,,damle-compute-01,,1
100000000,dclm,2027,4.55,no_role_depth,full,1,1,1600,1550,52428800,50790400,92.439,93.300,10.028,13.221,-1638400,-50,-0.031250,3.194,20.335,27.383,7.048,4.273677,4.258865,-0.014812,abdelfattah-compute-03,,0,
100000000,dclm,2027,4.55,no_role_depth,role_depth_v2,1,1,1600,1550,52428800,50790400,92.439,93.152,10.028,11.467,-1638400,-50,-0.031250,1.439,20.335,23.944,3.609,4.273677,4.258640,-0.015037,abdelfattah-compute-03,rush-compute-02,0,0
100000000,dclm,2027,4.55,no_role_depth,role_depth_v3,1,1,1600,1550,52428800,50790400,92.439,94.170,10.028,9.672,-1638400,-50,-0.031250,-0.356,20.335,20.293,-0.042,4.273677,4.270991,-0.002686,abdelfattah-compute-03,elor-compute-01,0,0
100000000,dclm,2027,4.55,no_role_depth,role_depth_v4,1,1,1600,1500,52428800,49152000,92.439,94.627,10.028,9.642,-3276800,-100,-0.062500,-0.385,20.335,20.822,0.487,4.273677,4.262203,-0.011474,abdelfattah-compute-03,elor-compute-01,0,0
100000000,dclm,2027,4.55,no_role_depth,role_depth_v5,1,1,1600,1500,52428800,49152000,92.439,94.379,10.028,11.099,-3276800,-100,-0.062500,1.071,20.335,24.006,3.671,4.273677,4.258960,-0.014717,abdelfattah-compute-03,rush-compute-02,0,0
100000000,dclm,2027,4.55,no_role_depth,role_depth_v6,1,1,1600,1500,52428800,49152000,92.439,94.475,10.028,11.682,-3276800,-100,-0.062500,1.654,20.335,25.104,4.769,4.273677,4.263743,-0.009934,abdelfattah-compute-03,damle-compute-01,0,1
100000000,dclm,2027,4.45,full,no_role_depth,1,1,1850,1850,60620800,60620800,84.482,85.364,15.780,11.595,0,0,0.000000,-4.186,27.383,20.335,-7.048,4.258865,4.273677,0.014812,,abdelfattah-compute-03,,0
100000000,dclm,2027,4.45,full,role_depth_v2,1,1,1850,1850,60620800,60620800,84.482,84.436,15.780,13.686,0,0,0.000000,-2.094,27.383,23.944,-3.439,4.258865,4.258640,-0.000226,,rush-compute-02,,0
