row_index,row_id,phase,dataset,dataset_name,dataset_config,text_column,train_split,val_split,val_skip_tokens,model,layers,d_model,heads,ffn_dim,seq_len,batch_size,grad_accum,global_tokens_per_step,train_tokens,val_tokens,steps,eval_interval,eval_batches,seed,method,activation,optimizer,lr,min_lr,weight_decay,extra_args
0,E0_preflight_dclm_m0_smoke80_seed1337_silu_adamw,E0_preflight,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,
1,E0_preflight_dclm_m0_smoke80_seed1337_rlb_adamw,E0_preflight,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,rlb_adamw,rlb_fused_fixed_strong_ffn,adamw,0.0003,0.00003,0.10,
2,E0_preflight_dclm_m0_smoke80_seed1337_rlb_matrixpolicy_original,E0_preflight,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,rlb_matrixpolicy_original,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35
3,E0_preflight_fineweb_edu_m0_smoke80_seed1337_silu_adamw,E0_preflight,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,
4,E0_preflight_fineweb_edu_m0_smoke80_seed1337_rlb_adamw,E0_preflight,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,rlb_adamw,rlb_fused_fixed_strong_ffn,adamw,0.0003,0.00003,0.10,
5,E0_preflight_fineweb_edu_m0_smoke80_seed1337_rlb_matrixpolicy_original,E0_preflight,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,rlb_matrixpolicy_original,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35
6,E0_preflight_fineweb_m0_smoke80_seed1337_silu_adamw,E0_preflight,fineweb,HuggingFaceFW/fineweb,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,
7,E0_preflight_fineweb_m0_smoke80_seed1337_rlb_adamw,E0_preflight,fineweb,HuggingFaceFW/fineweb,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,rlb_adamw,rlb_fused_fixed_strong_ffn,adamw,0.0003,0.00003,0.10,
8,E0_preflight_fineweb_m0_smoke80_seed1337_rlb_matrixpolicy_original,E0_preflight,fineweb,HuggingFaceFW/fineweb,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,rlb_matrixpolicy_original,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35
9,E0_preflight_dolma_sample_m0_smoke80_seed1337_silu_adamw,E0_preflight,dolma_sample,allenai/dolma,v1_6-sample,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,
10,E0_preflight_dolma_sample_m0_smoke80_seed1337_rlb_adamw,E0_preflight,dolma_sample,allenai/dolma,v1_6-sample,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,rlb_adamw,rlb_fused_fixed_strong_ffn,adamw,0.0003,0.00003,0.10,
11,E0_preflight_dolma_sample_m0_smoke80_seed1337_rlb_matrixpolicy_original,E0_preflight,dolma_sample,allenai/dolma,v1_6-sample,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,rlb_matrixpolicy_original,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35
12,E0_preflight_c4_en_m0_smoke80_seed1337_silu_adamw,E0_preflight,c4_en,allenai/c4,en,text,train,validation,0,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,
13,E0_preflight_c4_en_m0_smoke80_seed1337_rlb_adamw,E0_preflight,c4_en,allenai/c4,en,text,train,validation,0,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,rlb_adamw,rlb_fused_fixed_strong_ffn,adamw,0.0003,0.00003,0.10,
14,E0_preflight_c4_en_m0_smoke80_seed1337_rlb_matrixpolicy_original,E0_preflight,c4_en,allenai/c4,en,text,train,validation,0,M0,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,1337,rlb_matrixpolicy_original,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35
15,E1_m0_100m_dclm_m0_100m_seed1337_silu_adamw,E1_m0_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,
16,E1_m0_100m_dclm_m0_100m_seed1337_rlb_adamw,E1_m0_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_adamw,rlb_fused_fixed_strong_ffn,adamw,0.0003,0.00003,0.10,
17,E1_m0_100m_dclm_m0_100m_seed1337_silu_muon,E1_m0_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,silu_muon,silu,muon,0.0003,0.00003,0.10,--muon-momentum 0.95 --muon-ns-steps 5 --muon-adjust-lr-fn match_rms_adamw
