row_index,row_id,phase,dataset,dataset_name,dataset_config,dataset_revision,dataset_streaming,text_column,train_split,val_split,train_skip_documents,validation_skip_documents,train_skip_tokens,val_skip_tokens,cache_dir,model,layers,d_model,heads,ffn_dim,seq_len,batch_size,grad_accum,global_tokens_per_step,train_tokens,val_tokens,steps,eval_interval,eval_batches,log_interval,seed,method,activation,optimizer,lr,min_lr,weight_decay,warmup_steps,beta1,beta2,eps,grad_clip,muon_momentum,muon_ns_steps,muon_adjust_lr_fn,init_std,rational_init,post_rational_init,rational_group_size,rational_max_groups,probe_batch_size,matrix_spectrum_interval,telemetry_rlb_stat_every,sam_rho,sam_adaptive,tokenizer,tokenizer_revision,extra_args
0,12l_768d_preflight_2621440_tokens_80_steps_dclm_seed1337_silu_adamw,12l_768d_preflight_2621440_tokens_80_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,10,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
1,12l_768d_preflight_2621440_tokens_80_steps_dclm_seed1337_rlb_adamw,12l_768d_preflight_2621440_tokens_80_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,10,1337,rlb_adamw,rlb_fused_global_rational,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
2,12l_768d_preflight_2621440_tokens_80_steps_fineweb_edu_seed1337_silu_adamw,12l_768d_preflight_2621440_tokens_80_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,10,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
3,12l_768d_preflight_2621440_tokens_80_steps_fineweb_edu_seed1337_rlb_adamw,12l_768d_preflight_2621440_tokens_80_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,10,1337,rlb_adamw,rlb_fused_global_rational,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
4,12l_768d_preflight_2621440_tokens_80_steps_fineweb_seed1337_silu_adamw,12l_768d_preflight_2621440_tokens_80_steps,fineweb,HuggingFaceFW/fineweb,sample-10BT,9bb295ddab0e05d785b879661af7260fed5140fc,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb,12l_768d,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,10,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
5,12l_768d_preflight_2621440_tokens_80_steps_fineweb_seed1337_rlb_adamw,12l_768d_preflight_2621440_tokens_80_steps,fineweb,HuggingFaceFW/fineweb,sample-10BT,9bb295ddab0e05d785b879661af7260fed5140fc,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb,12l_768d,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,10,1337,rlb_adamw,rlb_fused_global_rational,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
6,12l_768d_preflight_2621440_tokens_80_steps_dolma_sample_seed1337_silu_adamw,12l_768d_preflight_2621440_tokens_80_steps,dolma_sample,allenai/dolma,v1_6-sample,7f48140530a023e9ea4c5cfb141160922727d4d3,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dolma_sample,12l_768d,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,10,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
7,12l_768d_preflight_2621440_tokens_80_steps_dolma_sample_seed1337_rlb_adamw,12l_768d_preflight_2621440_tokens_80_steps,dolma_sample,allenai/dolma,v1_6-sample,7f48140530a023e9ea4c5cfb141160922727d4d3,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dolma_sample,12l_768d,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,10,1337,rlb_adamw,rlb_fused_global_rational,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
8,12l_768d_preflight_2621440_tokens_80_steps_c4_en_seed1337_silu_adamw,12l_768d_preflight_2621440_tokens_80_steps,c4_en,allenai/c4,en,1588ec454efa1a09f29cd18ddd04fe05fc8653a2,true,text,train,validation,0,0,0,0,experiments/cache/tokens_iclr26_main/c4_en,12l_768d,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,10,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
9,12l_768d_preflight_2621440_tokens_80_steps_c4_en_seed1337_rlb_adamw,12l_768d_preflight_2621440_tokens_80_steps,c4_en,allenai/c4,en,1588ec454efa1a09f29cd18ddd04fe05fc8653a2,true,text,train,validation,0,0,0,0,experiments/cache/tokens_iclr26_main/c4_en,12l_768d,12,768,12,2048,256,16,2,32768,2621440,200000,80,40,2,10,1337,rlb_adamw,rlb_fused_global_rational,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
10,12l_768d_100m_tokens_3050_steps_dclm_seed1337_silu_adamw,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
