run_index,model_scale,dataset,seed,train_tokens,steps_required,steps_completed,status,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,step1000_validation_loss,final_validation_loss,final_validation_perplexity,matched_control_step1000_validation_loss,matched_control_validation_loss,lead_at_step1000_vs_matched_control,lead_vs_matched_control,time_scope,total_seconds,matched_control_total_seconds,total_time_ratio_vs_matched_control,training_loop_total_seconds,mean_seconds_per_step,tokens_per_second,stopped_early,lr_wd_fairness_passed,realized_lr_trace_sha256,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,source_phase,source_row_index,source_row_id,source_jsonl,source_jsonl_sha256
187,12l_768d,c4_en,1337,100000000,3050,460,stopped_early,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,,31901.453125,,,,,,training_loop,233.95465793996118,,,233.95465793996118,0.4781876795318817,68525.39578618587,True,,,982115,0,damle-compute-01,982115:0:1782486674,12l_768d_100m_tokens_3050_steps,187,12l_768d_100m_tokens_3050_steps_c4_en_seed1337_rlb_ademamix,,
186,12l_768d,c4_en,1337,100000000,3050,3050,complete,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,,158.670578,,,,,,training_loop,1671.4643453360186,,,1671.4643453360186,0.5296165498464456,61871.17832609384,False,,,,,,,12l_768d_100m_tokens_3050_steps,186,12l_768d_100m_tokens_3050_steps_c4_en_seed1337_silu_ademamix,,
201,12l_768d,c4_en,2027,100000000,3050,478,stopped_early,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,,3467.804443,,,,,,training_loop,241.16477416502312,,,241.16477416502312,0.4753632262195549,68932.55134730494,True,,,982122,0,ellis-compute-02,982122:0:1782490384,12l_768d_100m_tokens_3050_steps,201,12l_768d_100m_tokens_3050_steps_c4_en_seed2027_rlb_ademamix,,
200,12l_768d,c4_en,2027,100000000,3050,3050,complete,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,,774.036255,,,,,,training_loop,1244.7335920070182,,,1244.7335920070182,0.3897751770211859,84068.97599386869,False,,,,,,,12l_768d_100m_tokens_3050_steps,200,12l_768d_100m_tokens_3050_steps_c4_en_seed2027_silu_ademamix,,
215,12l_768d,c4_en,3407,100000000,3050,523,stopped_early,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,,1349328640.000000,,,,,,training_loop,224.98344609793276,,,224.98344609793276,0.40068751897727606,81779.43771155585,True,,,982129,0,seo-compute-01,982129:0:1782496495,12l_768d_100m_tokens_3050_steps,215,12l_768d_100m_tokens_3050_steps_c4_en_seed3407_rlb_ademamix,,
214,12l_768d,c4_en,3407,100000000,3050,3050,complete,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,,102.290123,,,,,,training_loop,1246.1514956419705,,,1246.1514956419705,0.3905721116587573,83897.4392227712,False,,,,,,,12l_768d_100m_tokens_3050_steps,214,12l_768d_100m_tokens_3050_steps_c4_en_seed3407_silu_ademamix,,
19,12l_768d,dclm,1337,100000000,3050,414,stopped_early,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,,246105152.000000,,,,,,training_loop,192.53942825901322,,,192.53942825901322,0.43456711215627425,75403.77328005515,True,,,982030,0,lancer-compute-01,982030:0:1782427528,12l_768d_100m_tokens_3050_steps,19,12l_768d_100m_tokens_3050_steps_dclm_seed1337_rlb_ademamix,,
18,12l_768d,dclm,1337,100000000,3050,3050,complete,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,,34.271767,,,,,,training_loop,1995.4820759760041,,,1995.4820759760041,0.6353294741064318,51576.388843106986,False,,,,,,,12l_768d_100m_tokens_3050_steps,18,12l_768d_100m_tokens_3050_steps_dclm_seed1337_silu_ademamix,,
33,12l_768d,dclm,2027,100000000,3050,727,non_finite,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,,nan,,,,,,training_loop,347.4245969248004,,,347.4245969248004,0.45110357114000355,72639.63776032753,True,,,982037,0,rush-compute-02,982037:0:1782432034,12l_768d_100m_tokens_3050_steps,33,12l_768d_100m_tokens_3050_steps_dclm_seed2027_rlb_ademamix,,
32,12l_768d,dclm,2027,100000000,3050,3050,complete,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,,61.614742,,,,,,training_loop,1964.315281311021,,,1964.315281311021,0.6263338302427861,52317.14848820816,False,,,,,,,12l_768d_100m_tokens_3050_steps,32,12l_768d_100m_tokens_3050_steps_dclm_seed2027_silu_ademamix,,
