model_scale,dataset,train_tokens,steps_required,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,runs_total,runs_reached_required_step,runs_stopped_early,runs_non_finite,endpoint_seed_count,validation_loss_mean,validation_loss_sample_std,matched_control_seed_count,matched_control_validation_loss_mean,lead_vs_matched_control_mean,lead_vs_matched_control_sample_std,exact_time_ratio_seed_count,exact_total_time_ratio_mean,exact_total_time_ratio_sample_std,total_seconds_mean,total_seconds_sample_std,mean_seconds_per_step,tokens_per_second_mean,status
12l_768d,c4_en,100000000,3050,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,3,0,3,0,0,,,0,,,,0,,,233.367626067639,8.106620708904737,0.45141280824290425,73079.12828168222,stopped_early
12l_768d,c4_en,100000000,3050,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,3,3,0,0,3,344.99898533333334,372.62504344014883,0,,,,0,,,1387.4498109950025,245.96482350203593,0.4366546128421296,76612.53118091125,complete
12l_768d,c4_en,300000000,9150,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,3,0,3,3,0,,,0,,,,0,,,287.4099592231214,55.43309712665509,0.43389321373797113,75864.38028004717,non_finite
12l_768d,c4_en,300000000,9150,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,3,3,0,3,0,,,0,,,,0,,,5442.8878232399975,686.0675009814153,0.4792343325345081,69794.39236059839,non_finite
12l_768d,dclm,100000000,3050,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,3,0,3,2,0,,,0,,,,0,,,247.8083312866123,86.44287302053098,0.44018111889082717,74464.7340723428,non_finite
12l_768d,dclm,100000000,3050,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,3,3,0,0,3,48.64545433333333,13.725480839681223,0,,,,0,,,2021.716620118008,74.08821066752313,0.6439269424214644,50930.80759821526,complete
12l_768d,dclm,300000000,9150,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,3,0,3,3,0,,,0,,,,0,,,325.85315068737447,114.02903858567802,0.46450369390944,71263.79488536828,non_finite
12l_768d,dclm,300000000,9150,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,3,3,0,3,0,,,0,,,,0,,,5119.453725485946,1084.2826018925352,0.48228944726421136,69300.39637159674,non_finite
12l_768d,dolma_sample,100000000,3050,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,3,0,3,1,0,,,0,,,,0,,,449.5803744599689,303.320030882388,0.469345771759685,69833.95138642343,non_finite
12l_768d,dolma_sample,100000000,3050,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,3,3,0,0,3,28427.185401666666,40987.716726735795,0,,,,0,,,1520.8237732793398,243.9344254948723,0.4800696031599916,69674.47888224997,complete
12l_768d,dolma_sample,300000000,9150,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,3,0,3,3,0,,,0,,,,0,,,322.48642299013835,151.4011338622272,0.4134494281765228,79606.00997542839,non_finite
12l_768d,dolma_sample,300000000,9150,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,3,3,0,3,0,,,0,,,,0,,,4784.29063204769,750.3265781552781,0.4278550836104495,78310.34713504872,non_finite
12l_768d,fineweb,100000000,3050,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,3,0,3,2,0,,,0,,,,0,,,269.83135948562995,79.24689313682299,0.4675710305797299,70101.03778291745,non_finite
12l_768d,fineweb,100000000,3050,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,3,3,0,0,3,51.99653733333333,15.13224311051717,0,,,,0,,,1486.0749136482289,318.7176323545607,0.46937336499624865,72556.70437528485,complete
12l_768d,fineweb,300000000,9150,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,3,0,3,3,0,,,0,,,,0,,,273.56385783032357,25.107142749929363,0.43354507074196774,75932.03740891964,non_finite
12l_768d,fineweb,300000000,9150,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,3,3,0,2,1,1361.4140625,,0,,,,0,,,9037.771774923001,8598.83504312558,0.9251338920703421,60189.710660695826,non_finite
12l_768d,fineweb_edu,100000000,3050,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,3,0,3,0,0,,,0,,,,0,,,280.4031497418958,39.51186129402354,0.4456596105834605,73698.49558456439,stopped_early
12l_768d,fineweb_edu,100000000,3050,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,3,3,0,0,3,242.85369633333335,242.01215538988882,0,,,,0,,,1668.538648508198,510.1492581777858,0.5293483185070196,67381.73205912916,complete
12l_768d,fineweb_edu,300000000,9150,rlb_fused_global_rational,GRAIN,ademamix,ADeMaMix,rlb_ademamix,GRAIN + ADeMaMix,3,0,3,3,0,,,0,,,,0,,,283.1039084919418,22.78759090518419,0.4285504637217558,76584.79674991775,non_finite
12l_768d,fineweb_edu,300000000,9150,silu,SwiGLU,ademamix,ADeMaMix,silu_ademamix,SwiGLU + ADeMaMix,3,3,0,3,0,,,0,,,,0,,,5309.269116561986,641.8569950183715,0.4762467264709331,70175.39499567907,non_finite
