run_index,model_scale,dataset,seed,train_tokens,steps_required,steps_completed,status,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,step1000_validation_loss,final_validation_loss,final_validation_perplexity,matched_control_step1000_validation_loss,matched_control_validation_loss,lead_at_step1000_vs_matched_control,lead_vs_matched_control,time_scope,total_seconds,matched_control_total_seconds,total_time_ratio_vs_matched_control,training_loop_total_seconds,mean_seconds_per_step,tokens_per_second,stopped_early,lr_wd_fairness_passed,realized_lr_trace_sha256,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,source_phase,source_row_index,source_row_id,source_jsonl,source_jsonl_sha256
189,12l_768d,c4_en,1337,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,adafactor_came,CAME,rlb_came,GRAIN + CAME,,5.083476,,,5.104103,,0.020627000000000173,training_loop,1570.9230334130116,,,1570.9230334130116,0.4884694401491342,67083.00930759482,False,,,982116,0,rush-compute-03,982116:0:1782485607,12l_768d_100m_tokens_3050_steps,189,12l_768d_100m_tokens_3050_steps_c4_en_seed1337_rlb_came,,
188,12l_768d,c4_en,1337,100000000,3050,3050,complete,silu,SwiGLU,adafactor_came,CAME,silu_came,SwiGLU + CAME,,5.104103,,,,,,training_loop,1753.8215257909615,,,1753.8215257909615,0.5548546788545917,59056.90489561026,False,,,,,,,12l_768d_100m_tokens_3050_steps,188,12l_768d_100m_tokens_3050_steps_c4_en_seed1337_silu_came,,
203,12l_768d,c4_en,2027,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,adafactor_came,CAME,rlb_came,GRAIN + CAME,,5.113583,,,5.139506,,0.025922999999999696,training_loop,1383.072707277257,,,1383.072707277257,0.42759353933406286,76633.52456408278,False,,,982123,1,seo-compute-01,982123:1:1782492434,12l_768d_100m_tokens_3050_steps,203,12l_768d_100m_tokens_3050_steps_c4_en_seed2027_rlb_came,,
202,12l_768d,c4_en,2027,100000000,3050,3050,complete,silu,SwiGLU,adafactor_came,CAME,silu_came,SwiGLU + CAME,,5.139506,,,,,,training_loop,1327.7116821769741,,,1327.7116821769741,0.4176074042595152,78466.0417075289,False,,,,,,,12l_768d_100m_tokens_3050_steps,202,12l_768d_100m_tokens_3050_steps_c4_en_seed2027_silu_came,,
217,12l_768d,c4_en,3407,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,adafactor_came,CAME,rlb_came,GRAIN + CAME,,5.102804,,,5.125265,,0.022460999999999842,training_loop,1621.522131417063,,,1621.522131417063,0.5008844294377307,65420.28075575001,False,,,982130,0,ellis-compute-02,982130:0:1782495550,12l_768d_100m_tokens_3050_steps,217,12l_768d_100m_tokens_3050_steps_c4_en_seed3407_rlb_came,,
216,12l_768d,c4_en,3407,100000000,3050,3050,complete,silu,SwiGLU,adafactor_came,CAME,silu_came,SwiGLU + CAME,,5.125265,,,,,,training_loop,1327.857845343009,,,1327.857845343009,0.41758245230200874,78470.73031771257,False,,,,,,,12l_768d_100m_tokens_3050_steps,216,12l_768d_100m_tokens_3050_steps_c4_en_seed3407_silu_came,,
21,12l_768d,dclm,1337,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,adafactor_came,CAME,rlb_came,GRAIN + CAME,,5.005087,,,5.000495,,-0.004591999999999707,training_loop,1382.9371192227118,,,1382.9371192227118,0.4268773912716724,76762.08829515138,False,,,982031,0,seo-compute-01,982031:0:1782427627,12l_768d_100m_tokens_3050_steps,21,12l_768d_100m_tokens_3050_steps_dclm_seed1337_rlb_came,,
20,12l_768d,dclm,1337,100000000,3050,3050,complete,silu,SwiGLU,adafactor_came,CAME,silu_came,SwiGLU + CAME,,5.000495,,,,,,training_loop,2088.1068734529836,,,2088.1068734529836,0.6660348106666555,49198.62967402779,False,,,,,,,12l_768d_100m_tokens_3050_steps,20,12l_768d_100m_tokens_3050_steps_dclm_seed1337_silu_came,,
35,12l_768d,dclm,2027,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,adafactor_came,CAME,rlb_came,GRAIN + CAME,,5.000548,,,5.004458,,0.003909999999999414,training_loop,1498.0201202780008,,,1498.0201202780008,0.4634188708440937,70709.2482883029,False,,,982038,0,lancer-compute-01,982038:0:1782432212,12l_768d_100m_tokens_3050_steps,35,12l_768d_100m_tokens_3050_steps_dclm_seed2027_rlb_came,,
34,12l_768d,dclm,2027,100000000,3050,3050,complete,silu,SwiGLU,adafactor_came,CAME,silu_came,SwiGLU + CAME,,5.004458,,,,,,training_loop,2046.1126636989939,,,2046.1126636989939,0.6534457094777736,50146.4766310698,False,,,,,,,12l_768d_100m_tokens_3050_steps,34,12l_768d_100m_tokens_3050_steps_dclm_seed2027_silu_came,,
49,12l_768d,dclm,3407,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,adafactor_came,CAME,rlb_came,GRAIN + CAME,,5.016489,,,5.027017,,0.01052799999999987,training_loop,1521.9174159588292,,,1521.9174159588292,0.4721080947379094,69407.8334288912,False,,,982045,0,rush-compute-02,982045:0:1782437006,12l_768d_100m_tokens_3050_steps,49,12l_768d_100m_tokens_3050_steps_dclm_seed3407_rlb_came,,
