model_scale,dataset,train_tokens,steps_required,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,runs_total,runs_reached_required_step,runs_stopped_early,runs_non_finite,endpoint_seed_count,validation_loss_mean,validation_loss_sample_std,matched_control_seed_count,matched_control_validation_loss_mean,lead_vs_matched_control_mean,lead_vs_matched_control_sample_std,exact_time_ratio_seed_count,exact_total_time_ratio_mean,exact_total_time_ratio_sample_std,total_seconds_mean,total_seconds_sample_std,mean_seconds_per_step,tokens_per_second_mean,status
12l_768d,c4_en,100000000,3050,rlb_fused_global_rational,GRAIN,adafactor_came,CAME,rlb_came,GRAIN + CAME,3,3,0,0,3,5.099954333333334,0.015254452213479649,3,5.122958,0.02300366666666657,0.0026893808457212082,0,,,1525.1726240357773,125.63581072604134,0.47231580297364256,69712.27154247586,complete
12l_768d,c4_en,100000000,3050,silu,SwiGLU,adafactor_came,CAME,silu_came,SwiGLU + CAME,3,3,0,0,3,5.122958,0.017813893145519667,0,,,,0,,,1469.7970177703148,245.97245009999702,0.4633481784720386,71997.89230695058,complete
12l_768d,c4_en,300000000,9150,rlb_fused_global_rational,GRAIN,adafactor_came,CAME,rlb_came,GRAIN + CAME,3,3,0,0,3,4.365085442860921,0.058181513694018305,3,4.329752445220947,-0.03533299763997396,0.048752280068058526,0,,,4818.371363888883,890.2805135156547,0.5010623506276417,66953.9940602295,complete
12l_768d,c4_en,300000000,9150,silu,SwiGLU,adafactor_came,CAME,silu_came,SwiGLU + CAME,3,3,0,0,3,4.329752445220947,0.014752498439555702,0,,,,0,,,4843.904245640333,728.7397399530723,0.5119413390108599,65146.416975896944,complete
12l_768d,dclm,100000000,3050,rlb_fused_global_rational,GRAIN,adafactor_came,CAME,rlb_came,GRAIN + CAME,3,3,0,0,3,5.007374666666666,0.008213034416909046,3,5.010656666666667,0.0032819999999998592,0.007579537452905447,0,,,1467.6248851531807,74.30870378989694,0.45413478561789183,72293.05667078182,complete
12l_768d,dclm,100000000,3050,silu,SwiGLU,adafactor_came,CAME,silu_came,SwiGLU + CAME,3,3,0,0,3,5.010656666666667,0.014306352516743533,0,,,,0,,,2103.241821946654,66.01101616819199,0.6710004255892307,48864.624127732786,complete
12l_768d,dclm,300000000,9150,rlb_fused_global_rational,GRAIN,adafactor_came,CAME,rlb_came,GRAIN + CAME,3,3,0,0,3,4.4502614339192705,0.04261851270739022,3,4.368189175923665,-0.08207225799560547,0.03333228983324981,0,,,4525.0132719673375,421.4713001729862,0.4659639549659191,70690.73737152961,complete
12l_768d,dclm,300000000,9150,silu,SwiGLU,adafactor_came,CAME,silu_came,SwiGLU + CAME,3,3,0,0,3,4.368189175923665,0.022586368465654358,0,,,,0,,,4811.813177780675,701.1869332408738,0.5084900036664839,65528.99276351306,complete
12l_768d,dolma_sample,100000000,3050,rlb_fused_global_rational,GRAIN,adafactor_came,CAME,rlb_came,GRAIN + CAME,3,3,0,0,3,5.142536666666667,0.01635383087638314,3,5.164954000000001,0.02241733333333329,0.0025201877575551372,0,,,1609.4320758493461,12.97049324279977,0.499414044728943,65615.79053580154,complete
12l_768d,dolma_sample,100000000,3050,silu,SwiGLU,adafactor_came,CAME,silu_came,SwiGLU + CAME,3,3,0,0,3,5.164954000000001,0.018870211763517435,0,,,,0,,,1597.155636689645,244.0302626258722,0.5050623729445316,66084.67715938059,complete
