dataset,target_loss,matrixpolicy_mean_tokens_all_hits,matrixpolicy_hit_seeds,matrixpolicy_mean_tokens_second_best_common,second_best_mean_tokens_common,second_best_common_seeds,saved_tokens_vs_second_best,saved_fraction_vs_second_best,matrixpolicy_mean_tokens_silu_adamw_common,silu_adamw_mean_tokens_common,silu_adamw_common_seeds,saved_tokens_vs_silu_adamw,saved_fraction_vs_silu_adamw
dclm,4.9,30037333.333333332,3,30037333.333333332,32221866.666666668,3,2184533.333333336,0.0677966101694916,30037333.333333332,36044800.0,3,6007466.666666668,0.1666666666666667
dclm,4.7,39867733.333333336,3,39867733.333333336,42052266.666666664,3,2184533.3333333284,0.051948051948051834,39867733.333333336,48605866.666666664,3,8738133.333333328,0.17977528089887632
dclm,4.55,50244266.666666664,3,50244266.666666664,53521066.666666664,3,3276800.0,0.06122448979591837,50244266.666666664,63351466.666666664,3,13107200.0,0.20689655172413793
dclm,4.45,60620800.0,3,60620800.0,64443733.333333336,3,3822933.333333336,0.05932203389830512,60620800.0,82466133.33333333,3,21845333.33333333,0.2649006622516556
dclm,4.35,73728000.0,3,73728000.0,83012266.66666667,3,9284266.666666672,0.11184210526315795,nan,nan,0,nan,nan
dclm,4.3,84650666.66666667,3,85196800.0,99942400.0,1,14745600.0,0.14754098360655737,nan,nan,0,nan,nan
fineweb_edu,4.8,30037333.333333332,3,30037333.333333332,32221866.666666668,3,2184533.333333336,0.0677966101694916,30037333.333333332,34406400.0,3,4369066.666666668,0.12698412698412703
fineweb_edu,4.6,38229333.333333336,3,38229333.333333336,39321600.0,3,1092266.6666666642,0.027777777777777714,38229333.333333336,45329066.666666664,3,7099733.333333328,0.15662650602409628
fineweb_edu,4.4,49698133.333333336,3,49698133.333333336,52428800.0,3,2730666.666666664,0.05208333333333329,49698133.333333336,61713066.666666664,3,12014933.333333328,0.19469026548672558
fineweb_edu,4.3,58436266.666666664,3,58436266.666666664,63351466.666666664,3,4915200.0,0.07758620689655173,58436266.666666664,78097066.66666667,3,19660800.000000007,0.25174825174825183
fineweb_edu,4.2,71543466.66666667,3,71543466.66666667,80281600.0,3,8738133.333333328,0.10884353741496593,nan,nan,0,nan,nan
fineweb_edu,4.1,95027200.0,3,nan,nan,0,nan,nan,nan,nan,0,nan,nan
fineweb,5.0,30583466.666666668,3,30583466.666666668,32221866.666666668,3,1638400.0,0.05084745762711864,30583466.666666668,34952533.333333336,3,4369066.666666668,0.12500000000000003
fineweb,4.8,38775466.666666664,3,38775466.666666664,40413866.666666664,3,1638400.0,0.04054054054054054,38775466.666666664,46967466.666666664,3,8192000.0,0.1744186046511628
fineweb,4.6,51882666.666666664,3,51882666.666666664,55159466.666666664,3,3276800.0,0.05940594059405941,51882666.666666664,67174400.0,3,15291733.333333336,0.22764227642276427
fineweb,4.5,62259200.0,3,62259200.0,66628266.666666664,3,4369066.666666664,0.06557377049180324,62259200.0,89019733.33333333,3,26760533.33333333,0.3006134969325153
fineweb,4.4,77004800.0,3,77004800.0,86289066.66666667,3,9284266.666666672,0.1075949367088608,nan,nan,0,nan,nan
fineweb,4.35,88473600.0,3,nan,nan,0,nan,nan,nan,nan,0,nan,nan
dolma_sample,5.0,31675733.333333332,3,31675733.333333332,33314133.333333332,3,1638400.0,0.04918032786885246,31675733.333333332,36590933.333333336,3,4915200.000000004,0.1343283582089553
dolma_sample,4.8,39867733.333333336,3,39867733.333333336,41506133.333333336,3,1638400.0,0.039473684210526314,39867733.333333336,48059733.333333336,3,8192000.0,0.17045454545454544
dolma_sample,4.6,53521066.666666664,3,53521066.666666664,56251733.333333336,3,2730666.6666666716,0.04854368932038844,53521066.666666664,69358933.33333333,3,15837866.666666664,0.22834645669291337
dolma_sample,4.5,63351466.666666664,3,63351466.666666664,67174400.0,3,3822933.333333336,0.056910569105691096,63351466.666666664,92842666.66666667,3,29491200.000000007,0.31764705882352945
dolma_sample,4.4,77550933.33333333,3,77550933.33333333,87381333.33333333,3,9830400.0,0.1125,nan,nan,0,nan,nan
dolma_sample,4.35,89565866.66666667,3,nan,nan,0,nan,nan,nan,nan,0,nan,nan
c4_en,5.0,29491200.0,3,29491200.0,31129600.0,3,1638400.0,0.05263157894736842,29491200.0,34406400.0,3,4915200.0,0.14285714285714285
c4_en,4.8,37683200.0,3,37683200.0,38775466.666666664,3,1092266.6666666642,0.02816901408450698,37683200.0,45329066.666666664,3,7645866.666666664,0.16867469879518068
c4_en,4.6,49698133.333333336,3,49698133.333333336,51882666.666666664,3,2184533.3333333284,0.042105263157894646,49698133.333333336,63351466.666666664,3,13653333.333333328,0.21551724137931028
c4_en,4.5,58436266.666666664,3,58436266.666666664,61713066.666666664,3,3276800.0,0.05309734513274336,58436266.666666664,80281600.0,3,21845333.333333336,0.272108843537415
c4_en,4.4,71543466.66666667,3,71543466.66666667,78097066.66666667,3,6553600.0,0.0839160839160839,nan,nan,0,nan,nan
c4_en,4.3,nan,2,nan,nan,0,nan,nan,nan,nan,0,nan,nan
