dataset,target_loss,seed,matrixpolicy_step,matrixpolicy_tokens,second_best_method,second_best_step,second_best_tokens,silu_adamw_step,silu_adamw_tokens
dclm,4.9,1337,900,29491200,rlb_lion,1000,32768000,1100,36044800
dclm,4.9,2027,900,29491200,rlb_lion,950,31129600,1100,36044800
dclm,4.9,3407,900,29491200,rlb_lion,1000,32768000,1100,36044800
dclm,4.7,1337,1250,40960000,rlb_lion,1300,42598400,1450,47513600
dclm,4.7,2027,1200,39321600,rlb_lion,1300,42598400,1500,49152000
dclm,4.7,3407,1200,39321600,rlb_lion,1250,40960000,1500,49152000
dclm,4.55,1337,1550,50790400,rlb_lion,1650,54067200,1900,62259200
dclm,4.55,2027,1550,50790400,rlb_lion,1650,54067200,1950,63897600
dclm,4.55,3407,1550,50790400,rlb_lion,1600,52428800,1950,63897600
dclm,4.45,1337,1800,58982400,rlb_lion,2000,65536000,2450,80281600
dclm,4.45,2027,1850,60620800,rlb_lion,1950,63897600,2550,83558400
dclm,4.45,3407,1850,60620800,rlb_lion,1950,63897600,2550,83558400
dclm,4.35,1337,2250,73728000,rlb_lion,2550,83558400,,
dclm,4.35,2027,2250,73728000,rlb_lion,2600,85196800,,
dclm,4.35,3407,2250,73728000,rlb_lion,2450,80281600,,
dclm,4.3,1337,2550,83558400,,,,,
dclm,4.3,2027,2600,85196800,,,,,
dclm,4.3,3407,2550,83558400,rlb_lion,3050,99942400,,
fineweb_edu,4.8,1337,950,31129600,rlb_lion,950,31129600,1050,34406400
fineweb_edu,4.8,2027,900,29491200,rlb_lion,1000,32768000,1050,34406400
fineweb_edu,4.8,3407,900,29491200,rlb_lion,1000,32768000,1050,34406400
fineweb_edu,4.6,1337,1200,39321600,rlb_lion,1200,39321600,1400,45875200
fineweb_edu,4.6,2027,1150,37683200,rlb_lion,1200,39321600,1350,44236800
fineweb_edu,4.6,3407,1150,37683200,rlb_lion,1200,39321600,1400,45875200
fineweb_edu,4.4,1337,1550,50790400,rlb_lion,1600,52428800,1900,62259200
fineweb_edu,4.4,2027,1500,49152000,rlb_lion,1600,52428800,1850,60620800
fineweb_edu,4.4,3407,1500,49152000,rlb_lion,1600,52428800,1900,62259200
fineweb_edu,4.3,1337,1850,60620800,rlb_lion,1950,63897600,2400,78643200
fineweb_edu,4.3,2027,1750,57344000,rlb_lion,1900,62259200,2350,77004800
fineweb_edu,4.3,3407,1800,58982400,rlb_lion,1950,63897600,2400,78643200
fineweb_edu,4.2,1337,2200,72089600,rlb_lion,2450,80281600,,
fineweb_edu,4.2,2027,2150,70451200,rlb_lion,2400,78643200,,
