method,mean_final_val_loss,std_final_val_loss,min_final_val_loss,max_final_val_loss,finite_seeds,diverged_seeds
rlb_matrixpolicy_original,3.877713441848755,0.014444414250120864,3.8666021823883057,3.8940415382385254,3,0
rlb_lion,3.9132185777028403,0.013928069064094743,3.9000768661499023,3.9278182983398438,3,0
rlb_muon,3.9188667138417563,0.014874631180230262,3.9083242416381836,3.9358808994293213,3,0
silu_lion,3.9213258425394693,0.010538468681734576,3.9139041900634766,3.9333882331848145,3,0
silu_muon,3.925105253855387,0.01343408270854309,3.9113590717315674,3.938203811645508,3,0
rlb_adamw,3.978731314341227,0.009773453380975823,3.970975399017334,3.98970890045166,3,0
silu_adamw,3.9811052481333413,0.01275174734167452,3.9697089195251465,3.994878053665161,3,0
rlb_soap,4.002412796020508,0.019369395108366144,3.9909911155700684,4.024776935577393,3,0
silu_soap,4.034902731577556,0.010776063566903991,4.027885437011719,4.0473103523254395,3,0
rlb_schedulefree,4.308437824249268,0.007124009524688909,4.302669525146484,4.31640100479126,3,0
silu_schedulefree,4.3163173993428545,0.010736110365214917,4.308978080749512,4.328639507293701,3,0
silu_came,4.329752445220947,0.014752498439555702,4.3145365715026855,4.343993186950684,3,0
rlb_came,4.365085442860921,0.058181513694018305,4.3208818435668945,4.431000709533691,3,0
rlb_ademamix,nan,nan,nan,nan,0,3
silu_ademamix,nan,nan,nan,nan,0,3
