row,row_id,source_phase,source_row_index,source_row_id,seed,method,activation,optimizer,complete,final_val_loss,final_val_ppl,steps,global_tokens_per_step,total_tokens,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,timing_node_override_reason,timing_integrity_issues,jsonl
420,E2_m0_300m_c4_en_m0_300m_seed1337_silu_adamw,E2_m0_300m,420,E2_m0_300m_c4_en_m0_300m_seed1337_silu_adamw,1337,silu_adamw,silu,adamw,True,3.978728771209717,53.44904505686217,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/c4_en/E2_m0_300m_c4_en_m0_300m_seed1337_silu_adamw/silu.jsonl
421,E2_m0_300m_c4_en_m0_300m_seed1337_rlb_adamw,E2_global_rational_optimizers_300m,189,E2_global_rational_optimizers_300m_c4_en_m0_300m_seed1337_rlb_adamw,1337,rlb_adamw,rlb_fused_global_rational,adamw,True,3.9755096435546875,53.27726240127885,9150,32768,299827200,982217,0,damle-compute-01,982217:0:1782662881,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/c4_en/E2_global_rational_optimizers_300m_c4_en_m0_300m_seed1337_rlb_adamw/rlb_fused_global_rational.jsonl
422,E2_m0_300m_c4_en_m0_300m_seed1337_silu_muon,E2_m0_300m,422,E2_m0_300m_c4_en_m0_300m_seed1337_silu_muon,1337,silu_muon,silu,muon,True,3.925752878189087,50.691228015852495,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/c4_en/E2_m0_300m_c4_en_m0_300m_seed1337_silu_muon/silu.jsonl
423,E2_m0_300m_c4_en_m0_300m_seed1337_rlb_muon,E2_global_rational_optimizers_300m,190,E2_global_rational_optimizers_300m_c4_en_m0_300m_seed1337_rlb_muon,1337,rlb_muon,rlb_fused_global_rational,muon,True,3.9123950004577637,50.01860321141744,9150,32768,299827200,982218,0,barcheck-compute-01,982218:0:1782646463,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/c4_en/E2_global_rational_optimizers_300m_c4_en_m0_300m_seed1337_rlb_muon/rlb_fused_global_rational.jsonl
424,E2_m0_300m_c4_en_m0_300m_seed1337_silu_lion,E2_m0_300m,424,E2_m0_300m_c4_en_m0_300m_seed1337_silu_lion,1337,silu_lion,silu,lion,True,3.916685104370117,50.23364917167644,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/c4_en/E2_m0_300m_c4_en_m0_300m_seed1337_silu_lion/silu.jsonl
425,E2_m0_300m_c4_en_m0_300m_seed1337_rlb_lion,E2_global_rational_optimizers_300m,191,E2_global_rational_optimizers_300m_c4_en_m0_300m_seed1337_rlb_lion,1337,rlb_lion,rlb_fused_global_rational,lion,True,3.9117605686187744,49.98687988120778,9150,32768,299827200,982219,0,damle-compute-01,982219:0:1782667227,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/c4_en/E2_global_rational_optimizers_300m_c4_en_m0_300m_seed1337_rlb_lion/rlb_fused_global_rational.jsonl
426,E2_m0_300m_c4_en_m0_300m_seed1337_silu_soap,E2_m0_300m,426,E2_m0_300m_c4_en_m0_300m_seed1337_silu_soap,1337,silu_soap,silu,soap_adamw,True,4.029512405395508,56.233485417246634,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/c4_en/E2_m0_300m_c4_en_m0_300m_seed1337_silu_soap/silu.jsonl
427,E2_m0_300m_c4_en_m0_300m_seed1337_rlb_soap,E2_global_rational_optimizers_300m,192,E2_global_rational_optimizers_300m_c4_en_m0_300m_seed1337_rlb_soap,1337,rlb_soap,rlb_fused_global_rational,soap_adamw,True,3.9914703369140625,54.13442672157073,9150,32768,299827200,982220,0,barcheck-compute-01,982220:0:1782650517,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/c4_en/E2_global_rational_optimizers_300m_c4_en_m0_300m_seed1337_rlb_soap/rlb_fused_global_rational.jsonl
428,E2_m0_300m_c4_en_m0_300m_seed1337_silu_ademamix,E2_m0_300m,428,E2_m0_300m_c4_en_m0_300m_seed1337_silu_ademamix,1337,silu_ademamix,silu,ademamix,True,nan,485165195.4097903,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/c4_en/E2_m0_300m_c4_en_m0_300m_seed1337_silu_ademamix/silu.jsonl
429,E2_m0_300m_c4_en_m0_300m_seed1337_rlb_ademamix,E2_global_rational_optimizers_300m,193,E2_global_rational_optimizers_300m_c4_en_m0_300m_seed1337_rlb_ademamix,1337,rlb_ademamix,rlb_fused_global_rational,ademamix,False,nan,nan,9150,32768,299827200,982221,0,damle-compute-01,982221:0:1782671578,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/c4_en/E2_global_rational_optimizers_300m_c4_en_m0_300m_seed1337_rlb_ademamix/rlb_fused_global_rational.jsonl
