method,activation,optimizer,runs,early_stop_runs,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,mean_seconds_per_step,tokens_per_second_mean
rlb_ademamix,rlb_fused_global_rational,ademamix,3,3,287.4099592231214,55.43309712665509,233.10865819000173,343.9094561673701,0.4338932137379711,75864.38028004717
rlb_matrixpolicy_original,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,3853.430792124282,173.99004008105973,3749.3230763529427,4054.2923167649424,0.3976386498261996,82517.01487823208
rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,3,0,3962.062082419017,324.61996836970405,3769.6912936950102,4336.8569410829805,0.4083408137392047,80613.75813030082
rlb_lion,rlb_fused_global_rational,lion,3,0,4077.0374960441454,324.9553574230577,3701.8238861924037,4267.2984589280095,0.42063159762202934,78275.2528190069
rlb_adamw,rlb_fused_global_rational,adamw,3,0,4106.3592081319075,332.2300722804958,3722.7784249735996,4303.264091010089,0.4237411182458968,77714.42479065672
silu_lion,silu,lion,3,0,4322.999720857338,955.2416369514973,3220.248333076015,4895.378212789001,0.4555014071523792,74962.82334812351
silu_adamw,silu,adamw,3,0,4386.256543087664,784.750274867532,3480.4734909789986,4861.526424514996,0.4622590455537354,72773.12465399463
rlb_muon,rlb_fused_global_rational,muon,3,0,4471.025909913859,397.83341131727616,4011.851404847577,4712.466583185014,0.4630618094949261,71183.67869616764
silu_schedulefree,silu,schedule_free_adamw,3,0,4575.682110507668,743.0500907593621,3718.737810943001,5041.0092187109985,0.4827358374316023,69317.15641431887
rlb_soap,rlb_fused_global_rational,soap_adamw,3,0,4682.326253322884,1034.6539347615776,3819.937725044787,5829.567502259975,0.48644618795937616,69648.35523104735
silu_muon,silu,muon,3,0,4687.350267785019,964.5760965236802,3574.860908515053,5290.313413985001,0.49369757669997577,68698.40272001614
rlb_came,rlb_fused_global_rational,adafactor_came,3,0,4818.371363888883,890.2805135156547,4037.078903491609,5787.624508357025,0.5010623506276417,66953.9940602295
silu_came,silu,adafactor_came,3,0,4843.904245640333,728.7397399530723,4002.6753514249995,5282.184174338001,0.5119413390108599,65146.41697589694
silu_soap,silu,soap_adamw,3,0,5231.958209018663,735.5866216352827,4382.820808291,5674.18856114299,0.5516916674121932,60275.96860634351
silu_ademamix,silu,ademamix,3,0,5442.887823239997,686.0675009814153,4655.217593896,5910.00542734,0.4792343325345081,69794.39236059839
