target_loss,seed,matrixpolicy_step,matrixpolicy_tokens,second_best_method,second_best_step,second_best_tokens,silu_adamw_step,silu_adamw_tokens
4.4,1337,2050,67174400,rlb_lion,2200,72089600,2600,85196800
4.4,2027,2100,68812800,rlb_lion,2300,75366400,2750,90112000
4.4,3407,2050,67174400,rlb_lion,2150,70451200,2600,85196800
4.3,1337,2750,90112000,rlb_lion,2850,93388800,3250,106496000
4.3,2027,2900,95027200,rlb_lion,2950,96665600,3400,111411200
4.3,3407,2650,86835200,rlb_lion,2750,90112000,3250,106496000
4.2,1337,3550,116326400,rlb_lion,3600,117964800,4200,137625600
4.2,2027,3750,122880000,rlb_lion,3750,122880000,4400,144179200
4.2,3407,3550,116326400,rlb_lion,3550,116326400,4200,137625600
4.1,1337,4550,149094400,rlb_lion,4700,154009600,5600,183500800
4.1,2027,4750,155648000,rlb_lion,4950,162201600,5850,191692800
4.1,3407,4550,149094400,rlb_lion,4650,152371200,5500,180224000
4.05,1337,5100,167116800,rlb_lion,5400,176947200,6500,212992000
4.05,2027,5400,176947200,rlb_lion,5700,186777600,6900,226099200
4.05,3407,5150,168755200,rlb_lion,5300,173670400,6400,209715200
4.0,1337,5900,193331200,rlb_muon,6200,203161600,7950,260505600
4.0,2027,6200,203161600,rlb_lion,6700,219545600,8700,285081600
4.0,3407,5850,191692800,rlb_muon,6100,199884800,7600,249036800
