row,row_id,source_phase,source_row_index,source_row_id,seed,method,activation,optimizer,complete,final_val_loss,final_val_ppl,steps,global_tokens_per_step,total_tokens,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,timing_node_override_reason,timing_integrity_issues,jsonl
240,E2_m0_300m_dclm_m0_300m_seed1337_silu_adamw,E2_m0_300m,240,E2_m0_300m_dclm_m0_300m_seed1337_silu_adamw,1337,silu_adamw,silu,adamw,True,4.059072494506836,57.920564515940406,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dclm/E2_m0_300m_dclm_m0_300m_seed1337_silu_adamw/silu.jsonl
241,E2_m0_300m_dclm_m0_300m_seed1337_rlb_adamw,E2_global_rational_optimizers_300m,105,E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_adamw,1337,rlb_adamw,rlb_fused_global_rational,adamw,True,4.057605743408203,57.83567173781058,9150,32768,299827200,982132,1,ellis-compute-02,982132:1:1782497602,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dclm/E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_adamw/rlb_fused_global_rational.jsonl
242,E2_m0_300m_dclm_m0_300m_seed1337_silu_muon,E2_m0_300m,242,E2_m0_300m_dclm_m0_300m_seed1337_silu_muon,1337,silu_muon,silu,muon,True,4.002068519592285,54.71120426332426,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dclm/E2_m0_300m_dclm_m0_300m_seed1337_silu_muon/silu.jsonl
243,E2_m0_300m_dclm_m0_300m_seed1337_rlb_muon,E2_global_rational_optimizers_300m,106,E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_muon,1337,rlb_muon,rlb_fused_global_rational,muon,True,3.9994351863861084,54.56732096187138,9150,32768,299827200,982133,0,seo-compute-01,982133:0:1782498090,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dclm/E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_muon/rlb_fused_global_rational.jsonl
244,E2_m0_300m_dclm_m0_300m_seed1337_silu_lion,E2_m0_300m,244,E2_m0_300m_dclm_m0_300m_seed1337_silu_lion,1337,silu_lion,silu,lion,True,3.998547077178955,54.51888073500508,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dclm/E2_m0_300m_dclm_m0_300m_seed1337_silu_lion/silu.jsonl
245,E2_m0_300m_dclm_m0_300m_seed1337_rlb_lion,E2_global_rational_optimizers_300m,107,E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_lion,1337,rlb_lion,rlb_fused_global_rational,lion,True,3.9972825050354004,54.44998125049589,9150,32768,299827200,982134,0,ellis-compute-02,982134:0:1782502199,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dclm/E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_lion/rlb_fused_global_rational.jsonl
246,E2_m0_300m_dclm_m0_300m_seed1337_silu_soap,E2_m0_300m,246,E2_m0_300m_dclm_m0_300m_seed1337_silu_soap,1337,silu_soap,silu,soap_adamw,True,4.106473445892334,60.73216421180016,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dclm/E2_m0_300m_dclm_m0_300m_seed1337_silu_soap/silu.jsonl
247,E2_m0_300m_dclm_m0_300m_seed1337_rlb_soap,E2_global_rational_optimizers_300m,108,E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_soap,1337,rlb_soap,rlb_fused_global_rational,soap_adamw,True,4.066903114318848,58.375898884421915,9150,32768,299827200,982135,0,seo-compute-01,982135:0:1782502255,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dclm/E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_soap/rlb_fused_global_rational.jsonl
248,E2_m0_300m_dclm_m0_300m_seed1337_silu_ademamix,E2_m0_300m,248,E2_m0_300m_dclm_m0_300m_seed1337_silu_ademamix,1337,silu_ademamix,silu,ademamix,True,nan,485165195.4097903,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dclm/E2_m0_300m_dclm_m0_300m_seed1337_silu_ademamix/silu.jsonl
249,E2_m0_300m_dclm_m0_300m_seed1337_rlb_ademamix,E2_global_rational_optimizers_300m,109,E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_ademamix,1337,rlb_ademamix,rlb_fused_global_rational,ademamix,False,nan,nan,9150,32768,299827200,982136,0,ellis-compute-02,982136:0:1782506837,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dclm/E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_ademamix/rlb_fused_global_rational.jsonl
250,E2_m0_300m_dclm_m0_300m_seed1337_silu_came,E2_m0_300m,250,E2_m0_300m_dclm_m0_300m_seed1337_silu_came,1337,silu_came,silu,adafactor_came,True,4.369544982910156,79.00767367767547,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dclm/E2_m0_300m_dclm_m0_300m_seed1337_silu_came/silu.jsonl
251,E2_m0_300m_dclm_m0_300m_seed1337_rlb_came,E2_global_rational_optimizers_300m,110,E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_came,1337,rlb_came,rlb_fused_global_rational,adafactor_came,True,4.413763999938965,82.57970927605443,9150,32768,299827200,982137,0,seo-compute-01,982137:0:1782506219,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dclm/E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_came/rlb_fused_global_rational.jsonl
252,E2_m0_300m_dclm_m0_300m_seed1337_silu_schedulefree,E2_m0_300m,252,E2_m0_300m_dclm_m0_300m_seed1337_silu_schedulefree,1337,silu_schedulefree,silu,schedule_free_adamw,True,4.372842788696289,79.26865573862761,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dclm/E2_m0_300m_dclm_m0_300m_seed1337_silu_schedulefree/silu.jsonl
253,E2_m0_300m_dclm_m0_300m_seed1337_rlb_schedulefree,E2_global_rational_optimizers_300m,111,E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_schedulefree,1337,rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,True,4.377995491027832,79.67815764053849,9150,32768,299827200,982138,0,ellis-compute-02,982138:0:1782507177,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dclm/E2_global_rational_optimizers_300m_dclm_m0_300m_seed1337_rlb_schedulefree/rlb_fused_global_rational.jsonl
254,E2_m0_300m_dclm_m0_300m_seed1337_rlb_matrixpolicy_original,E2_rational_only_300m,15,E2_rational_only_300m_dclm_m0_300m_seed1337_rlb_rational_only_matrixpolicy,1337,rlb_matrixpolicy_original,rlb_fused_global_rational,rational_matrix_policy_onpolicy,True,3.9576306343078613,52.333182489398425,9150,32768,299827200,858355,0,lancer-compute-01,858355:0:1784045801,,,experiments/corrections/matrixpolicy_live_stats_20260712/runs/main/E2_rational_only_300m/dclm/E2_rational_only_300m_dclm_m0_300m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
255,E2_m0_300m_dclm_m0_300m_seed2027_silu_adamw,E2_m0_300m,255,E2_m0_300m_dclm_m0_300m_seed2027_silu_adamw,2027,silu_adamw,silu,adamw,True,4.070611953735352,58.592807710539816,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dclm/E2_m0_300m_dclm_m0_300m_seed2027_silu_adamw/silu.jsonl
256,E2_m0_300m_dclm_m0_300m_seed2027_rlb_adamw,E2_global_rational_optimizers_300m,112,E2_global_rational_optimizers_300m_dclm_m0_300m_seed2027_rlb_adamw,2027,rlb_adamw,rlb_fused_global_rational,adamw,True,4.074532985687256,58.823002988316425,9150,32768,299827200,982139,0,seo-compute-01,982139:0:1782510416,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dclm/E2_global_rational_optimizers_300m_dclm_m0_300m_seed2027_rlb_adamw/rlb_fused_global_rational.jsonl
257,E2_m0_300m_dclm_m0_300m_seed2027_silu_muon,E2_m0_300m,257,E2_m0_300m_dclm_m0_300m_seed2027_silu_muon,2027,silu_muon,silu,muon,True,4.025051593780518,55.9831970919175,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dclm/E2_m0_300m_dclm_m0_300m_seed2027_silu_muon/silu.jsonl
258,E2_m0_300m_dclm_m0_300m_seed2027_rlb_muon,E2_global_rational_optimizers_300m,113,E2_global_rational_optimizers_300m_dclm_m0_300m_seed2027_rlb_muon,2027,rlb_muon,rlb_fused_global_rational,muon,True,4.012225151062012,55.26971730665771,9150,32768,299827200,982140,0,ellis-compute-02,982140:0:1782511772,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dclm/E2_global_rational_optimizers_300m_dclm_m0_300m_seed2027_rlb_muon/rlb_fused_global_rational.jsonl
259,E2_m0_300m_dclm_m0_300m_seed2027_silu_lion,E2_m0_300m,259,E2_m0_300m_dclm_m0_300m_seed2027_silu_lion,2027,silu_lion,silu,lion,True,4.013479232788086,55.33907352923311,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dclm/E2_m0_300m_dclm_m0_300m_seed2027_silu_lion/silu.jsonl
260,E2_m0_300m_dclm_m0_300m_seed2027_rlb_lion,E2_global_rational_optimizers_300m,114,E2_global_rational_optimizers_300m_dclm_m0_300m_seed2027_rlb_lion,2027,rlb_lion,rlb_fused_global_rational,lion,True,4.012965679168701,55.310661243969186,9150,32768,299827200,982141,0,seo-compute-01,982141:0:1782514272,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dclm/E2_global_rational_optimizers_300m_dclm_m0_300m_seed2027_rlb_lion/rlb_fused_global_rational.jsonl
