method,activation,optimizer,runs,early_stop_runs,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,mean_seconds_per_step,tokens_per_second_mean
rlb_ademamix,rlb_fused_global_rational,ademamix,3,3,325.85315068737447,114.02903858567802,235.1760729481466,453.8710238569183,0.46450369390944,71263.79488536828
silu_lion,silu,lion,3,0,4057.5895258267024,720.8884706446973,3629.186218381976,4889.879475617083,0.426497071792017,78441.95713029015
rlb_matrixpolicy_original,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,4062.746695305337,315.3525434689023,3762.593514617998,4391.368175704032,0.42069837678327304,78223.86136030115
silu_schedulefree,silu,schedule_free_adamw,3,0,4131.28010502737,715.5497636196744,3694.9076742610196,4957.081157677108,0.43427540669891546,76941.00761248884
silu_adamw,silu,adamw,3,0,4256.248164547996,602.8328731547176,3668.4585765129887,4873.074875700055,0.4477615261535658,74246.11295976948
rlb_soap,rlb_fused_global_rational,soap_adamw,3,0,4274.113155337011,395.06581920999275,3913.089155870024,4696.127236561966,0.4401854498478003,74873.25637114812
silu_muon,silu,muon,3,0,4283.82187449967,888.5555295728892,3561.365866075037,5275.980870226049,0.4497099097874954,74940.22953145175
rlb_adamw,rlb_fused_global_rational,adamw,3,0,4304.777301566636,427.55082058412626,3811.1069691739976,4555.724203243968,0.44342803239627365,74441.13974856495
rlb_lion,rlb_fused_global_rational,lion,3,0,4308.315052023933,456.86007411008455,3780.8669794928282,4580.407206553966,0.44370275570445206,74469.64945294819
rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,3,0,4350.359127419612,440.51560107017764,3846.0685656298883,4660.1435161629925,0.44859940513164953,73597.35675645966
rlb_muon,rlb_fused_global_rational,muon,3,0,4351.011355791164,438.2845235618715,4094.3369248248637,4857.08128227503,0.4492749482423774,73427.88141285712
rlb_came,rlb_fused_global_rational,adafactor_came,3,0,4525.0132719673375,421.4713001729862,4132.954926318955,4970.7537722780835,0.465963954965919,70690.73737152961
silu_came,silu,adafactor_came,3,0,4811.813177780675,701.1869332408738,4002.432503027958,5234.950949948048,0.5084900036664839,65528.992763513066
silu_ademamix,silu,ademamix,3,0,5119.453725485946,1084.2826018925352,3867.6800689419033,5766.922846351983,0.48228944726421136,69300.39637159674
silu_soap,silu,soap_adamw,3,0,5216.448100514671,737.1417802083987,4365.86508473102,5669.296895538922,0.5486730152337705,60587.68170330508
