target_loss,seed,matrixpolicy_step,matrixpolicy_tokens,second_best_method,second_best_step,second_best_tokens,silu_adamw_step,silu_adamw_tokens
4.4,1337,2350,77004800,rlb_lion,2550,83558400,2900,95027200
4.4,2027,2400,78643200,rlb_lion,2600,85196800,3000,98304000
4.4,3407,2050,67174400,rlb_lion,2250,73728000,2650,86835200
4.3,1337,3200,104857600,rlb_lion,3350,109772800,3800,124518400
4.3,2027,3300,108134400,rlb_lion,3350,109772800,3850,126156800
4.3,3407,2750,90112000,rlb_lion,2900,95027200,3400,111411200
4.2,1337,4200,137625600,rlb_lion,4400,144179200,5050,165478400
4.2,2027,4300,140902400,rlb_lion,4500,147456000,5200,170393600
4.2,3407,3700,121241600,rlb_lion,3850,126156800,4500,147456000
4.1,1337,5500,180224000,rlb_muon,5850,191692800,7150,234291200
4.1,2027,5750,188416000,rlb_lion,6150,201523200,7500,245760000
4.1,3407,4900,160563200,rlb_lion,5200,170393600,6200,203161600
4.05,1337,6450,211353600,rlb_muon,6950,227737600,,
4.05,2027,6700,219545600,silu_lion,7400,242483200,,
4.05,3407,5650,185139200,rlb_lion,6050,198246400,7450,244121600
4.0,1337,7600,249036800,rlb_muon,9050,296550400,,
4.0,2027,8200,268697600,,,,,
4.0,3407,6600,216268800,rlb_lion,7300,239206400,,
