row,row_id,source_phase,source_row_index,source_row_id,seed,method,activation,optimizer,complete,final_val_loss,final_val_ppl,steps,global_tokens_per_step,total_tokens,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,timing_node_override_reason,timing_integrity_issues,jsonl
375,E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_adamw,E2_m0_300m,375,E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_adamw,1337,silu_adamw,silu,adamw,True,3.9113283157348633,49.96527757738682,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_adamw/silu.jsonl
376,E2_m0_300m_dolma_sample_m0_300m_seed1337_rlb_adamw,E2_global_rational_optimizers_300m,168,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed1337_rlb_adamw,1337,rlb_adamw,rlb_fused_global_rational,adamw,True,3.9124836921691895,50.02303964367387,9150,32768,299827200,982196,0,barcheck-compute-01,982196:0:1782611273,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed1337_rlb_adamw/rlb_fused_global_rational.jsonl
377,E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_muon,E2_m0_300m,377,E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_muon,1337,silu_muon,silu,muon,True,3.8662421703338623,47.762564840543824,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_muon/silu.jsonl
378,E2_m0_300m_dolma_sample_m0_300m_seed1337_rlb_muon,E2_global_rational_optimizers_300m,169,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed1337_rlb_muon,1337,rlb_muon,rlb_fused_global_rational,muon,True,3.8526108264923096,47.11591426760517,9150,32768,299827200,982197,0,damle-compute-01,982197:0:1782621532,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed1337_rlb_muon/rlb_fused_global_rational.jsonl
379,E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_lion,E2_m0_300m,379,E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_lion,1337,silu_lion,silu,lion,True,3.8545126914978027,47.20560764146127,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_lion/silu.jsonl
380,E2_m0_300m_dolma_sample_m0_300m_seed1337_rlb_lion,E2_global_rational_optimizers_300m,170,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed1337_rlb_lion,1337,rlb_lion,rlb_fused_global_rational,lion,True,3.8469271659851074,46.848882982853084,9150,32768,299827200,982198,0,barcheck-compute-01,982198:0:1782615031,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed1337_rlb_lion/rlb_fused_global_rational.jsonl
381,E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_soap,E2_m0_300m,381,E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_soap,1337,silu_soap,silu,soap_adamw,True,3.962839126586914,52.60647055790824,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_soap/silu.jsonl
382,E2_m0_300m_dolma_sample_m0_300m_seed1337_rlb_soap,E2_global_rational_optimizers_300m,171,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed1337_rlb_soap,1337,rlb_soap,rlb_fused_global_rational,soap_adamw,True,3.9404921531677246,51.443913356230226,9150,32768,299827200,982199,0,damle-compute-01,982199:0:1782626183,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed1337_rlb_soap/rlb_fused_global_rational.jsonl
383,E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_ademamix,E2_m0_300m,383,E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_ademamix,1337,silu_ademamix,silu,ademamix,True,nan,485165195.4097903,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed1337_silu_ademamix/silu.jsonl
384,E2_m0_300m_dolma_sample_m0_300m_seed1337_rlb_ademamix,E2_global_rational_optimizers_300m,172,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed1337_rlb_ademamix,1337,rlb_ademamix,rlb_fused_global_rational,ademamix,False,nan,nan,9150,32768,299827200,982200,0,barcheck-compute-01,982200:0:1782618770,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed1337_rlb_ademamix/rlb_fused_global_rational.jsonl
