method,activation,optimizer,runs,early_stop_runs,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,mean_seconds_per_step,tokens_per_second_mean
rlb_ademamix,rlb_fused_global_rational,ademamix,3,3,322.48642299013835,151.4011338622272,230.23888607975096,497.2185009950772,0.41344942817652275,79606.00997542839
silu_schedulefree,silu,schedule_free_adamw,3,0,3616.5128082806787,115.92430902793386,3519.28723249,3744.805179399904,0.377745296606909,86810.71726009653
silu_lion,silu,lion,3,0,3767.7718070780393,310.6251211238548,3508.175605005119,4111.918513837038,0.39422327979544697,83530.07891502201
silu_adamw,silu,adamw,3,0,3811.153168620658,366.7772498872206,3505.221027480904,4217.752231520135,0.3990540249694118,82647.80189060308
rlb_lion,rlb_fused_global_rational,lion,3,0,3886.11443904927,337.1947679445505,3690.610350817442,4275.472253242973,0.4001835071285723,82306.98593219226
rlb_adamw,rlb_fused_global_rational,adamw,3,0,3908.0189192834464,347.8773847336703,3706.2565629640594,4309.711730343988,0.40254462412376035,81843.56499019233
silu_came,silu,adafactor_came,3,0,3934.5941360729944,140.52013838182518,3822.5038125520005,4092.240128639969,0.41162467770744693,79665.96929799313
rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,3,0,3964.075851264565,345.11697716132835,3759.9481560243294,4362.542534484994,0.40849518808632557,80633.98671502153
rlb_soap,rlb_fused_global_rational,soap_adamw,3,0,4210.308907472257,345.02019203718606,3812.141507189721,4421.053393503069,0.43512959887985386,75686.59436690995
rlb_muon,rlb_fused_global_rational,muon,3,0,4408.642372990842,352.079144153038,4002.5662702405825,4628.602978218929,0.4562485927773352,72159.82128500787
rlb_matrixpolicy_original,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,4425.982604525944,893.9240786491633,3748.2876805479173,5439.105567255989,0.460011249647767,73238.37634839163
rlb_came,rlb_fused_global_rational,adafactor_came,3,0,4445.010823083964,354.05032201901076,4036.2107428489253,4653.085277662962,0.46078730637357584,71450.66459047048
silu_muon,silu,muon,3,0,4677.653335210052,1261.8565822607457,3852.9584162321407,6130.284771387,0.49372128971716744,69498.07835771308
silu_soap,silu,soap_adamw,3,0,4776.960104897308,709.6975151437064,4290.2150609989185,5591.279217764968,0.5025041131606408,66102.19246802594
silu_ademamix,silu,ademamix,3,0,4784.29063204769,750.3265781552781,4253.4133556170855,5642.702256083954,0.4278550836104495,78310.34713504872
