row,row_id,source_phase,source_row_index,source_row_id,seed,method,activation,optimizer,complete,final_val_loss,final_val_ppl,steps,global_tokens_per_step,total_tokens,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,timing_node_override_reason,timing_integrity_issues,jsonl
330,E2_m0_300m_fineweb_m0_300m_seed1337_silu_adamw,E2_m0_300m,330,E2_m0_300m_fineweb_m0_300m_seed1337_silu_adamw,1337,silu_adamw,silu,adamw,True,4.072610378265381,58.71001809379579,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/fineweb/E2_m0_300m_fineweb_m0_300m_seed1337_silu_adamw/silu.jsonl
331,E2_m0_300m_fineweb_m0_300m_seed1337_rlb_adamw,E2_global_rational_optimizers_300m,147,E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_adamw,1337,rlb_adamw,rlb_fused_global_rational,adamw,True,4.071950912475586,58.67131360888924,9150,32768,299827200,982174,0,damle-compute-01,982174:0:1782580845,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/fineweb/E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_adamw/rlb_fused_global_rational.jsonl
332,E2_m0_300m_fineweb_m0_300m_seed1337_silu_muon,E2_m0_300m,332,E2_m0_300m_fineweb_m0_300m_seed1337_silu_muon,1337,silu_muon,silu,muon,True,4.02108097076416,55.76134964876468,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/fineweb/E2_m0_300m_fineweb_m0_300m_seed1337_silu_muon/silu.jsonl
333,E2_m0_300m_fineweb_m0_300m_seed1337_rlb_muon,E2_global_rational_optimizers_300m,148,E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_muon,1337,rlb_muon,rlb_fused_global_rational,muon,True,4.010899543762207,55.196499905420325,9150,32768,299827200,982175,0,zabih-compute-01,982175:0:1782574608,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/fineweb/E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_muon/rlb_fused_global_rational.jsonl
334,E2_m0_300m_fineweb_m0_300m_seed1337_silu_lion,E2_m0_300m,334,E2_m0_300m_fineweb_m0_300m_seed1337_silu_lion,1337,silu_lion,silu,lion,True,4.0112128257751465,55.21379468494813,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/fineweb/E2_m0_300m_fineweb_m0_300m_seed1337_silu_lion/silu.jsonl
335,E2_m0_300m_fineweb_m0_300m_seed1337_rlb_lion,E2_global_rational_optimizers_300m,149,E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_lion,1337,rlb_lion,rlb_fused_global_rational,lion,True,4.007955074310303,55.03421453700149,9150,32768,299827200,982176,0,damle-compute-01,982176:0:1782585181,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/fineweb/E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_lion/rlb_fused_global_rational.jsonl
336,E2_m0_300m_fineweb_m0_300m_seed1337_silu_soap,E2_m0_300m,336,E2_m0_300m_fineweb_m0_300m_seed1337_silu_soap,1337,silu_soap,silu,soap_adamw,True,4.124768257141113,61.853473488548524,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/fineweb/E2_m0_300m_fineweb_m0_300m_seed1337_silu_soap/silu.jsonl
337,E2_m0_300m_fineweb_m0_300m_seed1337_rlb_soap,E2_global_rational_optimizers_300m,150,E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_soap,1337,rlb_soap,rlb_fused_global_rational,soap_adamw,True,4.088771343231201,59.66653695496816,9150,32768,299827200,982177,0,zabih-compute-01,982177:0:1782578909,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/fineweb/E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_soap/rlb_fused_global_rational.jsonl
338,E2_m0_300m_fineweb_m0_300m_seed1337_silu_ademamix,E2_m0_300m,338,E2_m0_300m_fineweb_m0_300m_seed1337_silu_ademamix,1337,silu_ademamix,silu,ademamix,True,nan,485165195.4097903,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/fineweb/E2_m0_300m_fineweb_m0_300m_seed1337_silu_ademamix/silu.jsonl
339,E2_m0_300m_fineweb_m0_300m_seed1337_rlb_ademamix,E2_global_rational_optimizers_300m,151,E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_ademamix,1337,rlb_ademamix,rlb_fused_global_rational,ademamix,False,nan,nan,9150,32768,299827200,982178,0,damle-compute-01,982178:0:1782589528,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/fineweb/E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_ademamix/rlb_fused_global_rational.jsonl
340,E2_m0_300m_fineweb_m0_300m_seed1337_silu_came,E2_m0_300m,340,E2_m0_300m_fineweb_m0_300m_seed1337_silu_came,1337,silu_came,silu,adafactor_came,True,4.427802085876465,83.74714544424425,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/fineweb/E2_m0_300m_fineweb_m0_300m_seed1337_silu_came/silu.jsonl
341,E2_m0_300m_fineweb_m0_300m_seed1337_rlb_came,E2_global_rational_optimizers_300m,152,E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_came,1337,rlb_came,rlb_fused_global_rational,adafactor_came,True,4.483378887176514,88.53331192972483,9150,32768,299827200,982179,0,zabih-compute-01,982179:0:1782583003,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/fineweb/E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_came/rlb_fused_global_rational.jsonl
342,E2_m0_300m_fineweb_m0_300m_seed1337_silu_schedulefree,E2_m0_300m,342,E2_m0_300m_fineweb_m0_300m_seed1337_silu_schedulefree,1337,silu_schedulefree,silu,schedule_free_adamw,True,4.410011291503906,82.27039245541482,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/fineweb/E2_m0_300m_fineweb_m0_300m_seed1337_silu_schedulefree/silu.jsonl
343,E2_m0_300m_fineweb_m0_300m_seed1337_rlb_schedulefree,E2_global_rational_optimizers_300m,153,E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_schedulefree,1337,rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,True,4.395630836486816,81.09577280230945,9150,32768,299827200,982180,0,damle-compute-01,982180:0:1782589861,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/fineweb/E2_global_rational_optimizers_300m_fineweb_m0_300m_seed1337_rlb_schedulefree/rlb_fused_global_rational.jsonl
344,E2_m0_300m_fineweb_m0_300m_seed1337_rlb_matrixpolicy_original,E2_rational_only_300m,21,E2_rational_only_300m_fineweb_m0_300m_seed1337_rlb_rational_only_matrixpolicy,1337,rlb_matrixpolicy_original,rlb_fused_global_rational,rational_matrix_policy_onpolicy,True,3.971449375152588,53.06138098103621,9150,32768,299827200,986793,0,lancer-compute-01,986793:0:1782417777,,,experiments/runs/iclr26_main/E2_rational_only_300m/fineweb/E2_rational_only_300m_fineweb_m0_300m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
345,E2_m0_300m_fineweb_m0_300m_seed2027_silu_adamw,E2_m0_300m,345,E2_m0_300m_fineweb_m0_300m_seed2027_silu_adamw,2027,silu_adamw,silu,adamw,True,4.053472995758057,57.59714472680906,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/fineweb/E2_m0_300m_fineweb_m0_300m_seed2027_silu_adamw/silu.jsonl
346,E2_m0_300m_fineweb_m0_300m_seed2027_rlb_adamw,E2_global_rational_optimizers_300m,154,E2_global_rational_optimizers_300m_fineweb_m0_300m_seed2027_rlb_adamw,2027,rlb_adamw,rlb_fused_global_rational,adamw,True,4.050111293792725,57.40384538161802,9150,32768,299827200,982181,0,zabih-compute-01,982181:0:1782587324,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/fineweb/E2_global_rational_optimizers_300m_fineweb_m0_300m_seed2027_rlb_adamw/rlb_fused_global_rational.jsonl
347,E2_m0_300m_fineweb_m0_300m_seed2027_silu_muon,E2_m0_300m,347,E2_m0_300m_fineweb_m0_300m_seed2027_silu_muon,2027,silu_muon,silu,muon,True,3.9967164993286133,54.41917097059332,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/fineweb/E2_m0_300m_fineweb_m0_300m_seed2027_silu_muon/silu.jsonl
348,E2_m0_300m_fineweb_m0_300m_seed2027_rlb_muon,E2_global_rational_optimizers_300m,155,E2_global_rational_optimizers_300m_fineweb_m0_300m_seed2027_rlb_muon,2027,rlb_muon,rlb_fused_global_rational,muon,True,3.9890103340148926,54.00141954099136,9150,32768,299827200,982182,0,damle-compute-01,982182:0:1782594264,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/fineweb/E2_global_rational_optimizers_300m_fineweb_m0_300m_seed2027_rlb_muon/rlb_fused_global_rational.jsonl
349,E2_m0_300m_fineweb_m0_300m_seed2027_silu_lion,E2_m0_300m,349,E2_m0_300m_fineweb_m0_300m_seed2027_silu_lion,2027,silu_lion,silu,lion,True,3.995715379714966,54.36471813262619,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/fineweb/E2_m0_300m_fineweb_m0_300m_seed2027_silu_lion/silu.jsonl
350,E2_m0_300m_fineweb_m0_300m_seed2027_rlb_lion,E2_global_rational_optimizers_300m,156,E2_global_rational_optimizers_300m_fineweb_m0_300m_seed2027_rlb_lion,2027,rlb_lion,rlb_fused_global_rational,lion,True,3.992206573486328,54.1742971415715,9150,32768,299827200,982183,0,barcheck-compute-01,982183:0:1782591360,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/fineweb/E2_global_rational_optimizers_300m_fineweb_m0_300m_seed2027_rlb_lion/rlb_fused_global_rational.jsonl
351,E2_m0_300m_fineweb_m0_300m_seed2027_silu_soap,E2_m0_300m,351,E2_m0_300m_fineweb_m0_300m_seed2027_silu_soap,2027,silu_soap,silu,soap_adamw,True,4.104785919189453,60.62976348924679,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/fineweb/E2_m0_300m_fineweb_m0_300m_seed2027_silu_soap/silu.jsonl
352,E2_m0_300m_fineweb_m0_300m_seed2027_rlb_soap,E2_global_rational_optimizers_300m,157,E2_global_rational_optimizers_300m_fineweb_m0_300m_seed2027_rlb_soap,2027,rlb_soap,rlb_fused_global_rational,soap_adamw,True,4.090529918670654,59.77155737751686,9150,32768,299827200,982184,0,damle-compute-01,982184:0:1782598905,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/fineweb/E2_global_rational_optimizers_300m_fineweb_m0_300m_seed2027_rlb_soap/rlb_fused_global_rational.jsonl
