method,activation,optimizer,runs,early_stop_runs,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,mean_seconds_per_step,tokens_per_second_mean
rlb_ademamix,rlb_fused_global_rational,ademamix,3,3,273.56385783032357,25.107142749929363,245.7721578879282,294.60706240299623,0.43354507074196774,75932.03740891964
silu_schedulefree,silu,schedule_free_adamw,3,0,3702.23155495635,22.562584620533823,3680.875290950993,3725.8326400100486,0.38753135647555864,84557.4978733571
silu_lion,silu,lion,3,0,3878.4000459080175,376.8520339713349,3660.688164833002,4313.551263974048,0.40656504135723187,81108.93250724181
rlb_matrixpolicy_original,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,3948.50087097,172.03600269502496,3750.4431765970076,4060.805579636013,0.4077603538763564,80467.93474693982
rlb_lion,rlb_fused_global_rational,lion,3,0,4090.3833920315374,325.42248200101415,3714.6193968895823,4279.191001788015,0.4219428400341703,78036.86830756973
rlb_soap,rlb_fused_global_rational,soap_adamw,3,0,4092.6949882808453,299.4417746753573,3820.927660631947,4413.706354347989,0.4223496720608794,77878.66937074646
rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,3,0,4149.866789264915,328.6021802272146,3770.686678364873,4351.5492172469385,0.42853305856159635,76829.85843547048
rlb_adamw,rlb_fused_global_rational,adamw,3,0,4173.8980874512345,206.18132647302943,3936.333878427744,4306.214383089915,0.4308509520905147,76194.46330943653
silu_muon,silu,muon,3,0,4181.881345324684,370.7981110074531,3937.7108183060773,4608.559459091979,0.43853062612944854,75078.58653458358
rlb_muon,rlb_fused_global_rational,muon,3,0,4282.498070451315,291.15115895518215,4018.730795619078,4594.906265494996,0.44301695472107044,74205.58784109805
rlb_came,rlb_fused_global_rational,adafactor_came,3,0,4320.63738936702,308.4033490275878,4038.791282554157,4650.066953926929,0.4473143508027808,73518.88385995055
silu_soap,silu,soap_adamw,3,0,4340.786321818014,37.565309786498545,4299.864276972017,4373.704959726019,0.45705971880242224,71696.44163336435
silu_adamw,silu,adamw,3,0,4584.748009009015,1131.215755246556,3612.3072668480454,5826.228823352023,0.48400441974209507,70588.24597408826
silu_came,silu,adafactor_came,3,0,8830.602696188687,8349.254872836967,3995.1413440880133,18471.476183083025,0.9476290656891826,57383.10768241092
silu_ademamix,silu,ademamix,3,0,9037.771774923001,8598.83504312558,3754.3302414150094,18959.87016034394,0.9251338920703421,60189.710660695826
