target_loss,seed,matrixpolicy_step,matrixpolicy_tokens,second_best_method,second_best_step,second_best_tokens,silu_adamw_step,silu_adamw_tokens
4.4,1337,2650,86835200,rlb_lion,2750,90112000,3200,104857600
4.4,2027,2500,81920000,rlb_lion,2650,86835200,3100,101580800
4.4,3407,2550,83558400,rlb_lion,2600,85196800,3050,99942400
4.3,1337,3450,113049600,rlb_lion,3500,114688000,4150,135987200
4.3,2027,3350,109772800,rlb_lion,3350,109772800,3950,129433600
4.3,3407,3350,109772800,rlb_lion,3350,109772800,4000,131072000
4.2,1337,4450,145817600,rlb_lion,4600,150732800,5450,178585600
4.2,2027,4250,139264000,rlb_lion,4400,144179200,5150,168755200
4.2,3407,4350,142540800,rlb_lion,4350,142540800,5250,172032000
4.1,1337,5800,190054400,rlb_lion,6200,203161600,7750,253952000
4.1,2027,5550,181862400,rlb_muon,5800,190054400,7150,234291200
4.1,3407,5650,185139200,rlb_lion,5800,190054400,7200,235929600
4.05,1337,6700,219545600,rlb_lion,7300,239206400,,
4.05,2027,6350,208076800,rlb_lion,6850,224460800,,
4.05,3407,6450,211353600,rlb_lion,6800,222822400,,
4.0,1337,7900,258867200,,,,,
4.0,2027,7450,244121600,rlb_muon,8450,276889600,,
4.0,3407,7500,245760000,rlb_lion,8400,275251200,,
