method,mean_final_val_loss,std_final_val_loss,min_final_val_loss,max_final_val_loss,finite_seeds,diverged_seeds
rlb_matrixpolicy_original,3.70151694615682,0.021218327418129745,3.682154655456543,3.7241997718811035,3,0
rlb_muon,3.737328052520752,0.018697841195077065,3.7179641723632812,3.755279779434204,3,0
rlb_lion,3.74162491162618,0.021373844228871144,3.7236318588256836,3.7652511596679688,3,0
silu_lion,3.7440171241760254,0.020802429964423597,3.7271487712860107,3.767261266708374,3,0
silu_muon,3.745389461517334,0.01700591224760704,3.732583999633789,3.7646846771240234,3,0
rlb_adamw,3.802445650100708,0.020587183386591105,3.7840514183044434,3.824683904647827,3,0
silu_adamw,3.8034822940826416,0.018186296518228715,3.7887895107269287,3.823822259902954,3,0
rlb_soap,3.8240076700846353,0.012762132082281753,3.816362142562866,3.838740587234497,3,0
silu_soap,3.862924575805664,0.020105157733147912,3.8445794582366943,3.884418249130249,3,0
rlb_schedulefree,4.142109711964925,0.021695484175605698,4.124334812164307,4.166285514831543,3,0
silu_came,4.150283177693685,0.02110687057791392,4.13798713684082,4.174654960632324,3,0
silu_schedulefree,4.155890146891276,0.02384673277290771,4.134111404418945,4.181371688842773,3,0
rlb_came,4.225476264953613,0.035835400575625544,4.185757637023926,4.255385398864746,3,0
rlb_ademamix,nan,nan,nan,nan,0,3
silu_ademamix,nan,nan,nan,nan,0,3
