method,activation,optimizer,runs,early_stop_runs,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,mean_seconds_per_step,tokens_per_second_mean
rlb_ademamix,rlb_fused_global_rational,ademamix,3,3,283.1039084919418,22.78759090518419,259.1905634198338,304.56785428896546,0.42855046372175576,76584.79674991775
rlb_lion,rlb_fused_global_rational,lion,3,0,3964.429545542613,88.44789411009963,3910.441621735692,4066.50351833296,0.4077780158992516,80381.31878442309
rlb_adamw,rlb_fused_global_rational,adamw,3,0,3982.0959079174013,101.19631515399018,3920.6808342039585,4098.895463807974,0.4096805699935087,80014.25106996331
rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,3,0,4260.675619646984,234.53516061161022,3994.380021357909,4436.505174987949,0.44010664181924164,74619.8965824656
rlb_soap,rlb_fused_global_rational,soap_adamw,3,0,4283.355993899827,219.0911093790002,4030.4556491505355,4415.460892456002,0.4426995871374725,74163.37900163306
silu_muon,silu,muon,3,0,4367.642514802002,773.4839420708465,3829.926972479996,5254.095546065015,0.45853850633196713,72920.36506967242
silu_lion,silu,lion,3,0,4467.183848329005,689.9003406989606,3670.5557523129974,4865.985312970937,0.47093125241710254,70922.98621982607
silu_adamw,silu,adamw,3,0,4510.005051085318,840.9360776891796,3685.3220271519967,5366.302551058005,0.4753590297382512,70683.18057055387
rlb_came,rlb_fused_global_rational,adafactor_came,3,0,4513.396296771748,216.0323004273777,4263.958421327174,4640.46354201599,0.4678472313585572,70158.18272020495
silu_schedulefree,silu,schedule_free_adamw,3,0,4531.633506307709,714.0824957679555,3707.082089981006,4944.088483582018,0.47806428932022454,69904.06519260239
rlb_muon,rlb_fused_global_rational,muon,3,0,4682.026199577337,147.24740929862753,4596.245493797003,4852.05054647394,0.4852104424526048,67576.28490255868
rlb_matrixpolicy_original,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,4757.234843067669,549.9225836492359,4132.660782731138,5168.745259458665,0.4986815507680888,66388.65840222716
silu_came,silu,adafactor_came,3,0,4811.744305209654,702.5527892231291,4000.5073699310014,5218.545048185973,0.5079443825591416,65602.63822597038
silu_soap,silu,soap_adamw,3,0,5206.485059135982,720.8913830016061,4374.089522717986,5627.440904636984,0.5474789864575659,60685.2486171686
silu_ademamix,silu,ademamix,3,0,5309.269116561986,641.8569950183715,4588.0777606480115,5817.826523253927,0.476246726470933,70175.39499567906
