target_loss,seed,matrixpolicy_step,matrixpolicy_tokens,second_best_method,second_best_step,second_best_tokens,silu_adamw_step,silu_adamw_tokens
4.2,1337,2150,70451200,rlb_lion,2400,78643200,2750,90112000
4.2,2027,2400,78643200,rlb_lion,2600,85196800,3000,98304000
4.2,3407,2250,73728000,rlb_lion,2450,80281600,2800,91750400
4.1,1337,2900,95027200,rlb_lion,3000,98304000,3450,113049600
4.1,2027,3250,106496000,rlb_lion,3300,108134400,3800,124518400
4.1,3407,3050,99942400,rlb_lion,3100,101580800,3550,116326400
4.0,1337,3750,122880000,rlb_lion,3800,124518400,4400,144179200
4.0,2027,4100,134348800,rlb_muon,4200,137625600,4900,160563200
4.0,3407,3850,126156800,rlb_lion,3950,129433600,4600,150732800
3.9,1337,4750,155648000,rlb_muon,4850,158924800,5850,191692800
3.9,2027,5250,172032000,rlb_muon,5400,176947200,6500,212992000
3.9,3407,4950,162201600,rlb_lion,5100,167116800,6000,196608000
3.85,1337,5400,176947200,rlb_muon,5500,180224000,6850,224460800
3.85,2027,5950,194969600,rlb_muon,6200,203161600,7850,257228800
3.85,3407,5650,185139200,rlb_muon,5800,190054400,7000,229376000
3.8,1337,6150,201523200,rlb_muon,6400,209715200,8500,278528000
3.8,2027,6850,224460800,rlb_muon,7350,240844800,,
3.8,3407,6400,209715200,rlb_muon,6800,222822400,9050,296550400
3.75,1337,7150,234291200,rlb_muon,7550,247398400,,
3.75,2027,8150,267059200,,,,,
3.75,3407,7450,244121600,rlb_muon,8450,276889600,,
