task,method,label,activation,optimizer,optimizer_lr,optimizer_min_lr,optimizer_weight_decay,optimizer_beta1,optimizer_beta2,factored_min_dim,factored_clip_threshold,ademamix_alpha,ademamix_beta3,schedule_free_beta1,schedule_free_warmup_steps,came_beta3,came_confidence_scale,soap_precondition_frequency,soap_large_side_identity_threshold,soap_one_sided,muon_momentum,muon_ns_steps,rational_matrix_policy_adam_lr_scale,rational_matrix_policy_group_gain_strength,rational_matrix_policy_group_pressure_strength,rational_matrix_policy_group_activity_damping,n,complete_n,running_n,stopped_n,diverged_n,curve_density_ok_n,eval_points_min,mean_final_val_loss,std_final_val_loss,mean_best_val_loss,mean_val_loss_auc_250,mean_val_loss_auc_500,mean_val_loss_auc_1000,mean_val_loss_auc_full,mean_seconds_per_step,sources
dclm,RLB+AdamW,RLB+AdamW lr=0.0005 wd=0.2,rlb_fused_fixed_strong_ffn,adamw,0.0005,3e-05,0.2,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,4.451584815979004,0.0,4.451584815979004,6.902433962228308,6.1351792788457775,5.489002187688787,5.152803141301073,1.5445810172680994,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0005_wd0.20_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+AdamW,RLB+AdamW lr=0.0005 wd=0.1,rlb_fused_fixed_strong_ffn,adamw,0.0005,3e-05,0.1,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,4.456295013427734,0.0,4.456295013427734,6.899905572454613,6.133755502337683,5.488560420256835,5.153663528247143,3.2116710880601254,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0005_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+AdamW,RLB+AdamW lr=0.0005 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,0.0005,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,4.461226940155029,0.0,4.461226940155029,6.898628856283594,6.133693279866465,5.4891199571592315,5.155411316497433,3.3006040504747562,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0005_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,SiLU+AdamW,SiLU+AdamW lr=0.0005 wd=0.1,silu,adamw,0.0005,3e-05,0.1,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,4.472005367279053,0.0,4.472005367279053,6.951417809988121,6.169214478953329,5.520350313043451,5.1812590298064425,3.2965169781461126,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0005_wd0.10_phase1_protocol_lock/silu.jsonl
dclm,SiLU+AdamW,SiLU+AdamW lr=0.0005 wd=0.2,silu,adamw,0.0005,3e-05,0.2,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,4.469074726104736,0.0,4.469074726104736,6.956734464829227,6.172786011724529,5.5223982467785016,5.18211970554562,1.3975052306434297,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0005_wd0.20_phase1_protocol_lock/silu.jsonl
dclm,SiLU+AdamW,SiLU+AdamW lr=0.0005 wd=0.03,silu,adamw,0.0005,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,4.476555824279785,0.0,4.476555824279785,6.955346063437711,6.171180594182444,5.522486175025429,5.184424391725245,3.207879754826392,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0005_wd0.03_phase1_protocol_lock/silu.jsonl
dclm,RLB+AdamW,RLB+AdamW lr=0.0003 wd=0.2,rlb_fused_fixed_strong_ffn,adamw,0.0003,3e-05,0.2,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,4.639377117156982,0.0,4.639377117156982,7.076055795792116,6.27903173968405,5.632688250508275,5.31147307423469,2.8829040438995817,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0003_wd0.20_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+AdamW,RLB+AdamW lr=0.0003 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,0.0003,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,4.644189357757568,0.0,4.644189357757568,7.075156073972403,6.279327778634662,5.633202186217895,5.3129651141291845,0.8891800791592495,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0003_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+AdamW,RLB+AdamW lr=0.0003 wd=0.1,rlb_fused_fixed_strong_ffn,adamw,0.0003,3e-05,0.1,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,4.644200325012207,0.0,4.644200325012207,7.077213937498958,6.280586449560039,5.634475481044781,5.314085481204386,3.295569375077378,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0003_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,SiLU+AdamW,SiLU+AdamW lr=0.0003 wd=0.1,silu,adamw,0.0003,3e-05,0.1,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,4.6401190757751465,0.0,4.6401190757751465,7.143060163321744,6.314027351463486,5.654088366855015,5.32665100357351,2.9928993503124444,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0003_wd0.10_phase1_protocol_lock/silu.jsonl
