task,source,run_name,label,method,activation,optimizer,seed,status,complete,stopped_early,stop_reason,steps,completed_steps,final_step,final_val_loss,final_val_ppl,best_val_step,best_val_loss,val_loss_auc_250,val_loss_auc_500,val_loss_auc_1000,val_loss_auc_full,train_diverged_step,eval_diverged_step,eval_points,eval_interval_configured,eval_interval_observed_min,eval_interval_observed_max,curve_density_ok,mean_seconds_per_step,tokens_per_second,mean_optimizer_step_seconds,mean_forward_backward_seconds,grad_clip_rate,optimizer_lr,optimizer_min_lr,optimizer_weight_decay,optimizer_beta1,optimizer_beta2,factored_min_dim,factored_clip_threshold,ademamix_alpha,ademamix_beta3,schedule_free_beta1,schedule_free_warmup_steps,came_beta3,came_confidence_scale,soap_precondition_frequency,soap_large_side_identity_threshold,soap_one_sided,muon_momentum,muon_ns_steps,rational_matrix_policy_adam_lr_scale,rational_matrix_policy_group_gain_strength,rational_matrix_policy_group_pressure_strength,rational_matrix_policy_group_activity_damping
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,1337,complete,True,False,,1525,1525,1525,5.078359603881836,160.5105389865364,1525,5.078359603881836,7.5970616953439984,6.743295077092662,6.074599885129117,5.754447081583378,,,32,50,25,50,True,0.891858332811707,36741.2612457119,0.03596586959034752,0.8467866330456318,0.07142857142857142,0.0001,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock/silu.jsonl,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,SiLU+AdamW lr=0.0001 wd=0.03,SiLU+AdamW,silu,adamw,1337,complete,True,False,,1525,1525,1525,5.077362537384033,160.35057906416037,1525,5.077362537384033,7.6755378121831805,6.785433826561204,6.093369696830009,5.766011171922909,,,32,50,25,50,True,0.7285794666966467,44975.19007579083,0.036012843863826166,0.6906673516366629,0.07792207792207792,0.0001,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0001_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_adamw_lr0.0001_wd0.10_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.1,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,1337,complete,True,False,,1525,1525,1525,5.077939033508301,160.4430472027157,1525,5.077939033508301,7.594937039187634,6.741528174681272,6.0735460458933055,5.75361809173594,,,32,50,25,50,True,0.8859236398195112,36987.386414788314,0.03599500070744067,0.8404186710330896,0.07142857142857142,0.0001,3e-05,0.1,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0001_wd0.10_phase1_protocol_lock/silu.jsonl,dclm_adamw_lr0.0001_wd0.10_phase1_protocol_lock,SiLU+AdamW lr=0.0001 wd=0.1,SiLU+AdamW,silu,adamw,1337,complete,True,False,,1525,1525,1525,5.076859951019287,160.2700092978725,1525,5.076859951019287,7.673606769148126,6.7844746117601415,6.092788400354089,5.765555251771071,,,32,50,25,50,True,0.7316113350640846,44788.80852376314,0.03611590043468138,0.6933644427336766,0.07142857142857142,0.0001,3e-05,0.1,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0001_wd0.20_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_adamw_lr0.0001_wd0.20_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.2,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,1337,complete,True,False,,1525,1525,1525,5.078014373779297,160.45513548073274,1525,5.078014373779297,7.598369755419383,6.7443616605235,6.075093908949538,5.754648401981264,,,32,50,25,50,True,0.8948308760111869,36619.21026470073,0.03611298520839924,0.850380661546131,0.07142857142857142,0.0001,3e-05,0.2,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0001_wd0.20_phase1_protocol_lock/silu.jsonl,dclm_adamw_lr0.0001_wd0.20_phase1_protocol_lock,SiLU+AdamW lr=0.0001 wd=0.2,SiLU+AdamW,silu,adamw,1337,complete,True,False,,1525,1525,1525,5.0768327713012695,160.26565326341125,1525,5.0768327713012695,7.675990298091168,6.785756823056207,6.093596628359011,5.766079301596314,,,32,50,25,50,True,0.7332831631926016,44686.69355141497,0.03609021651936928,0.6951768534550369,0.09740259740259741,0.0001,3e-05,0.2,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0003_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_adamw_lr0.0003_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0003 wd=0.03,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,1337,complete,True,False,,1525,1525,1525,4.644189357757568,103.9790418081268,1525,4.644189357757568,7.075156073972403,6.279327778634662,5.633202186217895,5.3129651141291845,,,32,50,25,50,True,0.8891800791592495,36851.92771185706,0.036020322318049754,0.8440752910066838,0.05194805194805195,0.0003,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0003_wd0.03_phase1_protocol_lock/silu.jsonl,dclm_adamw_lr0.0003_wd0.03_phase1_protocol_lock,SiLU+AdamW lr=0.0003 wd=0.03,SiLU+AdamW,silu,adamw,1337,complete,True,False,,1525,1525,1525,4.641523361206055,103.70220323055322,1525,4.641523361206055,7.1424704392751055,6.313283381815664,5.653812444007194,5.32696218800357,,,32,50,25,50,True,0.7324310525193428,44738.68207428935,0.036091388377259705,0.6942783132207379,0.03896103896103896,0.0003,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0003_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_adamw_lr0.0003_wd0.10_phase1_protocol_lock,RLB+AdamW lr=0.0003 wd=0.1,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,1337,complete,True,False,,1525,1525,1525,4.644200325012207,103.98018217900874,1525,4.644200325012207,7.077213937498958,6.280586449560039,5.634475481044781,5.314085481204386,,,32,50,25,50,True,3.295569375077378,9943.046639468977,0.036074919532001766,3.288038114436173,0.045454545454545456,0.0003,3e-05,0.1,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0003_wd0.10_phase1_protocol_lock/silu.jsonl,dclm_adamw_lr0.0003_wd0.10_phase1_protocol_lock,SiLU+AdamW lr=0.0003 wd=0.1,SiLU+AdamW,silu,adamw,1337,complete,True,False,,1525,1525,1525,4.6401190757751465,103.55667794084043,1525,4.6401190757751465,7.143060163321744,6.314027351463486,5.654088366855015,5.32665100357351,,,32,50,25,50,True,2.9928993503124444,10948.580678658365,0.03610337566880679,3.0105477032408894,0.045454545454545456,0.0003,3e-05,0.1,0.9,0.95,,,,,,,,,,,,,,,,,
