task,run_name,label,activation,optimizer,seed,step,tokens,gpu_hours_approx,loss,lr,seconds_per_step,grad_clip_triggered,grad_global_norm_before_clip
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,1,32768,0.0016372371755520969,11.086013793945312,5e-07,1.4735134579968872,True,4.724297046661377
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,10,327680,0.010295214090017706,10.828700913323296,5e-06,0.9265692681015935,True,4.15690279006958
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,20,655360,0.01957970326886021,9.925736999511718,1e-05,0.8810866470987093,True,2.3496720790863037
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,30,983040,0.029432201106634845,9.33422212600708,1.5e-05,0.8829660331990453,True,1.887468934059143
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,40,1310720,0.03938573342224117,9.05381498336792,2e-05,0.8861790020004264,True,1.6802690029144287
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,50,1638400,0.04929195444452085,8.832169437408448,2.5e-05,0.8872551800013753,True,1.53850519657135
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,60,1966080,0.059107999853149525,8.568808650970459,3e-05,0.8866199977972429,True,1.3318603038787842
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,70,2293760,0.0688982625256176,8.294442653656006,3.5000000000000004e-05,0.8858348039007978,True,1.1594319343566895
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,80,2621440,0.07915547348403683,7.956872987747192,4e-05,0.8904990766954143,True,1.018080711364746
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,90,2949120,0.08909741604016745,7.679872179031372,4.5e-05,0.8909741604016744,False,0.7506970763206482
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,100,3276800,0.09873496056679869,7.445174646377564,5e-05,0.8886146451011883,False,0.696192741394043
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,110,3604480,0.10901316974784196,7.237474155426026,5.500000000000001e-05,0.8919259343005251,False,0.632483720779419
