scope,phase,dataset,method,method_label,activation,optimizer,runs,early_stop_runs,steps,train_tokens_per_run,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,total_minutes_mean,total_hours_mean,mean_seconds_per_step,tokens_per_second_mean
E1_m0_100m_all_datasets,E1_rational_only_100m,c4_en,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,3050,100000000,1388.07158215472,71.43488525226915,1344.8370720189996,1470.5248929872178,23.134526369245336,0.38557543948742223,0.43011554337601615,76335.76348836545
E1_m0_100m_all_datasets,E1_m0_100m,c4_en,silu_adamw,SiLU+AdamW,silu,adamw,3,0,3050,100000000,1360.8573552936625,227.16215289867966,1222.9681594949798,1623.0442129889852,22.680955921561043,0.37801593202601735,0.4277459588642186,78068.04100877725
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,rlb_adamw,RLB+AdamW,rlb_fused_global_rational,adamw,3,0,3050,100000000,1437.8110898187151,147.13725868594753,1269.597087000031,1542.5919838320697,23.96351816364525,0.39939196939408755,0.4437423724766523,74422.62615681137
E1_m0_100m_all_datasets,E1_m0_100m,c4_en,silu_muon,SiLU+Muon,silu,muon,3,0,3050,100000000,1471.6244161963114,231.07010452607256,1334.9186812510015,1738.4137967669521,24.527073603271855,0.40878456005453095,0.4639755268349337,71809.9564361179
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,rlb_muon,RLB+Muon,rlb_fused_global_rational,muon,3,0,3050,100000000,1599.6942701430137,10.728733029054268,1592.682548878016,1612.0450466080802,26.661571169050227,0.44435951948417046,0.4955591408930006,66126.22706029794
E1_m0_100m_all_datasets,E1_m0_100m,c4_en,silu_lion,SiLU+Lion,silu,lion,3,0,3050,100000000,1346.8386795656795,238.39179512456053,1206.2879296829924,1622.0890847260016,22.44731132609466,0.374121855434911,0.4235078722050314,79008.54207401525
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,rlb_lion,RLB+Lion,rlb_fused_global_rational,lion,3,0,3050,100000000,1428.2316125360085,139.16139662713124,1267.545715895947,1509.5369936840143,23.803860208933475,0.39673100348222456,0.44063724487103406,74900.00510103759
E1_m0_100m_all_datasets,E1_m0_100m,c4_en,silu_soap,SiLU+SOAP,silu,soap_adamw,3,0,3050,100000000,1590.0737729289879,240.07522406199737,1450.7597536050016,1867.2875609030016,26.501229548816465,0.44168715914694107,0.5029299527931932,66143.52406840038
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,rlb_soap,RLB+SOAP,rlb_fused_global_rational,soap_adamw,3,0,3050,100000000,1534.1331991949894,3.3826116577483587,1530.2982451309217,1536.6924761350965,25.568886653249823,0.42614811088749704,0.475028330540337,68981.56886809757
E1_m0_100m_all_datasets,E1_m0_100m,c4_en,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,3,0,3050,100000000,1387.4498109950025,245.96482350203593,1244.7335920070182,1671.4643453360186,23.124163516583376,0.3854027252763896,0.4366546128421296,76612.53118091125
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,rlb_ademamix,RLB+ADeMaMix,rlb_fused_global_rational,ademamix,3,3,3050,100000000,233.367626067639,8.106620708904737,224.98344609793276,241.16477416502312,3.8894604344606503,0.06482434057434416,0.4514128082429042,73079.12828168222
E1_m0_100m_all_datasets,E1_m0_100m,c4_en,silu_came,SiLU+CAME,silu,adafactor_came,3,0,3050,100000000,1469.7970177703148,245.97245009999702,1327.7116821769741,1753.8215257909615,24.49661696283858,0.408276949380643,0.4633481784720386,71997.89230695058
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,rlb_came,RLB+CAME,rlb_fused_global_rational,adafactor_came,3,0,3050,100000000,1525.1726240357773,125.63581072604134,1383.072707277257,1621.522131417063,25.419543733929622,0.4236590622321604,0.47231580297364256,69712.27154247588
E1_m0_100m_all_datasets,E1_m0_100m,c4_en,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,3,0,3050,100000000,1372.5162269119949,238.44609461094223,1234.7023056009784,1647.8500083899708,22.875270448533247,0.3812545074755541,0.4322607936788851,77326.96018418077
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_global_rational,schedule_free_adamw,3,0,3050,100000000,1441.617012018726,137.5373799487985,1282.8179303142242,1522.9321782350307,24.0269502003121,0.40044917000520164,0.44517511940428955,74109.51287868507
E1_m0_100m_all_datasets,E1_rational_only_100m,dclm,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,3050,100000000,1527.5277387096623,100.0452642900914,1466.1833360069431,1642.9743648580043,25.45879564516104,0.424313260752684,0.4755711115194769,69095.80627410537
E1_m0_100m_all_datasets,E1_m0_100m,dclm,silu_adamw,SiLU+AdamW,silu,adamw,3,0,3050,100000000,1964.3547995973302,19.718318812115534,1949.9625456850044,1986.8303037419973,32.739246659955505,0.5456541109992584,0.6259346787053908,52353.797358951015
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dclm,rlb_adamw,RLB+AdamW,rlb_fused_global_rational,adamw,3,0,3050,100000000,1349.3264810300122,74.1154923108936,1264.9157736300258,1403.7478307050187,22.488774683833537,0.3748129113972256,0.41537963154781293,79073.6865204686
E1_m0_100m_all_datasets,E1_m0_100m,dclm,silu_muon,SiLU+Muon,silu,muon,3,0,3050,100000000,2100.322426625993,65.97364468944325,2055.7190837379894,2176.107068687008,35.005373777099884,0.5834228962849981,0.669331316037529,48983.24903756138
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dclm,rlb_muon,RLB+Muon,rlb_fused_global_rational,muon,3,0,3050,100000000,1488.6505940296531,19.238032836766934,1475.28103659302,1510.6990672219545,24.81084323382755,0.41351405389712587,0.45999638818044597,71248.30330603062
E1_m0_100m_all_datasets,E1_m0_100m,dclm,silu_lion,SiLU+Lion,silu,lion,3,0,3050,100000000,1979.383705073987,58.095441642519084,1938.272554803989,2045.8466361799801,32.989728417899784,0.5498288069649964,0.6305790987225136,51992.691949781176
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dclm,rlb_lion,RLB+Lion,rlb_fused_global_rational,lion,3,0,3050,100000000,1364.335483742684,57.277499118118435,1303.1105432739714,1416.6122541890945,22.738924729044733,0.3789820788174122,0.42058958238363875,78014.2813174276
E1_m0_100m_all_datasets,E1_m0_100m,dclm,silu_soap,SiLU+SOAP,silu,soap_adamw,3,0,3050,100000000,2238.9439317079864,79.50178362490409,2173.3293756049825,2327.3531982139975,37.31573219513311,0.6219288699188851,0.7143036584542645,45909.81766176236
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dclm,rlb_soap,RLB+SOAP,rlb_fused_global_rational,soap_adamw,3,0,3050,100000000,1431.429593868049,22.87710415326109,1414.6467656210298,1457.487767781131,23.85715989780082,0.3976193316300136,0.4414236972817425,74251.63484243512
E1_m0_100m_all_datasets,E1_m0_100m,dclm,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,3,0,3050,100000000,2021.716620118008,74.08821066752313,1964.315281311021,2105.352503066999,33.6952770019668,0.56158795003278,0.6439269424214644,50930.80759821526
