scope,phase,dataset,row_index,row_id,seed,method,method_label,activation,optimizer,steps,completed_steps,train_tokens,total_seconds,total_minutes,total_hours,mean_seconds_per_step,tokens_per_second,stopped_early,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,timing_node_override_reason,timing_integrity_issues,jsonl
E1_m0_100m_all_datasets,E1_rational_only_100m,c4_en,12,E1_rational_only_100m_c4_en_m0_100m_seed1337_rlb_rational_only_matrixpolicy,1337,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3050,3050,100000000,1348.852781457943,22.480879690965715,0.3746813281827619,0.416773899800216,78622.9656312634,False,,,,,,,experiments/runs/iclr26_main/E1_rational_only_100m/c4_en/E1_rational_only_100m_c4_en_m0_100m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
E1_m0_100m_all_datasets,E1_rational_only_100m,c4_en,13,E1_rational_only_100m_c4_en_m0_100m_seed2027_rlb_rational_only_matrixpolicy,2027,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3050,3050,100000000,1470.5248929872178,24.50874821645363,0.4084791369408938,0.45764673229938524,71601.07936390485,False,,,,,,,experiments/runs/iclr26_main/E1_rational_only_100m/c4_en/E1_rational_only_100m_c4_en_m0_100m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
E1_m0_100m_all_datasets,E1_rational_only_100m,c4_en,14,E1_rational_only_100m_c4_en_m0_100m_seed3407_rlb_rational_only_matrixpolicy,3407,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3050,3050,100000000,1344.8370720189996,22.41395120031666,0.373565853338611,0.41592599802844726,78783.24546992812,False,,,,,,,experiments/runs/iclr26_main/E1_rational_only_100m/c4_en/E1_rational_only_100m_c4_en_m0_100m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,84,E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_adamw,1337,rlb_adamw,RLB+AdamW,rlb_fused_global_rational,adamw,3050,3050,100000000,1501.2441986240447,25.02073664373408,0.41701227739556795,0.4644551223508665,70551.48801921458,False,982111,0,damle-compute-01,982111:0:1782483555,,,experiments/runs/iclr26_main/E1_global_rational_optimizers_100m/c4_en/E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_adamw/rlb_fused_global_rational.jsonl
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,85,E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_muon,1337,rlb_muon,RLB+Muon,rlb_fused_global_rational,muon,3050,3050,100000000,1594.3552149429452,26.572586915715753,0.44287644859526254,0.4924444788572193,66541.51159546424,False,982112,0,badfellow,982112:0:1782482354,,,experiments/runs/iclr26_main/E1_global_rational_optimizers_100m/c4_en/E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_muon/rlb_fused_global_rational.jsonl
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,86,E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_lion,1337,rlb_lion,RLB+Lion,rlb_fused_global_rational,lion,3050,3050,100000000,1509.5369936840143,25.15894989473357,0.41931583157889285,0.4666606308296338,70218.05105295626,False,982113,0,damle-compute-01,982113:0:1782485118,,,experiments/runs/iclr26_main/E1_global_rational_optimizers_100m/c4_en/E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_lion/rlb_fused_global_rational.jsonl
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,87,E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_soap,1337,rlb_soap,RLB+SOAP,rlb_fused_global_rational,soap_adamw,3050,3050,100000000,1535.4088763189502,25.59014793864917,0.42650246564415284,0.4756046242893051,68897.56391449126,False,982114,0,badfellow,982114:0:1782484016,,,experiments/runs/iclr26_main/E1_global_rational_optimizers_100m/c4_en/E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_soap/rlb_fused_global_rational.jsonl
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,88,E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_ademamix,1337,rlb_ademamix,RLB+ADeMaMix,rlb_fused_global_rational,ademamix,3050,460,100000000,233.95465793996118,3.899244298999353,0.06498740498332255,0.4781876795318817,68525.39578618587,True,982115,0,damle-compute-01,982115:0:1782486674,,,experiments/runs/iclr26_main/E1_global_rational_optimizers_100m/c4_en/E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_ademamix/rlb_fused_global_rational.jsonl
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,89,E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_came,1337,rlb_came,RLB+CAME,rlb_fused_global_rational,adafactor_came,3050,3050,100000000,1570.9230334130116,26.182050556883528,0.4363675092813921,0.4884694401491342,67083.00930759482,False,982116,0,rush-compute-03,982116:0:1782485607,,,experiments/runs/iclr26_main/E1_global_rational_optimizers_100m/c4_en/E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_came/rlb_fused_global_rational.jsonl
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,c4_en,90,E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_schedulefree,1337,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_global_rational,schedule_free_adamw,3050,3050,100000000,1522.9321782350307,25.382202970583844,0.42303671617639743,0.47131726218889086,69524.29420433045,False,982117,0,damle-compute-01,982117:0:1782486951,,,experiments/runs/iclr26_main/E1_global_rational_optimizers_100m/c4_en/E1_global_rational_optimizers_100m_c4_en_m0_100m_seed1337_rlb_schedulefree/rlb_fused_global_rational.jsonl
