model_scale,dataset,train_tokens,steps_required,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,runs_total,runs_reached_required_step,runs_stopped_early,runs_non_finite,endpoint_seed_count,validation_loss_mean,validation_loss_sample_std,matched_control_seed_count,matched_control_validation_loss_mean,lead_vs_matched_control_mean,lead_vs_matched_control_sample_std,exact_time_ratio_seed_count,exact_total_time_ratio_mean,exact_total_time_ratio_sample_std,total_seconds_mean,total_seconds_sample_std,mean_seconds_per_step,tokens_per_second_mean,status
12l_768d,c4_en,100000000,3050,rlb_fused_global_rational,GRAIN,lion,Lion,rlb_lion,GRAIN + Lion,3,3,0,0,3,4.335662333333333,0.020917490679652342,3,4.353581666666667,0.017919333333333398,0.005331191455325665,0,,,1428.2316125360085,139.16139662713124,0.44063724487103406,74900.0051010376,complete
12l_768d,c4_en,100000000,3050,silu,SwiGLU,lion,Lion,silu_lion,SwiGLU + Lion,3,3,0,0,3,4.353581666666667,0.015604370360041113,0,,,,0,,,1346.8386795656795,238.39179512456053,0.4235078722050314,79008.54207401523,complete
12l_768d,c4_en,300000000,9150,rlb_fused_global_rational,GRAIN,lion,Lion,rlb_lion,GRAIN + Lion,3,3,0,0,3,3.9132185777028403,0.013928069064094743,3,3.9213258425394693,0.008107264836629232,0.004964216139565187,0,,,4077.0374960441454,324.9553574230577,0.4206315976220294,78275.2528190069,complete
12l_768d,c4_en,300000000,9150,silu,SwiGLU,lion,Lion,silu_lion,SwiGLU + Lion,3,3,0,0,3,3.9213258425394693,0.010538468681734576,0,,,,0,,,4322.999720857338,955.2416369514973,0.45550140715237913,74962.82334812351,complete
12l_768d,dclm,100000000,3050,rlb_fused_global_rational,GRAIN,lion,Lion,rlb_lion,GRAIN + Lion,3,3,0,0,3,4.305728333333334,0.005836216011537814,3,4.318333333333333,0.012605000000000052,0.01044876131414604,0,,,1364.335483742684,57.277499118118435,0.42058958238363875,78014.2813174276,complete
12l_768d,dclm,100000000,3050,silu,SwiGLU,lion,Lion,silu_lion,SwiGLU + Lion,3,3,0,0,3,4.318333333333333,0.006892543531478899,0,,,,0,,,1979.383705073987,58.095441642519084,0.6305790987225136,51992.691949781176,complete
12l_768d,dclm,300000000,9150,rlb_fused_global_rational,GRAIN,lion,Lion,rlb_lion,GRAIN + Lion,3,3,0,0,3,3.9887187480926514,0.02947704910475386,3,3.993429978688558,0.004711230595906575,0.0066308299116899245,0,,,4308.315052023933,456.86007411008455,0.443702755704452,74469.64945294819,complete
12l_768d,dclm,300000000,9150,silu,SwiGLU,lion,Lion,silu_lion,SwiGLU + Lion,3,3,0,0,3,3.993429978688558,0.023038040168255374,0,,,,0,,,4057.5895258267024,720.8884706446973,0.42649707179201696,78441.95713029015,complete
12l_768d,dolma_sample,100000000,3050,rlb_fused_global_rational,GRAIN,lion,Lion,rlb_lion,GRAIN + Lion,3,3,0,0,3,4.369254333333333,0.0055611829976484695,3,4.387783333333334,0.018529000000000313,0.008929521431745472,0,,,1465.2522717350319,9.580494714792321,0.4532545446668643,72297.01308677875,complete
12l_768d,dolma_sample,100000000,3050,silu,SwiGLU,lion,Lion,silu_lion,SwiGLU + Lion,3,3,0,0,3,4.387783333333334,0.004605410007082127,0,,,,0,,,1493.2309771773678,227.68107119370464,0.4713922028168238,70831.65147953069,complete
12l_768d,dolma_sample,300000000,9150,rlb_fused_global_rational,GRAIN,lion,Lion,rlb_lion,GRAIN + Lion,3,3,0,0,3,3.8412062327067056,0.008477541199198822,3,3.847522576649984,0.006316343943277995,0.001130442838485781,0,,,3886.11443904927,337.1947679445505,0.40018350712857237,82306.98593219226,complete
12l_768d,dolma_sample,300000000,9150,silu,SwiGLU,lion,Lion,silu_lion,SwiGLU + Lion,3,3,0,0,3,3.847522576649984,0.00936335564969674,0,,,,0,,,3767.7718070780393,310.6251211238548,0.39422327979544697,83530.07891502201,complete
12l_768d,fineweb,100000000,3050,rlb_fused_global_rational,GRAIN,lion,Lion,rlb_lion,GRAIN + Lion,3,3,0,0,3,4.367062,0.007532193770741391,3,4.382518,0.015456000000000062,0.0043408297593888895,0,,,1476.0259934507,17.562555073653947,0.45663634374959233,71766.06023463611,complete
12l_768d,fineweb,100000000,3050,silu,SwiGLU,lion,Lion,silu_lion,SwiGLU + Lion,3,3,0,0,3,4.382518,0.008307865128900254,0,,,,0,,,1450.8903513121186,318.0042606884069,0.4583290357244128,74437.14863240578,complete
12l_768d,fineweb,300000000,9150,rlb_fused_global_rational,GRAIN,lion,Lion,rlb_lion,GRAIN + Lion,3,3,0,0,3,3.996049404144287,0.010524298325788353,3,4.001499176025391,0.005449771881103516,0.0035814714164454447,0,,,4090.3833920315374,325.42248200101415,0.4219428400341703,78036.86830756975,complete
12l_768d,fineweb,300000000,9150,silu,SwiGLU,lion,Lion,silu_lion,SwiGLU + Lion,3,3,0,0,3,4.001499176025391,0.008463186139865936,0,,,,0,,,3878.4000459080175,376.8520339713349,0.40656504135723187,81108.93250724181,complete
12l_768d,fineweb_edu,100000000,3050,rlb_fused_global_rational,GRAIN,lion,Lion,rlb_lion,GRAIN + Lion,3,3,0,0,3,4.142669000000001,0.006812357815029873,3,4.149365666666667,0.006696666666666573,0.003373225508816856,0,,,1394.7095064336124,78.6373971905363,0.43067226533670455,76262.98395723329,complete
