task,method,n,complete_n,diverged_n,mean_final_val_loss,std_final_val_loss,mean_final_val_ppl,std_final_val_ppl,mean_val_loss_auc_1000,std_val_loss_auc_1000,mean_val_loss_auc_2000,std_val_loss_auc_2000,mean_val_loss_auc_full,std_val_loss_auc_full,mean_gap_loss_vs_silu_adamw,std_gap_loss_vs_silu_adamw,mean_gap_loss_vs_best_control,std_gap_loss_vs_best_control
fineweb,SiLU+AdamW,3,3,0,4.528963,0.029611,92.689650,2.760525,6.009317,0.035455,5.421278,0.035335,5.131084,0.033480,0.000000,0.000000,-0.006960,0.006139
fineweb,RLB+AdamW,3,3,0,4.522311,0.029832,92.075373,2.748624,5.972357,0.030799,5.396332,0.031248,5.111882,0.030476,0.006653,0.006663,-0.000308,0.000533
fineweb,SiLU+Muon,3,3,0,4.566661,0.041469,96.277835,4.032614,6.685377,0.037363,5.809208,0.038753,5.400981,0.039971,-0.037698,0.012280,-0.044658,0.015618
fineweb,RLB+Muon,3,3,0,4.571341,0.027720,96.698478,2.695645,6.605909,0.038556,5.772325,0.034929,5.379100,0.032020,-0.042377,0.001934,-0.049337,0.006688
fineweb,RLB+MatrixPolicy (group-stat),3,3,0,4.369701,0.026358,79.038297,2.085562,5.863122,0.026276,5.282266,0.028012,4.987819,0.027541,0.159263,0.006552,0.152302,0.003495
fineweb_edu,SiLU+AdamW,3,3,0,4.223572,0.001635,68.276969,0.111604,5.851540,0.018281,5.196327,0.011216,4.878505,0.007596,0.000000,0.000000,-0.000748,0.001295
fineweb_edu,RLB+AdamW,3,3,1,5.618928,2.418773,1545.544533,2558.834717,7.103362,2.235765,6.676326,2.605567,6.469460,2.784717,-1.395356,2.417518,-1.396103,2.416871
fineweb_edu,SiLU+Muon,3,3,0,4.258871,0.014706,70.735224,1.044223,6.528272,0.023050,5.580717,0.018434,5.145211,0.017245,-0.035300,0.016163,-0.036047,0.017452
fineweb_edu,RLB+Muon,3,3,0,4.263744,0.008026,71.077144,0.570302,6.442239,0.018295,5.538482,0.011424,5.119584,0.008186,-0.040173,0.007695,-0.040920,0.008111
fineweb_edu,RLB+MatrixPolicy (group-stat),3,3,0,4.069422,0.002281,58.523252,0.133591,5.680842,0.013616,5.046148,0.006943,4.729918,0.004464,0.154149,0.001518,0.153402,0.002271
