task,seed,method,activation,optimizer,complete,status,train_diverged_step,eval_diverged_step,final_finite_step,final_val_loss,final_val_ppl,val_loss_auc_1000,val_loss_auc_2000,val_loss_auc_full,gap_loss_vs_silu_adamw,gap_ppl_vs_silu_adamw,gap_loss_vs_best_control,mean_seconds_per_step,source
fineweb,1337,SiLU+AdamW,silu,adamw,True,complete,,,3050,4.504617,90.433678,5.993426,5.401559,5.109763,0.000000,0.000000,-0.011604,0.621498,experiments/results/real_lm_screen_2026_05_30/summary.csv
fineweb,1337,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,True,complete,,,3050,4.493013,89.390408,5.954484,5.373016,5.086560,0.011604,1.043270,0.000000,1.503611,experiments/results/real_lm_screen_2026_05_30/summary.csv
fineweb,1337,SiLU+Muon,silu,muon,True,complete,,,3050,4.535766,93.294964,6.664512,5.786310,5.375600,-0.031149,-2.861286,-0.042753,0.412830,experiments/results/real_lm_screen_2026_05_30/summary.csv
fineweb,1337,RLB+Muon,rlb_fused_fixed_strong_ffn,muon,True,complete,,,3050,4.548868,94.525362,6.585091,5.752002,5.358452,-0.044251,-4.091684,-0.055855,1.372968,experiments/results/real_lm_screen_2026_05_30/summary.csv
fineweb,1337,RLB+MatrixPolicy (group-stat),rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,True,complete,,,3050,4.344150,77.026505,5.850945,5.262783,4.966117,0.160467,13.407173,0.148863,1.419003,experiments/results/real_lm_screen_2026_05_30/summary.csv
fineweb,2027,SiLU+AdamW,silu,adamw,True,complete,,,3050,4.520346,91.867394,5.984587,5.400203,5.113817,0.000000,0.000000,0.000000,1.682466,experiments/runs/real_lm_multiseed_20260531/fineweb/fineweb_adamw_controls_20260531_seed2027_100m.incomplete_968205_2_20260531134520/silu.jsonl
fineweb,2027,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,True,complete,,,3050,4.521269,91.952197,5.954666,5.384141,5.103380,-0.000923,-0.084803,-0.000923,2.432467,experiments/runs/real_lm_multiseed_20260531/fineweb/fineweb_adamw_controls_20260531_seed2027_100m/rlb_fused_fixed_strong_ffn.jsonl
fineweb,2027,SiLU+Muon,silu,muon,True,complete,,,3050,4.550426,94.672686,6.663105,5.787362,5.380287,-0.030079,-2.805292,-0.030079,1.889538,experiments/runs/real_lm_multiseed_20260531/fineweb/fineweb_muon_controls_20260531_seed2027_100m/silu.jsonl
fineweb,2027,RLB+Muon,rlb_fused_fixed_strong_ffn,muon,True,complete,,,3050,4.562838,95.855093,6.582238,5.752317,5.362862,-0.042491,-3.987699,-0.042491,2.462731,experiments/runs/real_lm_multiseed_20260531/fineweb/fineweb_muon_controls_20260531_seed2027_100m/rlb_fused_fixed_strong_ffn.jsonl
fineweb,2027,RLB+MatrixPolicy (group-stat),rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,True,complete,,,3050,4.368154,78.897856,5.845143,5.269648,4.978539,0.152192,12.969538,0.152192,2.494424,experiments/runs/real_lm_multiseed_20260531/fineweb/fineweb_matrix_policy_groupstat_20260531_seed2027_100m/rlb_fused_fixed_strong_ffn.jsonl
fineweb,3407,SiLU+AdamW,silu,adamw,True,complete,,,3050,4.561927,95.767877,6.049938,5.462072,5.169672,0.000000,0.000000,-0.009277,1.693667,experiments/runs/real_lm_multiseed_20260531/fineweb/fineweb_adamw_controls_20260531_seed3407_100m/silu.jsonl
fineweb,3407,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,True,complete,,,3050,4.552650,94.883514,6.007921,5.431838,5.145706,0.009277,0.884363,0.000000,2.422869,experiments/runs/real_lm_multiseed_20260531/fineweb/fineweb_adamw_controls_20260531_seed3407_100m/rlb_fused_fixed_strong_ffn.jsonl
fineweb,3407,SiLU+Muon,silu,muon,True,complete,,,3050,4.613791,100.865855,6.728512,5.853952,5.447055,-0.051864,-5.097978,-0.061141,1.914585,experiments/runs/real_lm_multiseed_20260531/fineweb/fineweb_muon_controls_20260531_seed3407_100m/silu.jsonl
fineweb,3407,RLB+Muon,rlb_fused_fixed_strong_ffn,muon,True,complete,,,3050,4.602316,99.714979,6.650400,5.812658,5.415985,-0.040389,-3.947101,-0.049666,2.491068,experiments/runs/real_lm_multiseed_20260531/fineweb/fineweb_muon_controls_20260531_seed3407_100m/rlb_fused_fixed_strong_ffn.jsonl
fineweb,3407,RLB+MatrixPolicy (group-stat),rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,True,complete,,,3050,4.396799,81.190530,5.893277,5.314369,5.018801,0.165129,14.577348,0.155851,2.483157,experiments/runs/real_lm_multiseed_20260531/fineweb/fineweb_matrix_policy_groupstat_20260531_seed3407_100m/rlb_fused_fixed_strong_ffn.jsonl
fineweb_edu,1337,SiLU+AdamW,silu,adamw,True,complete,,,3050,4.225019,68.375769,5.835354,5.186270,4.871902,0.000000,0.000000,0.000000,0.624398,experiments/results/real_lm_screen_2026_05_30/summary.csv
fineweb_edu,1337,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,True,diverged,80,100,50,8.411884,4500.232350,9.684973,9.684973,9.684973,-4.186865,-4431.856581,-4.186865,1.502045,experiments/results/real_lm_screen_2026_05_30/summary.csv
fineweb_edu,1337,SiLU+Muon,silu,muon,True,complete,,,3050,4.252612,70.288775,6.505154,5.563970,5.131896,-0.027593,-1.913006,-0.027593,0.660396,experiments/results/real_lm_screen_2026_05_30/summary.csv
fineweb_edu,1337,RLB+Muon,rlb_fused_fixed_strong_ffn,muon,True,complete,,,3050,4.271556,71.633003,6.425483,5.529865,5.116422,-0.046537,-3.257234,-0.046537,1.536167,experiments/results/real_lm_screen_2026_05_30/summary.csv
fineweb_edu,1337,RLB+MatrixPolicy (group-stat),rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,True,complete,,,3050,4.072055,58.677441,5.670071,5.041694,4.728113,0.152964,9.698328,0.152964,1.580946,experiments/results/real_lm_screen_2026_05_30/summary.csv
fineweb_edu,2027,SiLU+AdamW,silu,adamw,True,complete,,,3050,4.223898,68.299224,5.847897,5.194291,4.876808,0.000000,0.000000,0.000000,1.659940,experiments/runs/real_lm_multiseed_20260531/fineweb_edu/fineweb_edu_adamw_controls_20260531_seed2027_100m/silu.jsonl
