task,seed,method,step,loss,lr,seconds_per_step
fineweb,1337,SiLU+AdamW,1,10.981408,0.000001,1.351085
fineweb,1337,SiLU+AdamW,10,10.859776,0.000015,0.693234
fineweb,1337,SiLU+AdamW,20,10.181657,0.000030,0.623580
fineweb,1337,SiLU+AdamW,30,9.578909,0.000045,0.624449
fineweb,1337,SiLU+AdamW,40,9.239132,0.000060,0.622089
fineweb,1337,SiLU+AdamW,50,8.813854,0.000075,0.621700
fineweb,1337,SiLU+AdamW,60,8.370078,0.000090,0.619996
fineweb,1337,SiLU+AdamW,70,7.983789,0.000105,0.621795
fineweb,1337,SiLU+AdamW,80,7.724812,0.000120,0.621393
fineweb,1337,SiLU+AdamW,90,7.575295,0.000135,0.621485
fineweb,1337,SiLU+AdamW,100,7.442257,0.000150,0.619972
fineweb,1337,SiLU+AdamW,110,7.283746,0.000165,0.621467
fineweb,1337,SiLU+AdamW,120,7.195307,0.000180,0.621347
fineweb,1337,SiLU+AdamW,130,7.065533,0.000195,0.619425
fineweb,1337,SiLU+AdamW,140,6.940978,0.000210,0.624778
fineweb,1337,SiLU+AdamW,150,6.820668,0.000225,0.624299
fineweb,1337,SiLU+AdamW,160,6.744295,0.000240,0.623104
fineweb,1337,SiLU+AdamW,170,6.621566,0.000255,0.622587
fineweb,1337,SiLU+AdamW,180,6.587714,0.000270,0.623980
fineweb,1337,SiLU+AdamW,190,6.509966,0.000285,0.625842
fineweb,1337,SiLU+AdamW,200,6.439613,0.000300,0.623028
fineweb,1337,SiLU+AdamW,210,6.356875,0.000300,0.619726
fineweb,1337,SiLU+AdamW,220,6.309047,0.000300,0.621338
fineweb,1337,SiLU+AdamW,230,6.273680,0.000300,0.623482
fineweb,1337,SiLU+AdamW,240,6.242277,0.000300,0.618290
fineweb,1337,SiLU+AdamW,250,6.158824,0.000300,0.618809
fineweb,1337,SiLU+AdamW,260,6.115992,0.000300,0.621195
fineweb,1337,SiLU+AdamW,270,6.105872,0.000300,0.618409
fineweb,1337,SiLU+AdamW,280,6.039811,0.000299,0.617614
