task,task_safe,dataset_name,method,gauge_log_scale,complete,last_eval_step,val_loss,val_ppl,val_auc_mean_200,val_auc_mean_400,val_auc_mean_750,train_auc_mean_200,train_auc_mean_400,first_val_loss_le_0p2,first_val_loss_le_0p15,optimizer,activation,path
Code,synthetic_code,synthetic/code,RLB+AdamW,0.0,True,750,0.10472925752401352,1.1104099345196499,2.429719569844816,1.29563435124126,0.747022859518415,2.638281933967459,1.4006136938539497,250,350,adamw,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB+Muon,0.0,True,750,0.10871021449565887,1.1148392392760444,4.214772424206662,2.211776788148067,1.2352883013410467,4.503984951310688,2.3590293848221595,300,425,muon,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_muon_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB MatrixPolicy,0.0,True,750,0.11096800118684769,1.117359152115674,2.154107696409501,1.1541357359155677,0.6721492692360652,2.3567625935195147,1.2555776678525747,200,350,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_matrix_policy_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB MatrixPolicy group-stat,0.0,True,750,0.11087494343519211,1.117255178023059,2.1753034432554363,1.164843257096477,0.6779150965167222,2.3814649793154565,1.268110829043176,200,350,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_matrix_policy_groupstat_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB+AdamW,2.0,True,750,0.11388804018497467,1.1206266527076136,2.2702449513365277,1.2163265639528595,0.7065607195543511,2.4590890712116695,1.3129848850819932,225,375,adamw,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge2p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB+Muon,2.0,True,750,0.10491813719272614,1.1106196881886954,3.490592344846558,1.83900859040724,1.0344062893886432,3.7774789303474625,1.9842419925381036,275,400,muon,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_muon_gauge2p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB MatrixPolicy,2.0,True,750,0.11507223546504974,1.1219544795484455,1.967608004546345,1.0764118604604762,0.6335532572941086,2.173354010698284,1.1815249505472263,200,400,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_matrix_policy_gauge2p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB MatrixPolicy group-stat,2.0,True,750,0.11669417470693588,1.123775698100099,1.9560566489870226,1.0653856880122559,0.6273144225581228,2.169078310405589,1.1795820555305023,200,400,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_matrix_policy_groupstat_gauge2p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Reasoning mix,synthetic_reasoning_mix,synthetic/reasoning_mix,RLB+AdamW,0.0,True,750,0.1710674911737442,1.186570829377328,3.1178594733302916,1.7300580319082528,1.0140961183506114,3.342854041733068,1.8435431168508276,550,,adamw,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_reasoning_mix/synthetic_reasoning_mix_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Reasoning mix,synthetic_reasoning_mix,synthetic/reasoning_mix,RLB+Muon,0.0,True,750,0.1828056424856186,1.2005810434560618,4.82597765700901,2.671525292079849,1.528907197906831,5.098026192118375,2.8114263541069047,650,,muon,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_reasoning_mix/synthetic_reasoning_mix_rlb_muon_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Reasoning mix,synthetic_reasoning_mix,synthetic/reasoning_mix,RLB MatrixPolicy,0.0,True,750,0.17260010540485382,1.1883907790007568,2.734591371075592,1.5352438888080735,0.9098736661398045,2.9573374259894547,1.6489639502922262,525,,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_reasoning_mix/synthetic_reasoning_mix_matrix_policy_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Reasoning mix,synthetic_reasoning_mix,synthetic/reasoning_mix,RLB MatrixPolicy group-stat,0.0,True,750,0.16395623981952667,1.1781627573497537,2.7352145313467813,1.5225490325114184,0.8984977033073817,2.95678109361565,1.6339224655024522,500,,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_reasoning_mix/synthetic_reasoning_mix_matrix_policy_groupstat_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Reasoning mix,synthetic_reasoning_mix,synthetic/reasoning_mix,RLB+AdamW,2.0,True,750,0.17243796586990356,1.1881981094926046,2.9403839289543017,1.6455495459842204,0.9706029643880351,3.168069851108931,1.760222358375464,550,,adamw,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_reasoning_mix/synthetic_reasoning_mix_rlb_adamw_gauge2p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Reasoning mix,synthetic_reasoning_mix,synthetic/reasoning_mix,RLB+Muon,2.0,True,750,0.172880157828331,1.1887236373251686,4.108011169649249,2.2831875416718628,1.3154322339373532,4.3771517380265,2.4217077693926594,600,,muon,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_reasoning_mix/synthetic_reasoning_mix_rlb_muon_gauge2p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Reasoning mix,synthetic_reasoning_mix,synthetic/reasoning_mix,RLB MatrixPolicy,2.0,True,750,0.17112214863300323,1.1866356860965284,2.5668475845800574,1.4469031741035014,0.8618517790899894,2.8048288451766643,1.5691860568901848,525,,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_reasoning_mix/synthetic_reasoning_mix_matrix_policy_gauge2p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Reasoning mix,synthetic_reasoning_mix,synthetic/reasoning_mix,RLB MatrixPolicy group-stat,2.0,True,750,0.17024217545986176,1.185591937829061,2.5754026622328925,1.4603589730603355,0.8704126307240952,2.813922323473734,1.5800025216432143,550,,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,experiments/runs/rlb_gauge_stress_20260529/synthetic_reasoning_mix/synthetic_reasoning_mix_matrix_policy_groupstat_gauge2p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
