task,task_safe,method,gauge_log_scale,step,loss,train_ppl,path
Code,synthetic_code,RLB+AdamW,0.0,1,10.876124382019043,52898.18895573478,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,10,9.95509253607856,21059.19447863143,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,20,8.39407138824463,4420.779815006953,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,30,7.477601051330566,1767.9943567881107,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,40,5.815456962585449,335.4446491376813,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,50,4.017304587364197,55.55117052185603,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,60,2.7354591846466065,15.416820978348294,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,70,1.7936001658439635,6.011054350427,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,80,1.2474376082420349,3.481410780191158,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,90,0.9596638679504395,2.610818746059089,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
