run_index,model_scale,dataset,seed,train_tokens,steps_required,steps_completed,status,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,step1000_validation_loss,final_validation_loss,final_validation_perplexity,matched_control_step1000_validation_loss,matched_control_validation_loss,lead_at_step1000_vs_matched_control,lead_vs_matched_control,time_scope,total_seconds,matched_control_total_seconds,total_time_ratio_vs_matched_control,training_loop_total_seconds,mean_seconds_per_step,tokens_per_second,stopped_early,lr_wd_fairness_passed,realized_lr_trace_sha256,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,source_phase,source_row_index,source_row_id,source_jsonl,source_jsonl_sha256
191,12l_768d,c4_en,1337,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,,4.953531,,,4.988052,,0.0345209999999998,training_loop,1522.9321782350307,,,1522.9321782350307,0.47131726218889086,69524.29420433045,False,,,982117,0,damle-compute-01,982117:0:1782486951,12l_768d_100m_tokens_3050_steps,191,12l_768d_100m_tokens_3050_steps_c4_en_seed1337_rlb_schedulefree,,
190,12l_768d,c4_en,1337,100000000,3050,3050,complete,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,,4.988052,,,,,,training_loop,1647.8500083899708,,,1647.8500083899708,0.5223487199074818,62732.0384853319,False,,,,,,,12l_768d_100m_tokens_3050_steps,190,12l_768d_100m_tokens_3050_steps_c4_en_seed1337_silu_schedulefree,,
205,12l_768d,c4_en,2027,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,,4.982551,,,5.017608,,0.035057000000000116,training_loop,1519.1009275069227,,,1519.1009275069227,0.46937875486524205,69811.42554994345,False,,,982124,0,ellis-compute-02,982124:0:1782490706,12l_768d_100m_tokens_3050_steps,205,12l_768d_100m_tokens_3050_steps_c4_en_seed2027_rlb_schedulefree,,
204,12l_768d,c4_en,2027,100000000,3050,3050,complete,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,,5.017608,,,,,,training_loop,1234.9963667450356,,,1234.9963667450356,0.387238327711985,84619.72293293175,False,,,,,,,12l_768d_100m_tokens_3050_steps,204,12l_768d_100m_tokens_3050_steps_c4_en_seed2027_silu_schedulefree,,
219,12l_768d,c4_en,3407,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,,4.974200,,,5.013495,,0.03929500000000008,training_loop,1282.8179303142242,,,1282.8179303142242,0.39482934115873575,82992.81888178132,False,,,982131,0,seo-compute-01,982131:0:1782496765,12l_768d_100m_tokens_3050_steps,219,12l_768d_100m_tokens_3050_steps_c4_en_seed3407_rlb_schedulefree,,
218,12l_768d,c4_en,3407,100000000,3050,3050,complete,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,,5.013495,,,,,,training_loop,1234.7023056009784,,,1234.7023056009784,0.3871953334171885,84629.11913427868,False,,,,,,,12l_768d_100m_tokens_3050_steps,218,12l_768d_100m_tokens_3050_steps_c4_en_seed3407_silu_schedulefree,,
23,12l_768d,dclm,1337,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,,4.872795,,,4.891297,,0.018501999999999796,training_loop,1392.5439421460032,,,1392.5439421460032,0.4288097692154996,76416.16948221238,False,,,982032,0,lancer-compute-01,982032:0:1782427768,12l_768d_100m_tokens_3050_steps,23,12l_768d_100m_tokens_3050_steps_dclm_seed1337_rlb_schedulefree,,
22,12l_768d,dclm,1337,100000000,3050,3050,complete,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,,4.891297,,,,,,training_loop,2004.5537471869902,,,2004.5537471869902,0.6386323879059914,51309.64326354138,False,,,,,,,12l_768d_100m_tokens_3050_steps,22,12l_768d_100m_tokens_3050_steps_dclm_seed1337_silu_schedulefree,,
37,12l_768d,dclm,2027,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,,4.877769,,,4.902236,,0.02446700000000046,training_loop,1421.1729011530988,,,1421.1729011530988,0.4396526508701565,74531.56471397563,False,,,982039,0,rush-compute-02,982039:0:1782432435,12l_768d_100m_tokens_3050_steps,37,12l_768d_100m_tokens_3050_steps_dclm_seed2027_rlb_schedulefree,,
36,12l_768d,dclm,2027,100000000,3050,3050,complete,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,,4.902236,,,,,,training_loop,1960.9015308119997,,,1960.9015308119997,0.6249092075833153,52436.41732648218,False,,,,,,,12l_768d_100m_tokens_3050_steps,36,12l_768d_100m_tokens_3050_steps_dclm_seed2027_silu_schedulefree,,
