model_scale,dataset,train_tokens,steps_required,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,runs_total,runs_reached_required_step,runs_stopped_early,runs_non_finite,endpoint_seed_count,validation_loss_mean,validation_loss_sample_std,matched_control_seed_count,matched_control_validation_loss_mean,lead_vs_matched_control_mean,lead_vs_matched_control_sample_std,exact_time_ratio_seed_count,exact_total_time_ratio_mean,exact_total_time_ratio_sample_std,total_seconds_mean,total_seconds_sample_std,mean_seconds_per_step,tokens_per_second_mean,status
12l_768d,c4_en,100000000,3050,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,4.970094,0.01493936166641667,3,5.006385,0.036291,0.002615308012452921,0,,,1441.617012018726,137.5373799487985,0.4451751194042896,74109.51287868507,complete
12l_768d,c4_en,100000000,3050,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,5.006385,0.016009477161981422,0,,,,0,,,1372.5162269119949,238.44609461094223,0.4322607936788851,77326.96018418077,complete
12l_768d,c4_en,300000000,9150,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,4.308437824249268,0.007124009524688909,3,4.3163173993428545,0.00787957509358724,0.00382366191995756,0,,,3962.062082419017,324.61996836970405,0.40834081373920467,80613.7581303008,complete
12l_768d,c4_en,300000000,9150,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,4.3163173993428545,0.010736110365214917,0,,,,0,,,4575.682110507668,743.0500907593621,0.48273583743160225,69317.15641431887,complete
12l_768d,dclm,100000000,3050,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,4.878138666666667,0.005537761491192442,3,4.902321333333333,0.02418266666666676,0.005543971169958835,0,,,1402.0938365123777,16.522957908486156,0.4323832668641355,75795.2400735203,complete
12l_768d,dclm,100000000,3050,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,4.902321333333333,0.01106724673680572,0,,,,0,,,1999.6826778973336,36.5896027676431,0.6370975198790334,51444.4677594303,complete
12l_768d,dclm,300000000,9150,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,4.360680898030599,0.03435771032200881,3,4.365672429402669,0.0049915313720703125,0.008960009290521032,0,,,4350.359127419612,440.51560107017764,0.44859940513164953,73597.35675645967,complete
12l_768d,dclm,300000000,9150,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,4.365672429402669,0.02980548563509327,0,,,,0,,,4131.28010502737,715.5497636196744,0.43427540669891546,76941.00761248886,complete
12l_768d,dolma_sample,100000000,3050,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,5.024133666666667,0.013642417723165181,3,5.049396333333333,0.025262666666667027,0.0060557835441284145,0,,,1503.7864212706918,25.21064442782427,0.46574928586595027,70369.24536902294,complete
12l_768d,dolma_sample,100000000,3050,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,5.049396333333333,0.014882395046945192,0,,,,0,,,1503.421084690354,241.57245953155933,0.4748608829647549,70447.50338119683,complete
12l_768d,dolma_sample,300000000,9150,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,4.212121963500977,0.01122865785983699,3,4.215104579925537,0.002982616424560547,0.007950112833485101,0,,,3964.075851264565,345.11697716132835,0.4084951880863255,80633.98671502153,complete
12l_768d,dolma_sample,300000000,9150,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,4.215104579925537,0.005319175159933975,0,,,,0,,,3616.5128082806787,115.92430902793386,0.377745296606909,86810.71726009653,complete
12l_768d,fineweb,100000000,3050,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,4.987659666666667,0.019622695465540293,3,5.014212,0.026552333333333362,0.0011902505338511492,0,,,1493.07047056333,33.07716881361451,0.46174936067524763,70987.57933903711,complete
