model_scale,dataset,train_tokens,steps_required,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,runs_total,runs_reached_required_step,runs_stopped_early,runs_non_finite,endpoint_seed_count,validation_loss_mean,validation_loss_sample_std,matched_control_seed_count,matched_control_validation_loss_mean,lead_vs_matched_control_mean,lead_vs_matched_control_sample_std,exact_time_ratio_seed_count,exact_total_time_ratio_mean,exact_total_time_ratio_sample_std,total_seconds_mean,total_seconds_sample_std,mean_seconds_per_step,tokens_per_second_mean,status
12l_768d,c4_en,100000000,3050,rlb_fused_global_rational,GRAIN,soap_adamw,SOAP,rlb_soap,GRAIN + SOAP,3,3,0,0,3,4.457248666666667,0.010390595090433259,3,4.458163333333334,0.0009146666666669153,0.009280102172569766,0,,,1534.1331991949894,3.3826116577483587,0.47502833054033705,68981.56886809757,complete
12l_768d,c4_en,100000000,3050,silu,SwiGLU,soap_adamw,SOAP,silu_soap,SwiGLU + SOAP,3,3,0,0,3,4.458163333333334,0.014569753132202936,0,,,,0,,,1590.0737729289879,240.07522406199737,0.5029299527931932,66143.52406840038,complete
12l_768d,c4_en,300000000,9150,rlb_fused_global_rational,GRAIN,soap_adamw,SOAP,rlb_soap,GRAIN + SOAP,3,3,0,0,3,4.002412796020508,0.019369395108366144,3,4.034902731577556,0.032489935557047524,0.008641674080427202,0,,,4682.326253322884,1034.6539347615776,0.48644618795937616,69648.35523104735,complete
12l_768d,c4_en,300000000,9150,silu,SwiGLU,soap_adamw,SOAP,silu_soap,SwiGLU + SOAP,3,3,0,0,3,4.034902731577556,0.010776063566903991,0,,,,0,,,5231.958209018663,735.5866216352827,0.5516916674121932,60275.968606343515,complete
12l_768d,dclm,100000000,3050,rlb_fused_global_rational,GRAIN,soap_adamw,SOAP,rlb_soap,GRAIN + SOAP,3,3,0,0,3,4.435091,0.02170618872579875,3,4.415980333333333,-0.01911066666666687,0.02334872935157984,0,,,1431.429593868049,22.87710415326109,0.4414236972817425,74251.63484243512,complete
12l_768d,dclm,100000000,3050,silu,SwiGLU,soap_adamw,SOAP,silu_soap,SwiGLU + SOAP,3,3,0,0,3,4.415980333333333,0.0038181154164501443,0,,,,0,,,2238.9439317079864,79.50178362490409,0.7143036584542646,45909.817661762354,complete
12l_768d,dclm,300000000,9150,rlb_fused_global_rational,GRAIN,soap_adamw,SOAP,rlb_soap,GRAIN + SOAP,3,3,0,0,3,4.060841083526611,0.03314210961248074,3,4.09643030166626,0.03558921813964844,0.005299576649840114,0,,,4274.113155337011,395.06581920999275,0.44018544984780034,74873.25637114812,complete
12l_768d,dclm,300000000,9150,silu,SwiGLU,soap_adamw,SOAP,silu_soap,SwiGLU + SOAP,3,3,0,0,3,4.09643030166626,0.02998794153840006,0,,,,0,,,5216.448100514671,737.1417802083987,0.5486730152337705,60587.68170330508,complete
12l_768d,dolma_sample,100000000,3050,rlb_fused_global_rational,GRAIN,soap_adamw,SOAP,rlb_soap,GRAIN + SOAP,3,3,0,0,3,4.502910666666667,0.015748817140767504,3,4.4987260000000004,-0.004184666666666577,0.018267631957463653,0,,,1525.991188656694,16.774759787701026,0.47264622081599755,69335.12469320132,complete
12l_768d,dolma_sample,100000000,3050,silu,SwiGLU,soap_adamw,SOAP,silu_soap,SwiGLU + SOAP,3,3,0,0,3,4.4987260000000004,0.0035350038189515495,0,,,,0,,,1737.1900143666815,236.77924721665983,0.5484307066226234,60576.29001285407,complete
