task,method,start_step,end_step,auc_loss
Code,RLB MatrixPolicy,25,1250,361.2337298691273
Code,RLB MatrixPolicy group-stat,25,1250,375.92986561357975
Code,RLB+AdamW,25,1250,389.4722517579794
Code,SiLU/SwiGLU+AdamW,25,1250,445.6976977176964
Code,RLB+Muon,25,1250,722.8598880581558
Code,SiLU/SwiGLU+Muon,25,1250,864.7098481655121
Reasoning mix,RLB MatrixPolicy group-stat,25,1250,527.905784919858
Reasoning mix,RLB MatrixPolicy,25,1250,532.663968205452
Reasoning mix,RLB+AdamW,25,1250,605.234145745635
Reasoning mix,SiLU/SwiGLU+AdamW,25,1250,679.0921650826931
Reasoning mix,RLB+Muon,25,1250,964.40693102777
Reasoning mix,SiLU/SwiGLU+Muon,25,1250,1144.2015405744314
Symbolic,RLB MatrixPolicy group-stat,25,1250,188.76321148127317
Symbolic,RLB MatrixPolicy,25,1250,190.9377686213702
Symbolic,RLB+AdamW,25,1250,240.58702974580228
Symbolic,SiLU/SwiGLU+AdamW,25,1250,303.48790981806815
Symbolic,RLB+Muon,25,1250,525.8660740219057
Symbolic,SiLU/SwiGLU+Muon,25,1250,676.0511812288314
