task,step,best_method,best_loss,best_ppl,silu_adamw_loss,silu_adamw_ppl,delta_loss_vs_silu_adamw,delta_ppl_vs_silu_adamw
Code,25,RLB MatrixPolicy,6.300732135772705,544.970756689245,7.886157989501953,2660.2037311532677,-1.585425853729248,-2115.232974464023
Code,50,RLB MatrixPolicy group-stat,2.523934841156006,12.477597559388258,4.722686767578125,112.4700279108055,-2.198751926422119,-99.99243035141724
Code,75,RLB MatrixPolicy group-stat,1.1873509883880615,3.2783852140741736,1.332572340965271,3.7907820405641095,-0.14522135257720947,-0.5123968264899359
Code,100,RLB MatrixPolicy group-stat,0.7230513691902161,2.0607116188454335,0.7672241926193237,2.153779471598279,-0.044172823429107666,-0.09306785275284568
Code,125,RLB MatrixPolicy group-stat,0.5809144377708435,1.7876723987184828,0.6777074933052063,1.969357787296196,-0.09679305553436279,-0.1816853885777132
Code,150,RLB MatrixPolicy group-stat,0.4037023186683655,1.497358145041427,0.5819229483604431,1.789476194684106,-0.17822062969207764,-0.29211804964267896
Code,175,RLB MatrixPolicy group-stat,0.24875041842460632,1.2824219242406687,0.5035415291786194,1.6545706168890757,-0.25479111075401306,-0.372148692648407
Code,200,RLB MatrixPolicy,0.1901623159646988,1.2094458941028494,0.3476361334323883,1.4157170239147805,-0.15747381746768951,-0.20627112981193108
Code,225,RLB MatrixPolicy,0.17597684264183044,1.1924104452551783,0.24461615085601807,1.2771309934679058,-0.06863930821418762,-0.08472054821272756
Code,250,RLB MatrixPolicy,0.1664920300245285,1.181154122063479,0.2074526697397232,1.2305394737082005,-0.0409606397151947,-0.049385351644721576
Code,275,RLB MatrixPolicy,0.15871886909008026,1.1720084125703165,0.1775507777929306,1.194288699707111,-0.018831908702850342,-0.02228028713679442
Code,300,RLB MatrixPolicy,0.1528971642255783,1.1652051480076344,0.16688832640647888,1.1816223019314451,-0.013991162180900574,-0.016417153923810712
Code,325,RLB MatrixPolicy,0.1475849449634552,1.159031734556623,0.1596558392047882,1.173107064048505,-0.012070894241333008,-0.01407532949188206
Code,350,RLB MatrixPolicy,0.14282584190368652,1.1535288877759902,0.1537998914718628,1.166257485357587,-0.01097404956817627,-0.012728597581596945
Code,375,RLB MatrixPolicy,0.13890276849269867,1.1490123743669995,0.1496673971414566,1.1614478775946337,-0.010764628648757935,-0.012435503227634204
Code,400,RLB MatrixPolicy,0.13542163372039795,1.1450194614031428,0.1444435566663742,1.1553964786943411,-0.009021922945976257,-0.010377017291198332
Code,425,RLB MatrixPolicy,0.13142277300357819,1.1404498308064543,0.18575923144817352,1.204132308281285,-0.05433645844459534,-0.06368247747483058
Code,450,RLB MatrixPolicy,0.12883669137954712,1.1375043447311557,0.13864673674106598,1.1487182283731066,-0.00981004536151886,-0.011213883641950861
Code,475,RLB MatrixPolicy,0.12668339908123016,1.1350576006093755,0.1336764097213745,1.1430228886998164,-0.006993010640144348,-0.007965288090440836
Code,500,RLB MatrixPolicy,0.1253504455089569,1.133545629443459,0.1333140879869461,1.1426088216815613,-0.007963642477989197,-0.009063192238102369
