task,task_safe,dataset_name,method,complete,val_auc_mean_100,val_auc_mean_200,val_auc_mean_400,train_auc_mean_100,train_auc_mean_200,train_auc_mean_400,first_val_loss_le_0p2,first_val_loss_le_0p15,final_val_loss,final_val_ppl,path
Code,synthetic_code,synthetic/code,SiLU/SwiGLU+AdamW,True,4.891955552077053,2.725219361821012,1.4535349008620233,5.366632463989568,2.973134380281138,1.578928485315628,275,375,0.08866221457719803,1.092711491967356,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,synthetic/code,RLB+AdamW,True,4.379272739694576,2.4336497885872372,1.2982253648882223,4.766947368847668,2.6420990559956268,1.403170952688051,250,350,0.08991897106170654,1.0940856275166007,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,SiLU/SwiGLU+Muon,True,8.43923181716842,4.905806719058722,2.5734610110708047,8.878106538026556,5.191541366208405,2.7211935496104522,300,425,0.09207858145236969,1.0964509794060027,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_muon_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,synthetic/code,RLB+Muon,True,7.418810978682354,4.214595419153496,2.2156370019068694,7.926765557223833,4.504089156977961,2.3591697260932447,325,425,0.09191060811281204,1.0962668203406702,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_muon_controls_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB MatrixPolicy,True,3.904818775677922,2.1569600601367016,1.153859180129859,4.293610129325613,2.366794256450809,1.2590703536639372,200,325,0.09178289771080017,1.0961268246039784,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_matrix_policy_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB MatrixPolicy group-stat,True,3.8870646968634444,2.1462249219717093,1.148837406178913,4.279421491688483,2.357664010486977,1.2548256060852874,200,325,0.09570161998271942,1.1004306684812084,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_matrix_policy_groupstat_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,SiLU/SwiGLU+AdamW,True,4.613004537995415,2.433180462550278,1.2451718782347845,5.130493379435288,2.6965991331546215,1.3770564378088013,200,200,0.038528937846422195,1.0392808024710933,experiments/runs/synthetic_dense_curves_20260529/synthetic_symbolic/synthetic_symbolic_adamw_controls_20260529_dense_curve/silu.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,RLB+AdamW,True,3.8873492011217157,2.0576420261257855,1.0524626702284978,4.335287079465911,2.2852208801674685,1.16663409567554,175,200,0.03872661665081978,1.0394862665648383,experiments/runs/synthetic_dense_curves_20260529/synthetic_symbolic/synthetic_symbolic_adamw_controls_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,SiLU/SwiGLU+Muon,True,8.26575880821305,4.454680922567545,2.2522360926918816,8.744758962380766,4.747285458909806,2.3989683332663954,200,200,0.03879988566040993,1.0395624314843022,experiments/runs/synthetic_dense_curves_20260529/synthetic_symbolic/synthetic_symbolic_muon_controls_20260529_dense_curve/silu.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,RLB+Muon,True,7.030879209137926,3.7026512009189956,1.874129858871637,7.594162765309197,4.005137769394101,2.025926894777247,175,200,0.03908175975084305,1.039855498501184,experiments/runs/synthetic_dense_curves_20260529/synthetic_symbolic/synthetic_symbolic_muon_controls_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
