task,task_safe,dataset_name,method,complete,last_eval_step,val_loss,val_ppl,delta_loss_vs_silu_adamw,delta_ppl_vs_silu_adamw,optimizer,activation,run_name,path
Code,synthetic_code,synthetic/code,SiLU/SwiGLU+AdamW,True,1250,0.08866221457719803,1.092711491967356,0.0,0.0,adamw,silu,synthetic_code_adamw_controls_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,synthetic/code,RLB+AdamW,True,1250,0.08991897106170654,1.0940856275166007,0.0012567564845085144,0.0013741355492447038,adamw,rlb_fused_fixed_strong_ffn,synthetic_code_adamw_controls_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,SiLU/SwiGLU+Muon,True,1250,0.09207858145236969,1.0964509794060027,0.0034163668751716614,0.003739487438646716,muon,silu,synthetic_code_muon_controls_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_muon_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,synthetic/code,RLB+Muon,True,1250,0.09191060811281204,1.0962668203406702,0.0032483935356140137,0.0035553283733142926,muon,rlb_fused_fixed_strong_ffn,synthetic_code_muon_controls_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_muon_controls_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB MatrixPolicy,True,1250,0.09178289771080017,1.0961268246039784,0.0031206831336021423,0.0034153326366224146,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,synthetic_code_matrix_policy_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_matrix_policy_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB MatrixPolicy group-stat,True,1250,0.09570161998271942,1.1004306684812084,0.007039405405521393,0.007719176513852455,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,synthetic_code_matrix_policy_groupstat_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_matrix_policy_groupstat_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,SiLU/SwiGLU+AdamW,True,1250,0.038528937846422195,1.0392808024710933,0.0,0.0,adamw,silu,synthetic_symbolic_adamw_controls_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_symbolic/synthetic_symbolic_adamw_controls_20260529_dense_curve/silu.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,RLB+AdamW,True,1250,0.03872661665081978,1.0394862665648383,0.000197678804397583,0.0002054640937450003,adamw,rlb_fused_fixed_strong_ffn,synthetic_symbolic_adamw_controls_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_symbolic/synthetic_symbolic_adamw_controls_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,SiLU/SwiGLU+Muon,True,1250,0.03879988566040993,1.0395624314843022,0.00027094781398773193,0.0002816290132088284,muon,silu,synthetic_symbolic_muon_controls_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_symbolic/synthetic_symbolic_muon_controls_20260529_dense_curve/silu.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,RLB+Muon,True,1250,0.03908175975084305,1.039855498501184,0.0005528219044208527,0.0005746960300907489,muon,rlb_fused_fixed_strong_ffn,synthetic_symbolic_muon_controls_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_symbolic/synthetic_symbolic_muon_controls_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,RLB MatrixPolicy,True,1250,0.03920786455273628,1.0399866375412778,0.0006789267063140869,0.0007058350701845129,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,synthetic_symbolic_matrix_policy_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_symbolic/synthetic_symbolic_matrix_policy_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,RLB MatrixPolicy group-stat,True,1250,0.03911066800355911,1.0398855593412242,0.0005817301571369171,0.0006047568701308403,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,synthetic_symbolic_matrix_policy_groupstat_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_symbolic/synthetic_symbolic_matrix_policy_groupstat_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Reasoning mix,synthetic_reasoning_mix,synthetic/reasoning_mix,SiLU/SwiGLU+AdamW,True,1250,0.1445673406124115,1.1555395070818382,0.0,0.0,adamw,silu,synthetic_reasoning_mix_adamw_controls_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_reasoning_mix/synthetic_reasoning_mix_adamw_controls_20260529_dense_curve/silu.jsonl
Reasoning mix,synthetic_reasoning_mix,synthetic/reasoning_mix,RLB+AdamW,True,1250,0.14418408274650574,1.155096722332173,-0.0003832578659057617,-0.00044278474966508163,adamw,rlb_fused_fixed_strong_ffn,synthetic_reasoning_mix_adamw_controls_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_reasoning_mix/synthetic_reasoning_mix_adamw_controls_20260529_dense_curve/rlb_fused_fixed_strong_ffn.jsonl
Reasoning mix,synthetic_reasoning_mix,synthetic/reasoning_mix,SiLU/SwiGLU+Muon,True,1250,0.14430099725723267,1.1552317777951246,-0.000266343355178833,-0.0003077292867135206,muon,silu,synthetic_reasoning_mix_muon_controls_20260529_dense_curve,experiments/runs/synthetic_dense_curves_20260529/synthetic_reasoning_mix/synthetic_reasoning_mix_muon_controls_20260529_dense_curve/silu.jsonl
