task,method,start_step,end_step,auc_loss
Code,RLB MatrixPolicy,10,1250,512.2150327236288
Code,RLB MatrixPolicy group-stat,10,1250,513.6491044470006
Code,RLB+AdamW,10,1250,555.8012592821485
Code,SiLU/SwiGLU+AdamW,10,1250,625.3941646959219
Code,RLB+Muon,10,1250,935.1470158654782
Code,SiLU/SwiGLU+Muon,10,1250,1080.1926604666644
Reasoning mix,RLB MatrixPolicy group-stat,10,1250,698.1264181625512
Reasoning mix,RLB MatrixPolicy,10,1250,705.332674358454
Reasoning mix,RLB+AdamW,10,1250,788.8176074855858
Reasoning mix,SiLU/SwiGLU+AdamW,10,1250,870.8064065898458
Reasoning mix,RLB+Muon,10,1250,1179.8643402051594
Reasoning mix,SiLU/SwiGLU+Muon,10,1250,1362.4454812332988
Symbolic,RLB MatrixPolicy group-stat,10,1250,335.53704727792905
Symbolic,RLB MatrixPolicy,10,1250,336.34351709836886
Symbolic,RLB+AdamW,10,1250,405.1023696611325
Symbolic,SiLU/SwiGLU+AdamW,10,1250,489.41269917248025
Symbolic,RLB+Muon,10,1250,743.9812460990829
Symbolic,SiLU/SwiGLU+Muon,10,1250,892.897526839748
