task,step,best_method,best_loss,best_ppl,silu_adamw_loss,silu_adamw_ppl,delta_loss_vs_silu_adamw,delta_ppl_vs_silu_adamw
Code,10,RLB MatrixPolicy,9.453035460578072,12746.799004277456,10.266547626919216,28754.44453845551,-0.8135121663411446,-16007.645534178055
Code,20,RLB MatrixPolicy,7.87346043586731,2626.63919629896,8.686178493499757,5920.513674764828,-0.8127180576324466,-3293.8744784658675
Code,30,RLB MatrixPolicy,6.474223041534424,648.2153954688735,7.900061321258545,2697.4477340869244,-1.425838279724121,-2049.232338618051
Code,40,RLB MatrixPolicy group-stat,4.735298442840576,113.89744552357487,7.09257140159607,1202.9972158057549,-2.3572729587554937,-1089.09977028218
Code,50,RLB MatrixPolicy group-stat,3.2366588354110717,25.44855174315883,5.722188806533813,305.5730317581878,-2.4855299711227414,-280.124480015029
Code,60,RLB MatrixPolicy group-stat,2.1158545136451723,8.296672357632557,3.915357756614685,50.167015882757646,-1.7995032429695126,-41.87034352512509
Code,70,RLB MatrixPolicy group-stat,1.5204766750335694,4.574405180271505,2.365309238433838,10.64733087239236,-0.8448325634002685,-6.0729256921208545
Code,80,RLB MatrixPolicy group-stat,1.2101114749908448,3.3538585030570687,1.390106451511383,4.015277462599115,-0.1799949765205382,-0.6614189595420461
Code,90,RLB MatrixPolicy group-stat,0.9427480161190033,2.5670259633597095,0.9931827127933502,2.6998135438527058,-0.05043469667434697,-0.13278758049299633
Code,100,RLB MatrixPolicy group-stat,0.7656024873256684,2.150289506640009,0.8219558894634247,2.274945029976784,-0.0563534021377563,-0.12465552333677499
Code,110,RLB MatrixPolicy group-stat,0.7008987545967102,2.0155633905309323,0.7426359355449677,2.101467553262671,-0.0417371809482574,-0.08590416273173895
Code,120,RLB MatrixPolicy group-stat,0.6530229330062867,1.921340141661384,0.7050595939159393,2.023967297465414,-0.05203666090965264,-0.10262715580402992
Code,130,RLB MatrixPolicy group-stat,0.5878772616386414,1.8001630815129552,0.6785089254379273,1.9709367265295663,-0.09063166379928589,-0.17077364501661108
Code,140,RLB MatrixPolicy group-stat,0.541225379705429,1.7181109110342576,0.6540185272693634,1.923253969423728,-0.11279314756393433,-0.20514305838947045
Code,150,RLB MatrixPolicy group-stat,0.4654618114233017,1.59274956901599,0.6282384097576141,1.8743059103797286,-0.16277659833431246,-0.2815563413637385
Code,160,RLB MatrixPolicy group-stat,0.3559224635362625,1.4274968609141558,0.5664609551429749,1.7620201355973262,-0.2105384916067124,-0.33452327468317034
Code,170,RLB MatrixPolicy group-stat,0.29062541127204894,1.3372635662598835,0.5424889385700226,1.720283217435733,-0.2518635272979736,-0.38301965117584946
Code,180,RLB MatrixPolicy group-stat,0.24955669194459915,1.2834563240281844,0.4950072914361954,1.6405102006888914,-0.24545059949159623,-0.357053876660707
Code,190,RLB MatrixPolicy group-stat,0.22239323258399962,1.2490624533606243,0.4280489534139633,1.534261186452218,-0.2056557208299637,-0.2851987330915937
Code,200,RLB MatrixPolicy,0.2013860046863556,1.2230968018119381,0.36853459775447844,1.4456146547844284,-0.16714859306812285,-0.22251785297249027
Code,210,RLB MatrixPolicy,0.18605731427669525,1.2044912929465759,0.3202826976776123,1.3775171301905287,-0.13422538340091705,-0.17302583724395282
Code,220,RLB MatrixPolicy,0.18042831867933273,1.1977302635162252,0.2792282342910767,1.322109060061288,-0.09879991561174395,-0.12437879654506268
Code,230,RLB MatrixPolicy,0.17676488012075425,1.1933504797188468,0.24725185781717302,1.2805015765010048,-0.07048697769641876,-0.08715109678215804
Code,240,RLB MatrixPolicy,0.17344764322042466,1.1893984120688834,0.22701238244771957,1.254845405901715,-0.053564739227294905,-0.06544699383283148
Code,250,RLB MatrixPolicy,0.16800377666950225,1.1829410782168677,0.21272831559181213,1.2370485187899678,-0.044724538922309875,-0.05410744057310013
Code,260,RLB MatrixPolicy,0.16422285735607148,1.178476918080286,0.19791396856307983,1.2188575292462402,-0.03369111120700835,-0.04038061116595415
Code,270,RLB MatrixPolicy,0.16190681904554366,1.1757506786460628,0.18640487194061278,1.204909995884054,-0.024498052895069122,-0.029159317237991145
Code,280,RLB MatrixPolicy,0.1579986736178398,1.1711646412947525,0.17668844908475875,1.1932592741908872,-0.01868977546691894,-0.02209463289613467
Code,290,RLB MatrixPolicy,0.15733277648687363,1.17038502572092,0.1733606442809105,1.1892949401694115,-0.016027867794036865,-0.01890991444849144
Code,300,RLB MatrixPolicy,0.15306478142738342,1.165400472803513,0.1659763604402542,1.18054519382477,-0.012911579012870794,-0.015144721021256968
Code,310,RLB MatrixPolicy,0.15110392570495607,1.1631175296100935,0.16453500241041183,1.1788448312400686,-0.013431076705455763,-0.015727301629975043
Code,320,RLB MatrixPolicy,0.14878214597702027,1.1604201594700103,0.1618667870759964,1.175703611972792,-0.013084641098976113,-0.015283452502781625
Code,330,RLB MatrixPolicy,0.14660267233848573,1.1578938083806578,0.15899666547775268,1.1723340375002707,-0.012393993139266951,-0.014440229119612846
Code,340,RLB MatrixPolicy,0.14519231021404266,1.156261909863624,0.15581411570310594,1.1686089568448748,-0.010621805489063274,-0.012347046981250775
Code,350,RLB MatrixPolicy,0.14379070699214935,1.1546424246483764,0.15455466210842134,1.1671380745418267,-0.010763955116271984,-0.012495649893450311
Code,360,RLB MatrixPolicy,0.1408759042620659,1.1512817699588374,0.15087801814079285,1.1628548022393113,-0.01000211387872696,-0.011573032280473905
Code,370,RLB MatrixPolicy,0.13927351236343383,1.1494384426384148,0.15007095336914061,1.1619166817068147,-0.010797441005706787,-0.012478239068399954
Code,380,RLB MatrixPolicy,0.13840054273605346,1.1484354556417364,0.14791629016399382,1.1594158377910075,-0.009515747427940369,-0.010980382149271106
Code,390,RLB MatrixPolicy,0.1363382488489151,1.1460694847240243,0.1458277851343155,1.1569969188237545,-0.00948953628540039,-0.010927434099730293
Code,400,RLB MatrixPolicy,0.13484119027853012,1.1443550352155265,0.14459407180547715,1.1555703964443498,-0.009752881526947033,-0.011215361228823273
Code,410,RLB MatrixPolicy,0.13447900861501694,1.1439406458518668,0.14355747103691102,1.1543731519227662,-0.009078462421894085,-0.010432506070899406
Code,420,RLB MatrixPolicy,0.13288816809654236,1.1421222654817933,0.141814224421978,1.1523625478318653,-0.008926056325435638,-0.010240282350072016
Code,430,RLB MatrixPolicy,0.13200518637895584,1.1411142375027556,0.2147839307785034,1.2395940299111763,-0.08277874439954758,-0.09847979240842064
