task,task_safe,method,step,loss,train_ppl,path
Code,synthetic_code,SiLU/SwiGLU+AdamW,1,10.890015602111816,53638.136831736076,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,10,10.266547626919216,28754.44453845551,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,20,8.686178493499757,5920.513674764828,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,30,7.900061321258545,2697.4477340869244,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,40,7.09257140159607,1202.9972158057549,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,50,5.722188806533813,305.5730317581878,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,60,3.915357756614685,50.167015882757646,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,70,2.365309238433838,10.64733087239236,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,80,1.390106451511383,4.015277462599115,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,90,0.9931827127933502,2.6998135438527058,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,100,0.8219558894634247,2.274945029976784,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,110,0.7426359355449677,2.101467553262671,experiments/runs/synthetic_dense_curves_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_dense_curve/silu.jsonl
