task,method,auc_loss_250_1250
Code,RLB+AdamW,114.96965028345585
Code,RLB MatrixPolicy,122.41130135953426
Code,RLB+Muon,124.20606520026922
Code,RLB MatrixPolicy group-stat,126.65833160281181
Code,SiLU/SwiGLU+Muon,130.33336773514748
Code,SiLU/SwiGLU+AdamW,155.95442615449429
Reasoning mix,RLB MatrixPolicy group-stat,194.61994618177414
Reasoning mix,RLB MatrixPolicy,195.37879340350628
Reasoning mix,RLB+AdamW,203.02096009254456
Reasoning mix,SiLU/SwiGLU+AdamW,207.803875207901
Reasoning mix,RLB+Muon,243.07888559997082
Reasoning mix,SiLU/SwiGLU+Muon,258.27660225331783
Symbolic,RLB MatrixPolicy,42.663377709686756
Symbolic,RLB MatrixPolicy group-stat,43.03452838212252
Symbolic,RLB+AdamW,43.040815740823746
Symbolic,RLB+Muon,43.134599924087524
Symbolic,SiLU/SwiGLU+Muon,43.34708396345377
Symbolic,SiLU/SwiGLU+AdamW,44.8315292596817
