task,task_safe,dataset_name,method,complete,last_eval_step,val_loss,val_ppl,delta_loss_vs_silu_adamw,delta_ppl_vs_silu_adamw,optimizer,activation,run_name,path
Code,synthetic_code,synthetic/code,SiLU/SwiGLU+AdamW,True,1250,0.08897532522678375,1.0930536851417836,0.0,0.0,adamw,silu,synthetic_code_adamw_controls_20260529_fair_full,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,synthetic/code,RLB+AdamW,True,1250,0.0896570086479187,1.0937990557418815,0.0006816834211349487,0.0007453706000979388,adamw,rlb_fused_fixed_strong_ffn,synthetic_code_adamw_controls_20260529_fair_full,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,SiLU/SwiGLU+Muon,True,1250,0.09211425483226776,1.0964900942160052,0.003138929605484009,0.0034364090742216025,muon,silu,synthetic_code_muon_controls_20260529_fair_full,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_muon_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,synthetic/code,RLB+Muon,True,1250,0.09261343628168106,1.0970375783661004,0.0036381110548973083,0.0039838932243168035,muon,rlb_fused_fixed_strong_ffn,synthetic_code_muon_controls_20260529_fair_full,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_muon_controls_20260529_fair_full/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB MatrixPolicy,True,1250,0.09733454883098602,1.1022290613895076,0.00835922360420227,0.00917537624772402,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,synthetic_code_matrix_policy_20260529_fair_full,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_matrix_policy_20260529_fair_full/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,synthetic/code,RLB MatrixPolicy group-stat,True,1250,0.09819112718105316,1.1031736114231099,0.00921580195426941,0.010119926281326297,rational_matrix_policy_onpolicy,rlb_fused_fixed_strong_ffn,synthetic_code_matrix_policy_groupstat_20260529_fair_full,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_matrix_policy_groupstat_20260529_fair_full/rlb_fused_fixed_strong_ffn.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,SiLU/SwiGLU+AdamW,True,1250,0.04028942808508873,1.0411120576595478,0.0,0.0,adamw,silu,synthetic_symbolic_adamw_controls_20260529_fair_full,experiments/runs/synthetic_fair_full_20260529/synthetic_symbolic/synthetic_symbolic_adamw_controls_20260529_fair_full/silu.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,RLB+AdamW,True,1250,0.039067164063453674,1.0398403212061598,-0.0012222640216350555,-0.0012717364533880726,adamw,rlb_fused_fixed_strong_ffn,synthetic_symbolic_adamw_controls_20260529_fair_full,experiments/runs/synthetic_fair_full_20260529/synthetic_symbolic/synthetic_symbolic_adamw_controls_20260529_fair_full/rlb_fused_fixed_strong_ffn.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,SiLU/SwiGLU+Muon,True,1250,0.038781970739364624,1.0395438079722403,-0.0015074573457241058,-0.0015682496873075102,muon,silu,synthetic_symbolic_muon_controls_20260529_fair_full,experiments/runs/synthetic_fair_full_20260529/synthetic_symbolic/synthetic_symbolic_muon_controls_20260529_fair_full/silu.jsonl
Symbolic,synthetic_symbolic,synthetic/symbolic,RLB+Muon,True,1250,0.03881234675645828,1.0395753856523204,-0.0014770813286304474,-0.001536672007227402,muon,rlb_fused_fixed_strong_ffn,synthetic_symbolic_muon_controls_20260529_fair_full,experiments/runs/synthetic_fair_full_20260529/synthetic_symbolic/synthetic_symbolic_muon_controls_20260529_fair_full/rlb_fused_fixed_strong_ffn.jsonl
