task,method,start_step,end_step,auc_loss
Code,RLB MatrixPolicy group-stat,100,1250,364.7416916833156
Code,RLB MatrixPolicy,100,1250,367.0619733030108
Code,RLB+AdamW,100,1250,384.09364916510276
Code,SiLU/SwiGLU+AdamW,100,1250,424.9175534172529
Code,RLB+Muon,100,1250,607.3911171258624
Code,SiLU/SwiGLU+Muon,100,1250,700.5641805539566
Reasoning mix,RLB MatrixPolicy,100,1250,511.1940459974035
Reasoning mix,RLB MatrixPolicy group-stat,100,1250,512.7396080944725
Reasoning mix,RLB+AdamW,100,1250,560.4788509504963
Reasoning mix,SiLU/SwiGLU+AdamW,100,1250,608.057882503992
Reasoning mix,RLB+Muon,100,1250,816.7550490993366
Reasoning mix,SiLU/SwiGLU+Muon,100,1250,945.8228205215901
Symbolic,RLB MatrixPolicy group-stat,100,1250,216.2244310428887
Symbolic,RLB MatrixPolicy,100,1250,220.6828852844133
Symbolic,RLB+AdamW,100,1250,254.709383787512
Symbolic,SiLU/SwiGLU+AdamW,100,1250,308.42943515395274
Symbolic,RLB+Muon,100,1250,437.63362859499955
Symbolic,SiLU/SwiGLU+Muon,100,1250,525.9307909837142
