task,step,best_method,best_loss,best_ppl,silu_adamw_loss,silu_adamw_ppl,delta_loss_vs_silu_adamw,delta_ppl_vs_silu_adamw
Code,100,RLB MatrixPolicy group-stat,3.7959357963667975,44.51987845876077,4.861203480248499,129.17957366073776,-1.065267683881702,-84.65969520197699
Code,200,RLB MatrixPolicy group-stat,0.4321696726977825,1.540596490149078,0.5647573629021645,1.7590209272056083,-0.132587690204382,-0.21842443705653025
Code,300,RLB MatrixPolicy group-stat,0.16816033840179442,1.1831262960199045,0.23027677297592164,1.2589484046106134,-0.062116434574127216,-0.07582210859070893
Code,400,RLB MatrixPolicy group-stat,0.14270401865243912,1.153388369695832,0.1598600746691227,1.173346678582505,-0.017156056016683574,-0.01995830888667305
Code,500,RLB MatrixPolicy,0.13001471653580665,1.1388451430566249,0.1439742438495159,1.1548543635390827,-0.013959527313709252,-0.016009220482457787
Code,600,RLB+Muon,0.12137672364711762,1.129050172158239,0.12935820557177066,1.1380977241050825,-0.007981481924653047,-0.009047551946843368
Code,700,RLB+AdamW,0.11154228173196316,1.1180010140254042,0.11290676519274712,1.1195275491473007,-0.0013644834607839523,-0.0015265351218964884
Code,800,RLB+AdamW,0.10278062701225281,1.1082482626745576,0.10377335771918297,1.1093490010338019,-0.0009927307069301644,-0.001100738359244291
Code,900,RLB+AdamW,0.0977059007436037,1.1026384522689359,0.0985893213748932,1.1036129762204263,-0.0008834206312894888,-0.0009745239514904469
Code,1000,SiLU/SwiGLU+AdamW,0.09401765167713165,1.0985791375102651,0.09401765167713165,1.0985791375102651,0.0,0.0
Code,1100,SiLU/SwiGLU+AdamW,0.09142122253775596,1.095730454427958,0.09142122253775596,1.095730454427958,0.0,0.0
Code,1200,SiLU/SwiGLU+AdamW,0.08988630272448063,1.0940498861421757,0.08988630272448063,1.0940498861421757,0.0,0.0
Code,1250,SiLU/SwiGLU+AdamW,0.08889635413885116,1.0929673689113875,0.08889635413885116,1.0929673689113875,0.0,0.0
Symbolic,100,RLB MatrixPolicy group-stat,3.087312577950834,21.918095582625764,4.605908940536807,100.07390274950666,-1.5185963625859729,-78.15580716688089
Symbolic,200,RLB MatrixPolicy,0.17854750130325556,1.1954796687670575,0.29706940457224845,1.3459087084247487,-0.1185219032689929,-0.15042903965769128
Symbolic,300,RLB MatrixPolicy,0.049289021193981174,1.0505239305481284,0.08916661895811558,1.0932627994602517,-0.0398775977641344,-0.04273886891212331
Symbolic,400,RLB+Muon,0.04712098546326161,1.048248824277722,0.049531470760703085,1.050778660498256,-0.002410485297441478,-0.002529836220534154
Symbolic,500,RLB+Muon,0.04400678768754005,1.0449894479262263,0.04711706131696701,1.0482447108040531,-0.0031102736294269587,-0.0032552628778268478
Symbolic,600,RLB+AdamW,0.04266802359372377,1.0435913896188675,0.04482265181839466,1.0458423652189128,-0.0021546282246708917,-0.0022509756000452796
Symbolic,700,RLB+AdamW,0.04147707302123308,1.0423492636580822,0.044599812999367716,1.0456093369062003,-0.003122739978134635,-0.003260073248118056
Symbolic,800,RLB MatrixPolicy group-stat,0.04021416261792183,1.041033700822974,0.04316627264022827,1.0441114875920856,-0.0029521100223064423,-0.0030777867691116345
Symbolic,900,SiLU/SwiGLU+Muon,0.03987042032182217,1.040675915004918,0.042642393037676814,1.0435646421340439,-0.002771972715854644,-0.002888727129125801
Symbolic,1000,SiLU/SwiGLU+Muon,0.039574842043220995,1.0403683592650166,0.04171879265457392,1.0426012503937505,-0.0021439506113529253,-0.002232891128733927
Symbolic,1100,SiLU/SwiGLU+Muon,0.039313252307474615,1.0400962451735158,0.0409778255969286,1.04182900335309,-0.0016645732894539841,-0.0017327581795740787
Symbolic,1200,SiLU/SwiGLU+Muon,0.03908471751958132,1.0398585741578186,0.04055854544043541,1.0413922766873354,-0.0014738279208540914,-0.0015337025295167894
Symbolic,1250,SiLU/SwiGLU+Muon,0.03895149350166321,1.03972004924813,0.04043467134237289,1.0412632831479756,-0.0014831778407096846,-0.0015432338998455641
Reasoning mix,100,RLB MatrixPolicy,4.643095819637029,103.86539890991787,6.100234503697867,445.9623376385841,-1.4571386840608378,-342.0969387286662
Reasoning mix,200,RLB MatrixPolicy,0.724953509569168,2.064635111959376,0.861451711654663,2.3665938129733837,-0.136498202085495,-0.3019587010140077
Reasoning mix,300,RLB MatrixPolicy,0.3512774595618248,1.42088150838554,0.429667449593544,1.5367463929270564,-0.0783899900317192,-0.11586488454151644
Reasoning mix,400,RLB MatrixPolicy,0.2703781636059284,1.310459925292893,0.3075255316495895,1.3600555325199568,-0.03714736804366109,-0.0495956072270638
Reasoning mix,500,RLB+AdamW,0.23185768365859985,1.2609402636531715,0.24311600863933563,1.2752165516748746,-0.011258324980735784,-0.01427628802170311
Reasoning mix,600,RLB MatrixPolicy group-stat,0.1962629696726799,1.216846857083378,0.20572030290961266,1.2284095733578353,-0.009457333236932763,-0.011562716274457374
Reasoning mix,700,RLB MatrixPolicy group-stat,0.17894226670265198,1.1959516959398362,0.18809807538986206,1.206951881821446,-0.009155808687210082,-0.01100018588160978
Reasoning mix,800,RLB MatrixPolicy group-stat,0.16872549161314965,1.1837951326253147,0.17554258853197097,1.1918927485327868,-0.006817096918821319,-0.008097615907472155
Reasoning mix,900,RLB MatrixPolicy group-stat,0.16164803206920625,1.1754464490500358,0.16415636301040648,1.178398558633996,-0.002508330941200232,-0.002952109583960194
Reasoning mix,1000,RLB MatrixPolicy group-stat,0.15572379678487777,1.168503414114385,0.15601299837231636,1.1688413960267714,-0.0002892015874385867,-0.00033798191238632036
Reasoning mix,1100,SiLU/SwiGLU+AdamW,0.15122850313782693,1.1632624368319568,0.15122850313782693,1.1632624368319568,0.0,0.0
Reasoning mix,1200,RLB+Muon,0.14781752839684487,1.159301337488226,0.14833123967051506,1.159897036650462,-0.0005137112736701976,-0.0005956991622360075
Reasoning mix,1250,RLB+AdamW,0.1452844676375389,1.1563684728923356,0.14677444219589234,1.1580927167177548,-0.001489974558353424,-0.0017242438254192471
