task,task_safe,method,step,loss,train_ppl,path
Code,synthetic_code,SiLU/SwiGLU+AdamW,1,10.890015602111816,53638.136831736076,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,100,4.861203480248499,129.17957366073776,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,200,0.5647573629021645,1.7590209272056083,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,300,0.23027677297592164,1.2589484046106134,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,400,0.1598600746691227,1.173346678582505,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,500,0.1439742438495159,1.1548543635390827,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,600,0.12935820557177066,1.1380977241050825,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,700,0.11290676519274712,1.1195275491473007,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,800,0.10377335771918297,1.1093490010338019,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,900,0.0985893213748932,1.1036129762204263,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,1000,0.09401765167713165,1.0985791375102651,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
Code,synthetic_code,SiLU/SwiGLU+AdamW,1100,0.09142122253775596,1.095730454427958,experiments/runs/synthetic_fair_full_20260529/synthetic_code/synthetic_code_adamw_controls_20260529_fair_full/silu.jsonl
