run_index,model_scale,dataset,seed,train_tokens,steps_required,steps_completed,status,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,step1000_validation_loss,final_validation_loss,final_validation_perplexity,matched_control_step1000_validation_loss,matched_control_validation_loss,lead_at_step1000_vs_matched_control,lead_vs_matched_control,time_scope,total_seconds,matched_control_total_seconds,total_time_ratio_vs_matched_control,training_loop_total_seconds,mean_seconds_per_step,tokens_per_second,stopped_early,lr_wd_fairness_passed,realized_lr_trace_sha256,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,source_phase,source_row_index,source_row_id,source_jsonl,source_jsonl_sha256
12,12l_768d,c4_en,1337,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,4.888577461242676,4.347524642944336,77.28691324013744,,4.428479,,0.08095435705566434,training_loop,1414.1153990598395,1623.0442129889852,,1414.1153990598395,0.4331575471170748,75649.14941016458,False,True,4d287e8dead80d77cd668a2bfd7c18324c77912b9474dc0cd130d2dce8e33caf,508218,0,seo-compute-01,508218:0:1788729679,12l_768d_100m_tokens_3050_steps,178,12l_768d_100m_tokens_3050_steps_c4_en_seed1337_silu_adamw,,3c28be734f3bb9d79897d9151007010a7048fe310389afeefc072afaaeb55a86
13,12l_768d,c4_en,2027,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,4.909416198730469,4.380415439605713,79.87120817678311,,4.456763,,0.0763475603942867,training_loop,1504.6054171971045,1236.5596933970228,,1504.6054171971045,0.46268882299291675,70820.81600337608,False,True,4d287e8dead80d77cd668a2bfd7c18324c77912b9474dc0cd130d2dce8e33caf,508273,0,rush-compute-03,508273:0:1788730308,12l_768d_100m_tokens_3050_steps,192,12l_768d_100m_tokens_3050_steps_c4_en_seed2027_silu_adamw,,5798faa78d9c4ec18c731ad907f3c67dfaa618fe69aeb2e83d4d2cf36b8a2a25
14,12l_768d,c4_en,3407,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,4.893923282623291,4.3779120445251465,79.67150905434745,,4.455494,,0.07758195547485336,training_loop,1412.260884327814,1222.9681594949798,,1412.260884327814,0.4341829026625637,75470.49826019171,False,True,4d287e8dead80d77cd668a2bfd7c18324c77912b9474dc0cd130d2dce8e33caf,509312,0,seo-compute-01,509312:0:1788731169,12l_768d_100m_tokens_3050_steps,206,12l_768d_100m_tokens_3050_steps_c4_en_seed3407_silu_adamw,,deeb6ceb1f24e91fb30574489aa46cc63e18e884c25dedcbc091c01d50fc7cab
0,12l_768d,dclm,1337,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,4.840132713317871,4.330674171447754,75.99550330130167,,4.394192,,0.06351782855224641,training_loop,1513.9623007099144,1956.2715493649885,,1513.9623007099144,0.46387146793536027,70640.25762534325,False,True,4d287e8dead80d77cd668a2bfd7c18324c77912b9474dc0cd130d2dce8e33caf,507355,0,rush-compute-03,507355:0:1788720825,12l_768d_100m_tokens_3050_steps,10,12l_768d_100m_tokens_3050_steps_dclm_seed1337_silu_adamw,,d3d9147776d4422ce5ca3bc2531a7ae080873a6ff9ac87767165dbb26a2c4ce0
1,12l_768d,dclm,2027,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,4.846182823181152,4.343499183654785,76.97642326891689,,4.412221,,0.06872181634521457,training_loop,1414.580333974911,1949.9625456850044,,1414.580333974911,0.4332754053511123,75628.57156280514,False,True,4d287e8dead80d77cd668a2bfd7c18324c77912b9474dc0cd130d2dce8e33caf,507356,0,seo-compute-01,507356:0:1788720826,12l_768d_100m_tokens_3050_steps,24,12l_768d_100m_tokens_3050_steps_dclm_seed2027_silu_adamw,,6234e8f8fb121b4c85ceb32d708962d4c09091d711fa5abccd68cfd48f4d52c7
2,12l_768d,dclm,3407,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,4.854157447814941,4.3443427085876465,77.0413821945717,,4.410308,,0.06596529141235319,training_loop,1412.5098458479624,1986.8303037419973,,1412.5098458479624,0.43255997340145946,75753.65733062864,False,True,4d287e8dead80d77cd668a2bfd7c18324c77912b9474dc0cd130d2dce8e33caf,507541,0,seo-compute-01,507541:0:1788722312,12l_768d_100m_tokens_3050_steps,38,12l_768d_100m_tokens_3050_steps_dclm_seed3407_silu_adamw,,e9ba060416d407190926238e739919fcde22069503bb549005e689c011ac3105
9,12l_768d,dolma_sample,1337,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,4.996016979217529,4.4085307121276855,82.14867473767798,,4.487082,,0.07855128787231447,training_loop,1508.4362744429382,1639.0890332140261,,1508.4362744429382,0.4633280272845237,70723.11207255675,False,True,4d287e8dead80d77cd668a2bfd7c18324c77912b9474dc0cd130d2dce8e33caf,508081,0,rush-compute-03,508081:0:1788727129,12l_768d_100m_tokens_3050_steps,136,12l_768d_100m_tokens_3050_steps_dolma_sample_seed1337_silu_adamw,,5b7e40ca9fffa0bd34bf2adbb96c3961f5f1ccf63aeb32893c82d214084679c6
10,12l_768d,dolma_sample,2027,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,4.950314521789551,4.4114766120910645,82.39103332238001,,4.486603,,0.07512638790893522,training_loop,1412.6801181461196,1683.2089874789817,,1412.6801181461196,0.43298891005282136,75678.61263699006,False,True,4d287e8dead80d77cd668a2bfd7c18324c77912b9474dc0cd130d2dce8e33caf,508146,0,seo-compute-01,508146:0:1788728197,12l_768d_100m_tokens_3050_steps,150,12l_768d_100m_tokens_3050_steps_dolma_sample_seed2027_silu_adamw,,1b5584957e94747d32979685189f6bf8ef5ad65e3629f79fb9986e2cfd0bac29
11,12l_768d,dolma_sample,3407,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,4.947401523590088,4.40578556060791,81.92347342566,,4.484799,,0.0790134393920896,training_loop,1506.3088893049862,1252.452145630028,,1506.3088893049862,0.46344994009095464,70704.50800699013,False,True,4d287e8dead80d77cd668a2bfd7c18324c77912b9474dc0cd130d2dce8e33caf,508165,0,rush-compute-03,508165:0:1788728724,12l_768d_100m_tokens_3050_steps,164,12l_768d_100m_tokens_3050_steps_dolma_sample_seed3407_silu_adamw,,3c59b7c6c382564e16ea94c0bec9af84e525901a2e5fcef1ad0fb4b20bd61ba7
6,12l_768d,fineweb,1337,100000000,3050,3050,complete,rlb_fused_global_rational,GRAIN,tiller_v1,TILLER,tiller,TILLER,4.9111528396606445,4.385959148406982,80.31522049688304,,4.464763,,0.07880385159301717,training_loop,1413.6947968290187,1090.211067337019,,1413.6947968290187,0.4337163233238751,75551.6872154491,False,True,4d287e8dead80d77cd668a2bfd7c18324c77912b9474dc0cd130d2dce8e33caf,507838,0,seo-compute-01,507838:0:1788725261,12l_768d_100m_tokens_3050_steps,94,12l_768d_100m_tokens_3050_steps_fineweb_seed1337_silu_adamw,,2a9e3c4706a7ba3451d8ba47354ad9ab91755fa8387f813f9e31bb20d1c4c9b8
