label,run_dir,optimizer,activation,seed,hidden,configured_steps,final_step,complete,final_val_loss,final_val_ppl,delta_loss_vs_adamw_silu_seed1337,delta_loss_vs_adamw_rlb_h3072_seed1337,delta_loss_vs_jacobian_h3072_seed1337,matrix_strength,matrix_time_gain,coeff_update_gain,final_coeff_update_gain,selector,coeff_decay,category,notes
Jacobian h3072 RLB,rlb_optimizer_empirical_ngram_full,rational_jacobian_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.6148619651794434,37.14621810019562,-0.007119655609130859,-0.002639293670654297,0.0,,,,,,,best incumbent,Function/Jacobian-aware on-policy optimizer from the historical full sweep.
Jacobian h2880 RLB,rlb_optimizer_empirical_ngram_full,rational_jacobian_onpolicy,rlb_fused_fixed_strong_h2880_ffn,1337,2880,3051,3051,True,3.6149535179138184,37.149619093717135,-0.007028102874755859,-0.002547740936279297,9.1552734375e-05,,,,,,,best incumbent,Function/Jacobian-aware on-policy optimizer from the historical full sweep.
Transport matrix 0.65,rational_transport_matrix065_baselinecoeff_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.6151487827301025,37.1568738155374,-0.00683283805847168,-0.002352476119995117,0.0002868175506591797,0.65,0.0,4.5,,,,matrix only,Baseline coefficients; stronger matrix/RLB geometry.
Transport matrix 0.70,rational_transport_matrix070_baselinecoeff_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.6151797771453857,37.1580254889627,-0.0068018436431884766,-0.002321481704711914,0.0003178119659423828,0.7,0.0,4.5,,,,matrix only,Baseline coefficients; slightly stronger than best transport setting.
Adaptive metric h2880 RLB,rlb_optimizer_empirical_ngram_full,rational_adaptive_metric_onpolicy,rlb_fused_fixed_strong_h2880_ffn,1337,2880,3051,3051,True,3.615358352661133,37.16466159503393,-0.006623268127441406,-0.0021429061889648438,0.0004963874816894531,,,,,,,matrix/metric,Older adaptive-metric rational optimizer from the historical full sweep.
AdamW h2880 RLB,rlb_optimizer_empirical_ngram_full,adamw,rlb_fused_fixed_strong_h2880_ffn,1337,2880,3051,3051,True,3.615912675857544,37.18526853996895,-0.0060689449310302734,-0.001588582992553711,0.001050710678100586,,,,,,,baseline,AdamW baseline from the historical full sweep.
Transport matrix-only,rational_transport_matrixonly_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.615939140319824,37.18625264112741,-0.00604248046875,-0.0015621185302734375,0.0010771751403808594,0.65,0.25,4.5,,,,matrix only,Coefficient updates disabled; matrix/RLB geometry kept.
Matrix 0.60 + time,rational_transport_matrix060_time025_baselinecoeff_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.6166601181030273,37.21307277031911,-0.005321502685546875,-0.0008411407470703125,0.0017981529235839844,0.6,0.25,4.5,,,,matrix/time ramp,Baseline coefficients; matrix strength increases over time.
Adaptive metric h3072 RLB,rlb_optimizer_empirical_ngram_full,rational_adaptive_metric_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.6171741485595703,37.232206340302156,-0.004807472229003906,-0.00032711029052734375,0.002312183380126953,,,,,,,matrix/metric,Older adaptive-metric rational optimizer from the historical full sweep.
Matrix 0.35,rational_transport_matrix035_baselinecoeff_full_20260527,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.617309093475342,37.23723097626765,-0.004672527313232422,-0.00019216537475585938,0.0024471282958984375,0.35,0.0,4.5,,,,matrix only,Baseline coefficients; moderate matrix strength.
AdamW h3072 RLB,rlb_optimizer_empirical_ngram_full,adamw,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.6175012588500977,37.24438737029662,-0.0044803619384765625,0.0,0.002639293670654297,,,,,,,baseline,AdamW baseline from the historical full sweep.
Layer stagger wide pre-fix,rational_transport_layerstagger_wide_full_20260527b,rational_transport_onpolicy,rlb_fused_fixed_strong_ffn,1337,3072,3051,3051,True,3.6198155879974365,37.330682961245735,-0.0021660327911376953,0.002314329147338867,0.004953622817993164,,,,,,,layer schedule,Wide layer-specific switch timing before depth-index fix.
