phase,dataset,method,method_label,activation,optimizer,rows,train_events,logged_forward_backward_seconds_mean,logged_forward_backward_seconds_std,logged_optimizer_step_seconds_mean,logged_optimizer_step_seconds_std,seconds_per_step_mean,tokens_per_second_mean,logged_forward_backward_fraction_of_recent_step,logged_optimizer_fraction_of_recent_step
E1_m0_100m,c4_en,rlb_adamw,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,3,918,0.49643972,0.091876361,0.015281944,0.0020709599,0.51601964,64216.576,0.96205585,0.029615043
E1_m0_100m,c4_en,rlb_ademamix,RLB+ADeMaMix,rlb_fused_fixed_strong_ffn,ademamix,3,918,0.49584606,0.094686486,0.026832434,0.00090771483,0.52691488,62964.754,0.94103636,0.050923659
E1_m0_100m,c4_en,rlb_came,RLB+CAME,rlb_fused_fixed_strong_ffn,adafactor_came,3,918,0.49537909,0.092980604,0.057688849,0.0018289848,0.55735124,59391.591,0.88880953,0.10350538
E1_m0_100m,c4_en,rlb_lion,RLB+Lion,rlb_fused_fixed_strong_ffn,lion,3,918,0.49523595,0.092833241,0.0134612,5.3693283e-05,0.51289597,64644.183,0.96556803,0.026245479
E1_m0_100m,c4_en,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,3,918,0.45994602,0.086417016,0.10342023,0.0095342274,0.52934438,62690.012,0.86889752,0.19537419
E1_m0_100m,c4_en,rlb_muon,RLB+Muon,rlb_fused_fixed_strong_ffn,muon,3,918,0.49665388,0.093301867,0.047447362,0.010318553,0.54821463,60440.971,0.90594786,0.086548879
E1_m0_100m,c4_en,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_fixed_strong_ffn,schedule_free_adamw,3,918,0.495713,0.093248842,0.021197201,0.001128053,0.5210849,63628.583,0.95130947,0.040678977
E1_m0_100m,c4_en,rlb_soap,RLB+SOAP,rlb_fused_fixed_strong_ffn,soap_adamw,3,918,0.49549059,0.093352829,0.064475173,0.081559848,0.5280919,62850.924,0.93826585,0.12209082
E1_m0_100m,c4_en,silu_adamw,SiLU+AdamW,silu,adamw,3,918,0.41076641,0.064885823,0.015321092,0.002098446,0.42942043,77908.118,0.95656002,0.035678535
E1_m0_100m,c4_en,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,3,918,0.40960098,0.068726243,0.02541486,0.00085714876,0.43823518,76463.408,0.9346602,0.057993655
E1_m0_100m,c4_en,silu_came,SiLU+CAME,silu,adafactor_came,3,918,0.41066164,0.067894924,0.050965206,0.0017500967,0.46498524,71860.053,0.88317135,0.10960607
E1_m0_100m,c4_en,silu_lion,SiLU+Lion,silu,lion,3,918,0.40877489,0.067264064,0.013047671,5.316534e-05,0.42501562,78856.401,0.96178794,0.030699275
E1_m0_100m,c4_en,silu_muon,SiLU+Muon,silu,muon,3,918,0.41111313,0.066338509,0.051817922,0.01038586,0.46622075,71646.964,0.88179931,0.11114461
E1_m0_100m,c4_en,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,3,918,0.41057747,0.06684634,0.019951578,0.0010717726,0.43384899,77175.684,0.94636034,0.045987381
E1_m0_100m,c4_en,silu_soap,SiLU+SOAP,silu,soap_adamw,3,918,0.41105003,0.067527553,0.45517628,0.80430338,0.51094198,67366.504,0.80449453,0.89085708
