update,loss_tokens,proposal_accepted,functional_refresh,ledger_measurement,coefficient_abs_deviation_mean,coefficient_abs_deviation_max,budget_residual,beta2,fixed_activation_congruence,response_departure_energy
1,262144,True,True,functional,0.39690956473350525,2.440695285797119,3.8350034774977314e-16,0.95,1.0,0.0
2,524288,True,False,gradient_surrogate,0.26888173818588257,1.6969866752624512,0.0,0.95,1.0,0.0
3,786432,True,False,gradient_surrogate,0.26080867648124695,2.528822898864746,1.2267469995697399e-15,0.95,1.0,0.0
4,1048576,True,False,gradient_surrogate,0.2626734972000122,2.695051908493042,4.082075413619902e-16,0.95,1.0,0.0
5,1310720,False,False,gradient_surrogate,0.0,0.0,4.0470109643511227e-16,0.95,1.0,0.0
6,1572864,False,False,gradient_surrogate,0.0,0.0,2.0125925047336767e-16,0.95,1.0,0.0
7,1835008,False,False,gradient_surrogate,0.0,0.0,9.959183048440364e-16,0.95,1.0,0.0
8,2097152,False,False,gradient_surrogate,0.0,0.0,1.963247283360607e-16,0.95,1.0,0.0
9,2359296,False,True,functional,0.0,0.0,3.86874199112939e-16,0.95,1.0,0.0
10,2621440,False,False,gradient_surrogate,0.0,0.0,3.821782779813615e-16,0.95,1.0,0.0
11,2883584,False,False,gradient_surrogate,0.0,0.0,1.1336016071950055e-15,0.95,1.0,0.0
12,3145728,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
13,3407872,False,False,gradient_surrogate,0.0,0.0,5.580903179955032e-16,0.95,1.0,0.0
14,3670016,False,False,gradient_surrogate,0.0,0.0,3.6557139249368496e-16,0.95,1.0,0.0
15,3932160,False,False,gradient_surrogate,0.0,0.0,1.8064378884884922e-16,0.95,1.0,0.0
16,4194304,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
17,4456448,False,True,functional,0.0,0.0,5.352443169255875e-16,0.95,1.0,0.0
18,4718592,False,False,gradient_surrogate,0.0,0.0,8.829747573363595e-16,0.95,1.0,0.0
19,4980736,False,False,gradient_surrogate,0.0,0.0,3.4999328366242317e-16,0.95,1.0,0.0
20,5242880,False,False,gradient_surrogate,0.0,0.0,1.0433670637236465e-15,0.95,1.0,0.0
21,5505024,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
22,5767168,False,False,gradient_surrogate,0.0,0.0,3.4202946965743297e-16,0.95,1.0,0.0
23,6029312,False,False,gradient_surrogate,0.0,0.0,3.3940140570130523e-16,0.95,1.0,0.0
24,6291456,False,False,gradient_surrogate,0.0,0.0,5.062238154674552e-16,0.95,1.0,0.0
25,6553600,False,True,functional,0.0,0.0,6.716430576955188e-16,0.95,1.0,0.0
26,6815744,False,False,gradient_surrogate,0.0,0.0,5.017505339378839e-16,0.95,1.0,0.0
27,7077888,False,False,gradient_surrogate,0.0,0.0,3.33612707710376e-16,0.95,1.0,0.0
28,7340032,False,False,gradient_surrogate,0.0,0.0,8.329900925524205e-16,0.95,1.0,0.0
29,7602176,False,False,gradient_surrogate,0.0,0.0,6.663837424461936e-16,0.95,1.0,0.0
30,7864320,False,False,gradient_surrogate,0.0,0.0,3.3348017567706636e-16,0.95,1.0,0.0
31,8126464,False,False,gradient_surrogate,0.0,0.0,3.3402272402474226e-16,0.95,1.0,0.0
32,8388608,False,False,gradient_surrogate,0.0,0.0,3.345258522148876e-16,0.95,1.0,0.0
33,8650752,False,True,functional,0.0,0.0,0.0,0.95,1.0,0.0
