update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,muon_train_mean_last_100,tiller_train_mean_last_100,muon_validation_loss,tiller_validation_loss,validation_loss_gap_tiller_minus_muon,muon_validation_ppl,tiller_validation_ppl,validation_ppl_gap_tiller_minus_muon
100,26214400,6.9318928718566895,6.807135581970215,-0.12475728988647461,9.204179148674012,8.898118529319763,6.862624615430832,6.741370335221291,-0.12125428020954132,955.8725759675846,846.7202317767229,-109.15234419086164
200,52428800,5.723711967468262,5.642210960388184,-0.08150100708007812,6.2222701454162594,6.143325409889221,5.710723705589771,5.619259975850582,-0.09146372973918915,302.0896131338233,275.6852939534329,-26.404319180390416
300,78643200,5.0815510749816895,5.000998497009277,-0.08055257797241211,5.370681090354919,5.275653305053711,4.9657930582761765,4.891615770757198,-0.07417728751897812,143.42224738344305,133.16857019376533,-10.253677189677717
400,104857600,4.5243821144104,4.440757751464844,-0.08362436294555664,4.788520193099975,4.7060999584198,4.510461717844009,4.4302131570875645,-0.08024856075644493,90.96380842954713,83.94930939353965,-7.014499036007479
500,131072000,4.220325946807861,4.087941646575928,-0.1323843002319336,4.446371741294861,4.332782850265503,4.227056667208672,4.096174538135529,-0.130882129073143,68.51527185507624,60.10989908047148,-8.405372774604757
600,157286400,4.047150611877441,3.9632620811462402,-0.08388853073120117,4.149625701904297,4.038820288181305,3.996438141912222,3.905838280916214,-0.09059986099600792,54.40402509884045,49.69171807645696,-4.7123070223834915
700,183500800,3.936753273010254,3.8833389282226562,-0.053414344787597656,3.926782865524292,3.859905514717102,3.835318498313427,3.7758090905845165,-0.059509407728910446,46.308174394864594,43.63279692312505,-2.6753774717395444
800,209715200,3.590198040008545,3.547398567199707,-0.04279947280883789,3.7426688051223755,3.694774663448334,3.7371582463383675,3.69033644720912,-0.046821799129247665,41.9785278689006,40.05832220101209,-1.92020566788851
900,235929600,3.5554351806640625,3.531975030899048,-0.02346014976501465,3.637927293777466,3.6003488326072692,3.6490594558417797,3.6145067922770977,-0.03455266356468201,38.43849593909944,37.133027112781114,-1.3054688263183252
1000,262144000,3.6317992210388184,3.6017770767211914,-0.030022144317626953,3.643471257686615,3.613790557384491,3.5440852120518684,3.5145418234169483,-0.02954338863492012,34.608011865049086,33.60052942081662,-1.0074824442324655
1100,288358400,3.550144672393799,3.524923324584961,-0.02522134780883789,3.603171343803406,3.5760919857025146,3.47301534563303,3.445570595562458,-0.0274447500705719,32.23379207630133,31.361172888449595,-0.8726191878517326
1200,314572800,3.618938684463501,3.592538833618164,-0.026399850845336914,3.553535363674164,3.5291794896125794,3.421182282269001,3.396744079887867,-0.024438202381134033,30.605578071657728,29.86669798412583,-0.7388800875318964
1300,340787200,3.5615813732147217,3.54166579246521,-0.01991558074951172,3.521014485359192,3.498911969661713,3.3807699978351593,3.3615978062152863,-0.019172191619873047,29.393395252614965,28.83522719612505,-0.5581680564899152
1400,367001600,3.4822301864624023,3.4657199382781982,-0.0165102481842041,3.4766260051727294,3.4590482449531557,3.3557843044400215,3.338839214295149,-0.016945090144872665,28.668079877999023,28.186389350728177,-0.48169052727084605
